be-by,cs-cz,"1 верасня","1. září"
be-by,cs-cz,"1 верасьня","1. září"
be-by,cs-cz,"1 жніўня","1. srpen"
be-by,cs-cz,"1 кастрычніка","1. říjen"
be-by,cs-cz,"1 красавіка","1. duben"
be-by,cs-cz,"1 лютага","1. únor"
be-by,cs-cz,"1 ліпеня","1. červenec"
be-by,cs-cz,"1 лістапада","1. listopad"
be-by,cs-cz,"1 мая","1. květen"
be-by,cs-cz,"1 сакавіка","1. březen"
be-by,cs-cz,"1 снежня","1. prosinec"
be-by,cs-cz,"1 стагоддзе да н.э.","1. století př. n. l."
be-by,cs-cz,"1 стагоддзе","1. století"
be-by,cs-cz,"1 студзеня","1. leden"
be-by,cs-cz,"1 траўня","1. květen"
be-by,cs-cz,"1 чэрвеня","1. červen"
be-by,cs-cz,"10 верасня","10. září"
be-by,cs-cz,"10 верасьня","10. září"
be-by,cs-cz,"10 жніўня","10. srpen"
be-by,cs-cz,"10 кастрычніка","10. říjen"
be-by,cs-cz,"10 красавіка","10. duben"
be-by,cs-cz,"10 лютага","10. únor"
be-by,cs-cz,"10 ліпеня","10. červenec"
be-by,cs-cz,"10 лістапада","10. listopad"
be-by,cs-cz,"10 мая","10. květen"
be-by,cs-cz,"10 сакавіка","10. březen"
be-by,cs-cz,"10 снежня","10. prosinec"
be-by,cs-cz,"10 стагоддзе да н.э.","10. století př. n. l."
be-by,cs-cz,"10 стагоддзе","10. století"
be-by,cs-cz,"10 студзеня","10. leden"
be-by,cs-cz,"10 траўня","10. květen"
be-by,cs-cz,"10 чэрвеня","10. červen"
be-by,cs-cz,"11 верасня","11. září"
be-by,cs-cz,"11 жніўня","11. srpen"
be-by,cs-cz,"11 кастрычніка","11. říjen"
be-by,cs-cz,"11 красавіка","11. duben"
be-by,cs-cz,"11 лютага","11. únor"
be-by,cs-cz,"11 ліпеня","11. červenec"
be-by,cs-cz,"11 лістапада","11. listopad"
be-by,cs-cz,"11 мая","11. květen"
be-by,cs-cz,"11 сакавіка","11. březen"
be-by,cs-cz,"11 снежня","11. prosinec"
be-by,cs-cz,"11 стагоддзе да н.э.","11. století př. n. l."
be-by,cs-cz,"11 стагоддзе","11. století"
be-by,cs-cz,"11 студзеня","11. leden"
be-by,cs-cz,"11 сьнежня","11. prosinec"
be-by,cs-cz,"11 траўня","11. květen"
be-by,cs-cz,"11 чэрвеня","11. červen"
be-by,cs-cz,"12 верасня","12. září"
be-by,cs-cz,"12 верасьня","12. září"
be-by,cs-cz,"12 жніўня","12. srpen"
be-by,cs-cz,"12 кастрычніка","12. říjen"
be-by,cs-cz,"12 красавіка","12. duben"
be-by,cs-cz,"12 лютага","12. únor"
be-by,cs-cz,"12 ліпеня","12. červenec"
be-by,cs-cz,"12 лістапада","12. listopad"
be-by,cs-cz,"12 мая","12. květen"
be-by,cs-cz,"12 сакавіка","12. březen"
be-by,cs-cz,"12 снежня","12. prosinec"
be-by,cs-cz,"12 стагоддзе да н.э.","12. století př. n. l."
be-by,cs-cz,"12 стагоддзе","12. století"
be-by,cs-cz,"12 студзеня","12. leden"
be-by,cs-cz,"12 траўня","12. květen"
be-by,cs-cz,"12 чэрвеня","12. červen"
