be-by,et-ee,"1 верасня","1. september"
be-by,et-ee,"1 верасьня","1. september"
be-by,et-ee,"1 жніўня","1. august"
be-by,et-ee,"1 кастрычніка","1. oktoober"
be-by,et-ee,"1 красавіка","1. aprill"
be-by,et-ee,"1 лютага","1. veebruar"
be-by,et-ee,"1 ліпеня","1. juuli"
be-by,et-ee,"1 лістапада","1. november"
be-by,et-ee,"1 мая","1. mai"
be-by,et-ee,"1 сакавіка","1. märts"
be-by,et-ee,"1 снежня","1. detsember"
be-by,et-ee,"1 стагоддзе да н.э.","1. sajand eKr"
be-by,et-ee,"1 стагоддзе","1. sajand"
be-by,et-ee,"1 студзеня","1. jaanuar"
be-by,et-ee,"1 траўня","1. mai"
be-by,et-ee,"1 чэрвеня","1. juuni"
be-by,et-ee,"10 верасня","10. september"
be-by,et-ee,"10 верасьня","10. september"
be-by,et-ee,"10 жніўня","10. august"
be-by,et-ee,"10 кастрычніка","10. oktoober"
be-by,et-ee,"10 красавіка","10. aprill"
be-by,et-ee,"10 лютага","10. veebruar"
be-by,et-ee,"10 ліпеня","10. juuli"
be-by,et-ee,"10 лістапада","10. november"
be-by,et-ee,"10 мая","10. mai"
be-by,et-ee,"10 сакавіка","10. märts"
be-by,et-ee,"10 снежня","10. detsember"
be-by,et-ee,"10 стагоддзе да н.э.","900. aastad eKr"
be-by,et-ee,"10 стагоддзе","10. sajand"
be-by,et-ee,"10 студзеня","10. jaanuar"
be-by,et-ee,"10 траўня","10. mai"
be-by,et-ee,"10 чэрвеня","10. juuni"
be-by,et-ee,"11 верасня","11. september"
be-by,et-ee,"11 жніўня","11. august"
be-by,et-ee,"11 кастрычніка","11. oktoober"
be-by,et-ee,"11 красавіка","11. aprill"
be-by,et-ee,"11 лютага","11. veebruar"
be-by,et-ee,"11 ліпеня","11. juuli"
be-by,et-ee,"11 лістапада","11. november"
be-by,et-ee,"11 мая","11. mai"
be-by,et-ee,"11 сакавіка","11. märts"
be-by,et-ee,"11 снежня","11. detsember"
be-by,et-ee,"11 стагоддзе","11. sajand"
be-by,et-ee,"11 студзеня","11. jaanuar"
be-by,et-ee,"11 сьнежня","11. detsember"
be-by,et-ee,"11 траўня","11. mai"
be-by,et-ee,"11 чэрвеня","11. juuni"
be-by,et-ee,"12 верасня","12. september"
be-by,et-ee,"12 верасьня","12. september"
be-by,et-ee,"12 жніўня","12. august"
be-by,et-ee,"12 кастрычніка","12. oktoober"
be-by,et-ee,"12 красавіка","12. aprill"
be-by,et-ee,"12 лютага","12. veebruar"
be-by,et-ee,"12 ліпеня","12. juuli"
be-by,et-ee,"12 лістапада","12. november"
be-by,et-ee,"12 мая","12. mai"
be-by,et-ee,"12 сакавіка","12. märts"
