bg-bg,pt-pt,"&Fcy;&rcy;&iecy;&dcy;&iecy;&rcy;&icy;&kcy; &SHcy;&ocy;&pcy;&iecy;&ncy;","Frédéric Chopin"
bg-bg,pt-pt,"'N Sync","'N Sync"
bg-bg,pt-pt,"-та",A
bg-bg,pt-pt,"-та",As
bg-bg,pt-pt,"-та",Os
bg-bg,pt-pt,"-те",A
bg-bg,pt-pt,"-те",As
bg-bg,pt-pt,"-те",Os
bg-bg,pt-pt,"-то",A
bg-bg,pt-pt,"-то",As
bg-bg,pt-pt,"-то",O
bg-bg,pt-pt,"-то",Os
bg-bg,pt-pt,"-ът",A
bg-bg,pt-pt,"-ът",As
bg-bg,pt-pt,"-ът",O
bg-bg,pt-pt,"-ът",Os
bg-bg,pt-pt,"-я",A
bg-bg,pt-pt,"-я",As
bg-bg,pt-pt,"-я",O
bg-bg,pt-pt,"-я",Os
bg-bg,pt-pt,"-ят",A
bg-bg,pt-pt,"-ят",As
bg-bg,pt-pt,"-ят",O
bg-bg,pt-pt,"-ят",Os
bg-bg,pt-pt,"...And Justice For All","...And Justice for All"
bg-bg,pt-pt,".NET Framework","Microsoft .NET"
bg-bg,pt-pt,"1 Церера",Ceres
bg-bg,pt-pt,"1 август","1 de Agosto"
bg-bg,pt-pt,"1 април","1 de Abril"
bg-bg,pt-pt,"1 век пр.н.е.","Século I a.C."
bg-bg,pt-pt,"1 век","Século I"
bg-bg,pt-pt,"1 декември","1 de Dezembro"
bg-bg,pt-pt,"1 май","1 de Maio"
bg-bg,pt-pt,"1 март","1 de Março"
bg-bg,pt-pt,"1 ноември","1 de Novembro"
bg-bg,pt-pt,"1 октомври","1 de Outubro"
bg-bg,pt-pt,"1 септември","1 de Setembro"
bg-bg,pt-pt,"1 февруари","1 de Fevereiro"
bg-bg,pt-pt,"1 хилядолетие пр.н.е.","Primeiro milénio a.C."
bg-bg,pt-pt,"1 хилядолетие","Primeiro milénio d.C."
bg-bg,pt-pt,"1 юли","1 de Julho"
bg-bg,pt-pt,"1 юни","1 de Junho"
bg-bg,pt-pt,"1 януари","1 de Janeiro"
bg-bg,pt-pt,"1. ФК Кайзерслаутерн","1. FC Kaiserslautern"
bg-bg,pt-pt,"1. ФК Нюрнберг","1. FC Nürnberg"
bg-bg,pt-pt,"10 Хигия","10 Hígia"
bg-bg,pt-pt,"10 август","10 de Agosto"
bg-bg,pt-pt,"10 април","10 de Abril"
bg-bg,pt-pt,"10 век пр.н.е.","Século X a.C."
bg-bg,pt-pt,"10 век","Século X"
bg-bg,pt-pt,"10 декември","10 de Dezembro"
bg-bg,pt-pt,"10 май","10 de Maio"
bg-bg,pt-pt,"10 март","10 de Março"
bg-bg,pt-pt,"10 неща, които мразя в теб","10 Things I Hate about You"
bg-bg,pt-pt,"10 ноември","10 de Novembro"
bg-bg,pt-pt,"10 октомври","10 de Outubro"
bg-bg,pt-pt,"10 септември","10 de Setembro"
bg-bg,pt-pt,"10 февруари","10 de Fevereiro"
bg-bg,pt-pt,"10 хилядолетие пр.н.е.","Décimo milénio a.C."
bg-bg,pt-pt,"10 юли","10 de Julho"
bg-bg,pt-pt,"10 юни","10 de Junho"
bg-bg,pt-pt,"10 януари","10 de Janeiro"
bg-bg,pt-pt,"108 Хекуба",Hécuba
bg-bg,pt-pt,"11 август","11 de Agosto"
bg-bg,pt-pt,"11 април","11 de Abril"
bg-bg,pt-pt,"11 век пр.н.е.","Século XI a.C."
bg-bg,pt-pt,"11 век","Século XI"
bg-bg,pt-pt,"11 декември","11 de Dezembro"
bg-bg,pt-pt,"11 май","11 de Maio"
bg-bg,pt-pt,"11 март","11 de Março"
bg-bg,pt-pt,"11 ноември","11 de Novembro"
bg-bg,pt-pt,"11 октомври","11 de Outubro"
bg-bg,pt-pt,"11 септември","11 de Setembro"
bg-bg,pt-pt,"11 февруари","11 de Fevereiro"
bg-bg,pt-pt,"11 юли","11 de Julho"
bg-bg,pt-pt,"11 юни","11 de Junho"
bg-bg,pt-pt,"11 януари","11 de Janeiro"
bg-bg,pt-pt,"110-те","Década de 110"
bg-bg,pt-pt,"12 август","12 de Agosto"
bg-bg,pt-pt,"12 април","12 de Abril"
bg-bg,pt-pt,"12 век пр.н.е.","Século XII a.C."
bg-bg,pt-pt,"12 век","Século XII"
bg-bg,pt-pt,"12 декември","12 de Dezembro"
bg-bg,pt-pt,"12 май","12 de Maio"
bg-bg,pt-pt,"12 март","12 de Março"
bg-bg,pt-pt,"12 ноември","12 de Novembro"
bg-bg,pt-pt,"12 октомври","12 de Outubro"
bg-bg,pt-pt,"12 септември","12 de Setembro"
bg-bg,pt-pt,"12 февруари","12 de Fevereiro"
bg-bg,pt-pt,"12 юли","12 de Julho"
bg-bg,pt-pt,"12 юни","12 de Junho"
bg-bg,pt-pt,"12 януари","12 de Janeiro"
bg-bg,pt-pt,"120-те","Década de 120"
bg-bg,pt-pt,"13 август","13 de Agosto"
bg-bg,pt-pt,"13 април","13 de Abril"
bg-bg,pt-pt,"13 век пр.н.е.","Século XIII a.C."
bg-bg,pt-pt,"13 век","Século XIII"
bg-bg,pt-pt,"13 декември","13 de Dezembro"
bg-bg,pt-pt,"13 май","13 de Maio"
bg-bg,pt-pt,"13 март","13 de Março"
bg-bg,pt-pt,"13 ноември","13 de Novembro"
bg-bg,pt-pt,"13 октомври","13 de Outubro"
bg-bg,pt-pt,"13 септември","13 de Setembro"
bg-bg,pt-pt,"13 февруари","13 de Fevereiro"
bg-bg,pt-pt,"13 юли","13 de Julho"
bg-bg,pt-pt,"13 юни","13 de Junho"
bg-bg,pt-pt,"13 януари","13 de Janeiro"
bg-bg,pt-pt,"14 август","14 de Agosto"
bg-bg,pt-pt,"14 април","14 de Abril"
bg-bg,pt-pt,"14 век пр.н.е.","Século XIV a.C."
bg-bg,pt-pt,"14 век","Século XIV"
bg-bg,pt-pt,"14 декември","14 de Dezembro"
bg-bg,pt-pt,"14 май","14 de Maio"
bg-bg,pt-pt,"14 март","14 de Março"
bg-bg,pt-pt,"14 ноември","14 de Novembro"
bg-bg,pt-pt,"14 октомври","14 de Outubro"
bg-bg,pt-pt,"14 септември","14 de Setembro"
bg-bg,pt-pt,"14 февруари","14 de Fevereiro"
bg-bg,pt-pt,"14 юли","14 de Julho"
bg-bg,pt-pt,"14 юни","14 de Junho"
bg-bg,pt-pt,"14 януари","14 de Janeiro"
bg-bg,pt-pt,"15 август","15 de Agosto"
bg-bg,pt-pt,"15 април","15 de Abril"
bg-bg,pt-pt,"15 век пр.н.е.","Século XV a.C."
bg-bg,pt-pt,"15 век","Século XV"
bg-bg,pt-pt,"15 декември","15 de Dezembro"
bg-bg,pt-pt,"15 май","15 de Maio"
bg-bg,pt-pt,"15 март","15 de Março"
bg-bg,pt-pt,"15 ноември","15 de Novembro"
bg-bg,pt-pt,"15 октомври","15 de Outubro"
bg-bg,pt-pt,"15 септември","15 de Setembro"
bg-bg,pt-pt,"15 февруари","15 de Fevereiro"
bg-bg,pt-pt,"15 юли","15 de Julho"
bg-bg,pt-pt,"15 юни","15 de Junho"
bg-bg,pt-pt,"15 януари","15 de Janeiro"
bg-bg,pt-pt,"1560-те","Década de 1560"
bg-bg,pt-pt,"16 август","16 de Agosto"
bg-bg,pt-pt,"16 април","16 de Abril"
bg-bg,pt-pt,"16 век пр.н.е.","Século XVI a.C."
bg-bg,pt-pt,"16 век","Século XVI"
bg-bg,pt-pt,"16 декември","16 de Dezembro"
bg-bg,pt-pt,"16 май","16 de Maio"
bg-bg,pt-pt,"16 март","16 de Março"
bg-bg,pt-pt,"16 ноември","16 de Novembro"
bg-bg,pt-pt,"16 октомври","16 de Outubro"
bg-bg,pt-pt,"16 септември","16 de Setembro"
bg-bg,pt-pt,"16 февруари","16 de Fevereiro"
bg-bg,pt-pt,"16 юли","16 de Julho"
bg-bg,pt-pt,"16 юни","16 de Junho"
bg-bg,pt-pt,"16 януари","16 de Janeiro"
bg-bg,pt-pt,"160-те","Década de 160"
bg-bg,pt-pt,"17 август","17 de Agosto"
bg-bg,pt-pt,"17 април","17 de Abril"
bg-bg,pt-pt,"17 век пр.н.е.","Século XVII a.C."
bg-bg,pt-pt,"17 век","Século XVII"
bg-bg,pt-pt,"17 декември","17 de Dezembro"
bg-bg,pt-pt,"17 май","17 de Maio"
bg-bg,pt-pt,"17 март","17 de Março"
bg-bg,pt-pt,"17 ноември","17 de Novembro"
bg-bg,pt-pt,"17 октомври","17 de Outubro"
bg-bg,pt-pt,"17 септември","17 de Setembro"
bg-bg,pt-pt,"17 февруари","17 de Fevereiro"
bg-bg,pt-pt,"17 юли","17 de Julho"
bg-bg,pt-pt,"17 юни","17 de Junho"
bg-bg,pt-pt,"17 януари","17 de Janeiro"
bg-bg,pt-pt,"170-те","Década de 170"
bg-bg,pt-pt,"1700-те","Década de 1700"
bg-bg,pt-pt,"1720-те","Década de 1720"
bg-bg,pt-pt,"1730-те","Década de 1730"
bg-bg,pt-pt,"1740-те","Década de 1740"
bg-bg,pt-pt,"1750-те","Década de 1750"
bg-bg,pt-pt,"1760-те","Década de 1760"
bg-bg,pt-pt,"1770-те","Década de 1770"
bg-bg,pt-pt,"1780-те","Década de 1780"
bg-bg,pt-pt,"1790-те","Década de 1790"
bg-bg,pt-pt,"18 август","18 de Agosto"
bg-bg,pt-pt,"18 април","18 de Abril"
bg-bg,pt-pt,"18 век пр.н.е.","Século XVIII a.C."
bg-bg,pt-pt,"18 век","Século XVIII"
bg-bg,pt-pt,"18 декември","18 de Dezembro"
bg-bg,pt-pt,"18 май","18 de Maio"
bg-bg,pt-pt,"18 март","18 de Março"
bg-bg,pt-pt,"18 ноември","18 de Novembro"
bg-bg,pt-pt,"18 октомври","18 de Outubro"
bg-bg,pt-pt,"18 септември","18 de Setembro"
bg-bg,pt-pt,"18 февруари","18 de Fevereiro"
bg-bg,pt-pt,"18 юли","18 de Julho"
bg-bg,pt-pt,"18 юни","18 de Junho"
bg-bg,pt-pt,"18 януари","18 de Janeiro"
bg-bg,pt-pt,"180-те","Década de 180"
bg-bg,pt-pt,"1800-те","Década de 1800"
bg-bg,pt-pt,"1820-те","Década de 1820"
bg-bg,pt-pt,"18610 Артърдент","18610 Arthurdent"
bg-bg,pt-pt,"19 август","19 de Agosto"
bg-bg,pt-pt,"19 април","19 de Abril"
bg-bg,pt-pt,"19 век пр.н.е.","Século XIX a.C."
bg-bg,pt-pt,"19 век","Século XIX"
bg-bg,pt-pt,"19 декември","19 de Dezembro"
bg-bg,pt-pt,"19 май","19 de Maio"
bg-bg,pt-pt,"19 март","19 de Março"
bg-bg,pt-pt,"19 ноември","19 de Novembro"
bg-bg,pt-pt,"19 октомври","19 de Outubro"
bg-bg,pt-pt,"19 септември","19 de Setembro"
bg-bg,pt-pt,"19 февруари","19 de Fevereiro"
bg-bg,pt-pt,"19 юли","19 de Julho"
bg-bg,pt-pt,"19 юни","19 de Junho"
bg-bg,pt-pt,"19 януари","19 de Janeiro"
bg-bg,pt-pt,"190-те","Década de 190"
bg-bg,pt-pt,"1983 Голяма награда на Великобритания","Grande Prêmio da Inglaterra de 1983"
bg-bg,pt-pt,"1983 Голяма награда на Европа","Grande Prêmio da Europa 1983"
bg-bg,pt-pt,"1984 Голяма награда на Европа","Grande Prêmio da Europa 1984"
bg-bg,pt-pt,"1985 Голяма награда на Европа","Grande Prêmio da Europa 1985"
bg-bg,pt-pt,"1985 Голяма награда на Италия","Grande Prêmio da Itália de 1985"
bg-bg,pt-pt,"1990 Голяма награда на Унгария","Grande Prêmio da Hungria de 1990"
bg-bg,pt-pt,"1991 Голяма награда на Унгария","Grande Prêmio da Hungria de 1991"
bg-bg,pt-pt,"1993 Голяма награда на Европа","Grande Prêmio da Europa de 1993"
bg-bg,pt-pt,"2 Палада","2 Palas"
bg-bg,pt-pt,"2 август","2 de Agosto"
bg-bg,pt-pt,"2 април","2 de Abril"
bg-bg,pt-pt,"2 век пр.н.е.","Século II a.C."
bg-bg,pt-pt,"2 век","Século II"
bg-bg,pt-pt,"2 декември","2 de Dezembro"
bg-bg,pt-pt,"2 май","2 de Maio"
bg-bg,pt-pt,"2 март","2 de Março"
bg-bg,pt-pt,"2 ноември","2 de Novembro"
bg-bg,pt-pt,"2 октомври","2 de Outubro"
bg-bg,pt-pt,"2 септември","2 de Setembro"
bg-bg,pt-pt,"2 февруари","2 de Fevereiro"
bg-bg,pt-pt,"2 хилядолетие пр.н.е.","Segundo milénio a.C."
bg-bg,pt-pt,"2 хилядолетие","Segundo milénio d.C."
bg-bg,pt-pt,"2 юли","2 de Julho"
bg-bg,pt-pt,"2 юни","2 de Junho"
bg-bg,pt-pt,"2 януари","2 de Janeiro"
bg-bg,pt-pt,"20 август","20 de Agosto"
bg-bg,pt-pt,"20 април","20 de Abril"
bg-bg,pt-pt,"20 век пр.н.е.","Século XX a.C."
bg-bg,pt-pt,"20 век","Século XX"
bg-bg,pt-pt,"20 декември","20 de Dezembro"
bg-bg,pt-pt,"20 май","20 de Maio"
bg-bg,pt-pt,"20 март","20 de Março"
bg-bg,pt-pt,"20 ноември","20 de Novembro"
bg-bg,pt-pt,"20 октомври","20 de Outubro"
bg-bg,pt-pt,"20 септември","20 de Setembro"
bg-bg,pt-pt,"20 февруари","20 de Fevereiro"
bg-bg,pt-pt,"20 юли","20 de Julho"
bg-bg,pt-pt,"20 юни","20 de Junho"
bg-bg,pt-pt,"20 януари","20 de Janeiro"
bg-bg,pt-pt,"20000 Варуна","20000 Varuna"
bg-bg,pt-pt,"2006 Голяма награда на Бразилия","Grande Prêmio do Brasil de 2006"
bg-bg,pt-pt,"2010-те","Década de 2010"
bg-bg,pt-pt,"2020-те","Década de 2020"
bg-bg,pt-pt,"2030-те","Década de 2030"
bg-bg,pt-pt,"21 август","21 de Agosto"
bg-bg,pt-pt,"21 април","21 de Abril"
bg-bg,pt-pt,"21 век пр.н.е.","Século XXI a.C."
bg-bg,pt-pt,"21 век","Século XXI"
bg-bg,pt-pt,"21 декември","21 de Dezembro"
bg-bg,pt-pt,"21 май","21 de Maio"
bg-bg,pt-pt,"21 март","21 de Março"
bg-bg,pt-pt,"21 ноември","21 de Novembro"
bg-bg,pt-pt,"21 октомври","21 de Outubro"
bg-bg,pt-pt,"21 септември","21 de Setembro"
bg-bg,pt-pt,"21 февруари","21 de Fevereiro"
bg-bg,pt-pt,"21 юли","21 de Julho"
bg-bg,pt-pt,"21 юни","21 de Junho"
bg-bg,pt-pt,"21 януари","21 de Janeiro"
bg-bg,pt-pt,"22 август","22 de Agosto"
bg-bg,pt-pt,"22 април","22 de Abril"
bg-bg,pt-pt,"22 век","Século XXII"
bg-bg,pt-pt,"22 декември","22 de Dezembro"
bg-bg,pt-pt,"22 май","22 de Maio"
bg-bg,pt-pt,"22 март","22 de Março"
bg-bg,pt-pt,"22 ноември","22 de Novembro"
bg-bg,pt-pt,"22 октомври","22 de Outubro"
bg-bg,pt-pt,"22 септември","22 de Setembro"
bg-bg,pt-pt,"22 февруари","22 de Fevereiro"
bg-bg,pt-pt,"22 юли","22 de Julho"
bg-bg,pt-pt,"22 юни","22 de Junho"
bg-bg,pt-pt,"22 януари","22 de Janeiro"
bg-bg,pt-pt,"23 август","23 de Agosto"
bg-bg,pt-pt,"23 април","23 de Abril"
bg-bg,pt-pt,"23 век","Século XXIII"
bg-bg,pt-pt,"23 декември","23 de Dezembro"
bg-bg,pt-pt,"23 май","23 de Maio"
bg-bg,pt-pt,"23 март","23 de Março"
bg-bg,pt-pt,"23 ноември","23 de Novembro"
bg-bg,pt-pt,"23 октомври","23 de Outubro"
bg-bg,pt-pt,"23 септември","23 de Setembro"
bg-bg,pt-pt,"23 февруари","23 de Fevereiro"
bg-bg,pt-pt,"23 юли","23 de Julho"
bg-bg,pt-pt,"23 юни","23 de Junho"
bg-bg,pt-pt,"23 януари","23 de Janeiro"
bg-bg,pt-pt,"24 август","24 de Agosto"
bg-bg,pt-pt,"24 април","24 de Abril"
bg-bg,pt-pt,"24 декември","24 de Dezembro"
bg-bg,pt-pt,"24 май","24 de Maio"
bg-bg,pt-pt,"24 март","24 de Março"
bg-bg,pt-pt,"24 ноември","24 de Novembro"
bg-bg,pt-pt,"24 октомври","24 de Outubro"
bg-bg,pt-pt,"24 септември","24 de Setembro"
bg-bg,pt-pt,"24 февруари","24 de Fevereiro"
bg-bg,pt-pt,"24 юли","24 de Julho"
bg-bg,pt-pt,"24 юни","24 de Junho"
bg-bg,pt-pt,"24 януари","24 de Janeiro"
bg-bg,pt-pt,"24-те часа на Льо Ман","24 Horas de Le Mans"
bg-bg,pt-pt,"25 август","25 de Agosto"
