cs-cz,bg-bg,"'74 Jailbreak","'74 Jailbreak"
cs-cz,bg-bg,"...And Justice for All","...And Justice For All"
cs-cz,bg-bg,".50 BMG",".50 BMG"
cs-cz,bg-bg,"1. FC Brno","Бърно"
cs-cz,bg-bg,"1. FC Norimberk","1. ФК Нюрнберг"
cs-cz,bg-bg,"1. březen","1 март"
cs-cz,bg-bg,"1. duben","1 април"
cs-cz,bg-bg,"1. květen","1 май"
cs-cz,bg-bg,"1. leden","1 януари"
cs-cz,bg-bg,"1. listopad","1 ноември"
cs-cz,bg-bg,"1. prosinec","1 декември"
cs-cz,bg-bg,"1. srpen","1 август"
cs-cz,bg-bg,"1. století př. n. l.","1 век пр.н.е."
cs-cz,bg-bg,"1. století","1 век"
cs-cz,bg-bg,"1. termodynamický zákon","Закон за запазване на енергията"
cs-cz,bg-bg,"1. tisíciletí př. n. l.","1 хилядолетие пр.н.е."
cs-cz,bg-bg,"1. tisíciletí","1 хилядолетие"
cs-cz,bg-bg,"1. září","1 септември"
cs-cz,bg-bg,"1. únor","1 февруари"
cs-cz,bg-bg,"1. červen","1 юни"
cs-cz,bg-bg,"1. červenec","1 юли"
cs-cz,bg-bg,"1. říjen","1 октомври"
cs-cz,bg-bg,"10. březen","10 март"
cs-cz,bg-bg,"10. duben","10 април"
cs-cz,bg-bg,"10. květen","10 май"
cs-cz,bg-bg,"10. leden","10 януари"
cs-cz,bg-bg,"10. listopad","10 ноември"
cs-cz,bg-bg,"10. prosinec","10 декември"
cs-cz,bg-bg,"10. srpen","10 август"
cs-cz,bg-bg,"10. století př. n. l.","10 век пр.н.е."
cs-cz,bg-bg,"10. století","10 век"
cs-cz,bg-bg,"10. tisíciletí př. n. l.","10 хилядолетие пр.н.е."
cs-cz,bg-bg,"10. září","10 септември"
cs-cz,bg-bg,"10. únor","10 февруари"
cs-cz,bg-bg,"10. červen","10 юни"
cs-cz,bg-bg,"10. červenec","10 юли"
cs-cz,bg-bg,"10. říjen","10 октомври"
cs-cz,bg-bg,"11. březen","11 март"
cs-cz,bg-bg,"11. duben","11 април"
cs-cz,bg-bg,"11. květen","11 май"
cs-cz,bg-bg,"11. leden","11 януари"
cs-cz,bg-bg,"11. listopad","11 ноември"
cs-cz,bg-bg,"11. prosinec","11 декември"
cs-cz,bg-bg,"11. srpen","11 август"
cs-cz,bg-bg,"11. století př. n. l.","11 век пр.н.е."
cs-cz,bg-bg,"11. století","11 век"
cs-cz,bg-bg,"11. září","11 септември"
cs-cz,bg-bg,"11. únor","11 февруари"
cs-cz,bg-bg,"11. červen","11 юни"
cs-cz,bg-bg,"11. červenec","11 юли"
cs-cz,bg-bg,"11. říjen","11 октомври"
cs-cz,bg-bg,"12. březen","12 март"
cs-cz,bg-bg,"12. duben","12 април"
cs-cz,bg-bg,"12. květen","12 май"
cs-cz,bg-bg,"12. leden","12 януари"
cs-cz,bg-bg,"12. listopad","12 ноември"
cs-cz,bg-bg,"12. prosinec","12 декември"
cs-cz,bg-bg,"12. srpen","12 август"
cs-cz,bg-bg,"12. století př. n. l.","12 век пр.н.е."
cs-cz,bg-bg,"12. století","12 век"
cs-cz,bg-bg,"12. září","12 септември"
cs-cz,bg-bg,"12. únor","12 февруари"
cs-cz,bg-bg,"12. červen","12 юни"
cs-cz,bg-bg,"12. červenec","12 юли"
cs-cz,bg-bg,"12. říjen","12 октомври"
cs-cz,bg-bg,"13. březen","13 март"
cs-cz,bg-bg,"13. duben","13 април"
cs-cz,bg-bg,"13. květen","13 май"
cs-cz,bg-bg,"13. leden","13 януари"
cs-cz,bg-bg,"13. listopad","13 ноември"
cs-cz,bg-bg,"13. prosinec","13 декември"
cs-cz,bg-bg,"13. srpen","13 август"
cs-cz,bg-bg,"13. století př. n. l.","13 век пр.н.е."
cs-cz,bg-bg,"13. století","13 век"
cs-cz,bg-bg,"13. září","13 септември"
cs-cz,bg-bg,"13. únor","13 февруари"
cs-cz,bg-bg,"13. červen","13 юни"
cs-cz,bg-bg,"13. červenec","13 юли"
cs-cz,bg-bg,"13. říjen","13 октомври"
cs-cz,bg-bg,"14. březen","14 март"
cs-cz,bg-bg,"14. duben","14 април"
cs-cz,bg-bg,"14. květen","14 май"
cs-cz,bg-bg,"14. leden","14 януари"
cs-cz,bg-bg,"14. listopad","14 ноември"
cs-cz,bg-bg,"14. prosinec","14 декември"
cs-cz,bg-bg,"14. srpen","14 август"
cs-cz,bg-bg,"14. století př. n. l.","14 век пр.н.е."
cs-cz,bg-bg,"14. století","14 век"
cs-cz,bg-bg,"14. září","14 септември"
cs-cz,bg-bg,"14. únor","14 февруари"
cs-cz,bg-bg,"14. červen","14 юни"
cs-cz,bg-bg,"14. červenec","14 юли"
cs-cz,bg-bg,"14. říjen","14 октомври"
cs-cz,bg-bg,"15. březen","15 март"
cs-cz,bg-bg,"15. duben","15 април"
cs-cz,bg-bg,"15. květen","15 май"
cs-cz,bg-bg,"15. leden","15 януари"
cs-cz,bg-bg,"15. listopad","15 ноември"
cs-cz,bg-bg,"15. prosinec","15 декември"
