cs-cz,et-ee,"... je toho důkazem","Hea näide"
cs-cz,et-ee,"... je toho důkazem",Kaasus
cs-cz,et-ee,"... jsou od",Tänu
cs-cz,et-ee,"...And Justice for All","...And Justice for All"
cs-cz,et-ee,"1 Canada Square","1 Canada Square"
cs-cz,et-ee,"1 př. n. l.","1 eKr"
cs-cz,et-ee,"1,4-dioxan",Dioksaan
cs-cz,et-ee,"1. FC Brno",Brno
cs-cz,et-ee,"1. FC Norimberk",Nürnberg
cs-cz,et-ee,"1. březen","1. märts"
cs-cz,et-ee,"1. duben","1. aprill"
cs-cz,et-ee,"1. kniha Samuelova","Saamueli raamatud"
cs-cz,et-ee,"1. kniha královská","Kuningate raamatud"
cs-cz,et-ee,"1. konstantinopolský koncil","I Konstantinoopoli kirikukogu"
cs-cz,et-ee,"1. květen","1. mai"
cs-cz,et-ee,"1. leden","1. jaanuar"
cs-cz,et-ee,"1. listopad","1. november"
cs-cz,et-ee,"1. nikajský koncil","I Nikaia kirikukogu"
cs-cz,et-ee,"1. prosinec","1. detsember"
cs-cz,et-ee,"1. srpen","1. august"
cs-cz,et-ee,"1. století př. n. l.","1. sajand eKr"
cs-cz,et-ee,"1. století","1. sajand"
cs-cz,et-ee,"1. termodynamický zákon","Energia jäävuse seadus"
cs-cz,et-ee,"1. tisíciletí př. n. l.","1. aastatuhat eKr"
cs-cz,et-ee,"1. tisíciletí","1. aastatuhat"
cs-cz,et-ee,"1. září","1. september"
cs-cz,et-ee,"1. únor","1. veebruar"
cs-cz,et-ee,"1. červen","1. juuni"
cs-cz,et-ee,"1. červenec","1. juuli"
cs-cz,et-ee,"1. říjen","1. oktoober"
cs-cz,et-ee,"10 př. n. l.","10 eKr"
cs-cz,et-ee,"10. březen","10. märts"
cs-cz,et-ee,"10. duben","10. aprill"
cs-cz,et-ee,"10. květen","10. mai"
cs-cz,et-ee,"10. leden","10. jaanuar"
cs-cz,et-ee,"10. listopad","10. november"
cs-cz,et-ee,"10. prosinec","10. detsember"
cs-cz,et-ee,"10. srpen","10. august"
cs-cz,et-ee,"10. století př. n. l.","900. aastad eKr"
cs-cz,et-ee,"10. století","10. sajand"
cs-cz,et-ee,"10. září","10. september"
cs-cz,et-ee,"10. únor","10. veebruar"
cs-cz,et-ee,"10. červen","10. juuni"
cs-cz,et-ee,"10. červenec","10. juuli"
cs-cz,et-ee,"10. říjen","10. oktoober"
cs-cz,et-ee,"100 př. n. l.","100 eKr"
cs-cz,et-ee,"1000 př. n. l.","1000 eKr"
cs-cz,et-ee,"11 př. n. l.","11 eKr"
cs-cz,et-ee,"11. březen","11. märts"
cs-cz,et-ee,"11. duben","11. aprill"
cs-cz,et-ee,"11. květen","11. mai"
cs-cz,et-ee,"11. leden","11. jaanuar"
cs-cz,et-ee,"11. listopad","11. november"
cs-cz,et-ee,"11. prosinec","11. detsember"
cs-cz,et-ee,"11. srpen","11. august"
cs-cz,et-ee,"11. století","11. sajand"
cs-cz,et-ee,"11. září","11. september"
cs-cz,et-ee,"11. únor","11. veebruar"
cs-cz,et-ee,"11. červen","11. juuni"
cs-cz,et-ee,"11. červenec","11. juuli"
cs-cz,et-ee,"11. říjen","11. oktoober"
cs-cz,et-ee,"12 př. n. l.","12 eKr"
cs-cz,et-ee,"12. březen","12. märts"
cs-cz,et-ee,"12. duben","12. aprill"
cs-cz,et-ee,"12. květen","12. mai"
cs-cz,et-ee,"12. leden","12. jaanuar"
cs-cz,et-ee,"12. listopad","12. november"
cs-cz,et-ee,"12. prosinec","12. detsember"
cs-cz,et-ee,"12. srpen","12. august"
cs-cz,et-ee,"12. století","12. sajand"
cs-cz,et-ee,"12. září","12. september"
cs-cz,et-ee,"12. únor","12. veebruar"
cs-cz,et-ee,"12. červen","12. juuni"
cs-cz,et-ee,"12. červenec","12. juuli"
cs-cz,et-ee,"12. říjen","12. oktoober"
cs-cz,et-ee,"13 př. n. l.","13 eKr"
cs-cz,et-ee,"13. březen","13. märts"
cs-cz,et-ee,"13. duben","13. aprill"
cs-cz,et-ee,"13. květen","13. mai"
cs-cz,et-ee,"13. leden","13. jaanuar"
cs-cz,et-ee,"13. listopad","13. november"
cs-cz,et-ee,"13. prosinec","13. detsember"
cs-cz,et-ee,"13. srpen","13. august"
cs-cz,et-ee,"13. století","13. sajand"
cs-cz,et-ee,"13. září","13. september"
cs-cz,et-ee,"13. únor","13. veebruar"
cs-cz,et-ee,"13. červen","13. juuni"
cs-cz,et-ee,"13. červenec","13. juuli"
cs-cz,et-ee,"13. říjen","13. oktoober"
cs-cz,et-ee,"14 př. n. l.","14 eKr"
cs-cz,et-ee,"14. březen","14. märts"
cs-cz,et-ee,"14. duben","14. aprill"
cs-cz,et-ee,"14. květen","14. mai"
cs-cz,et-ee,"14. leden","14. jaanuar"
cs-cz,et-ee,"14. listopad","14. november"
cs-cz,et-ee,"14. prosinec","14. detsember"
cs-cz,et-ee,"14. srpen","14. august"
cs-cz,et-ee,"14. století","14. sajand"
cs-cz,et-ee,"14. září","14. september"
cs-cz,et-ee,"14. únor","14. veebruar"
cs-cz,et-ee,"14. červen","14. juuni"
cs-cz,et-ee,"14. červenec","14. juuli"
cs-cz,et-ee,"14. říjen","14. oktoober"
cs-cz,et-ee,"15 př. n. l.","15 eKr"
cs-cz,et-ee,"15. březen","15. märts"
cs-cz,et-ee,"15. duben","15. aprill"
