cs-cz,sl-si,".22 Long Rifle",".22 LR"
cs-cz,sl-si,".32 ACP","7,65 mm Browning"
cs-cz,sl-si,".357 Magnum",".357 Magnum"
cs-cz,sl-si,".40 S&W",".40 Smith & Wesson"
cs-cz,sl-si,".45 ACP",".45 ACP"
cs-cz,sl-si,"1 př. n. l.","1 pr. n. št."
cs-cz,sl-si,"1. FC Brno",Brno
cs-cz,sl-si,"1. FC Norimberk",Nürnberg
cs-cz,sl-si,"1. březen","1. marec"
cs-cz,sl-si,"1. duben","1. april"
cs-cz,sl-si,"1. květen","1. maj"
cs-cz,sl-si,"1. leden","1. januar"
cs-cz,sl-si,"1. listopad","1. november"
cs-cz,sl-si,"1. prosinec","1. december"
cs-cz,sl-si,"1. pěší divize","1. pehotna divizija"
cs-cz,sl-si,"1. srpen","1. avgust"
cs-cz,sl-si,"1. století př. n. l.","1. stoletje pr. n. št."
cs-cz,sl-si,"1. století","1. stoletje"
cs-cz,sl-si,"1. termodynamický zákon","Prvi zakon termodinamike"
cs-cz,sl-si,"1. tisíciletí př. n. l.","1. tisočletje pr. n. št."
cs-cz,sl-si,"1. tisíciletí","1. tisočletje"
cs-cz,sl-si,"1. září","1. september"
cs-cz,sl-si,"1. únor","1. februar"
cs-cz,sl-si,"1. červen","1. junij"
cs-cz,sl-si,"1. červenec","1. julij"
cs-cz,sl-si,"1. říjen","1. oktober"
cs-cz,sl-si,"10 př. n. l.","10 pr. n. št."
cs-cz,sl-si,"10. březen","10. marec"
cs-cz,sl-si,"10. duben","10. april"
cs-cz,sl-si,"10. horská divize","10. gorska divizija"
cs-cz,sl-si,"10. květen","10. maj"
cs-cz,sl-si,"10. leden","10. januar"
cs-cz,sl-si,"10. listopad","10. november"
cs-cz,sl-si,"10. prosinec","10. december"
cs-cz,sl-si,"10. srpen","10. avgust"
cs-cz,sl-si,"10. století př. n. l.","10. stoletje pr. n. št."
cs-cz,sl-si,"10. století","10. stoletje"
cs-cz,sl-si,"10. tisíciletí př. n. l.","10. tisočletje pr. n. št."
cs-cz,sl-si,"10. září","10. september"
cs-cz,sl-si,"10. únor","10. februar"
cs-cz,sl-si,"10. červen","10. junij"
cs-cz,sl-si,"10. červenec","10. julij"
cs-cz,sl-si,"10. říjen","10. oktober"
cs-cz,sl-si,"100 př. n. l.","100 pr. n. št."
cs-cz,sl-si,"1000 př. n. l.","1000 pr. n. št."
cs-cz,sl-si,"101 př. n. l.","101 pr. n. št."
cs-cz,sl-si,"102 př. n. l.","102 pr. n. št."
cs-cz,sl-si,"103 př. n. l.","103 pr. n. št."
cs-cz,sl-si,"104 př. n. l.","104 pr. n. št."
cs-cz,sl-si,"105 př. n. l.","105 pr. n. št."
cs-cz,sl-si,"106 př. n. l.","106 pr. n. št."
cs-cz,sl-si,"107 př. n. l.","107 pr. n. št."
cs-cz,sl-si,"108 př. n. l.","108 pr. n. št."
