da-dk,be-by,"1. Balkankrig","Балканскія войны"
da-dk,be-by,"1. Januar","1 студзеня"
da-dk,be-by,"1. april","1 красавіка"
da-dk,be-by,"1. august","1 жніўня"
da-dk,be-by,"1. december","1 снежня"
da-dk,be-by,"1. februar","1 лютага"
da-dk,be-by,"1. januar","1 студзеня"
da-dk,be-by,"1. juli","1 ліпеня"
da-dk,be-by,"1. juni","1 чэрвеня"
da-dk,be-by,"1. maj","1 мая"
da-dk,be-by,"1. marts","1 сакавіка"
da-dk,be-by,"1. november","1 лістапада"
da-dk,be-by,"1. oktober","1 кастрычніка"
da-dk,be-by,"1. september","1 верасня"
da-dk,be-by,"1. verdenskrig","Першая сусветная вайна"
da-dk,be-by,"1. århundrede f.Kr.","1 стагоддзе да н.э."
da-dk,be-by,"1. århundrede","1 стагоддзе"
da-dk,be-by,"10. april","10 красавіка"
da-dk,be-by,"10. august","10 жніўня"
da-dk,be-by,"10. december","10 снежня"
da-dk,be-by,"10. februar","10 лютага"
da-dk,be-by,"10. januar","10 студзеня"
da-dk,be-by,"10. juli","10 ліпеня"
da-dk,be-by,"10. juni","10 чэрвеня"
da-dk,be-by,"10. maj","10 мая"
da-dk,be-by,"10. marts","10 сакавіка"
da-dk,be-by,"10. november","10 лістапада"
da-dk,be-by,"10. oktober","10 кастрычніка"
da-dk,be-by,"10. september","10 верасня"
da-dk,be-by,"10. århundrede f.Kr.","10 стагоддзе да н.э."
da-dk,be-by,"10. århundrede","10 стагоддзе"
da-dk,be-by,"100'erne f.Kr.","2 стагоддзе да н.э."
da-dk,be-by,"11. april","11 красавіка"
da-dk,be-by,"11. august","11 жніўня"
da-dk,be-by,"11. december","11 снежня"
da-dk,be-by,"11. februar","11 лютага"
da-dk,be-by,"11. januar","11 студзеня"
da-dk,be-by,"11. juli","11 ліпеня"
da-dk,be-by,"11. juni","11 чэрвеня"
da-dk,be-by,"11. maj","11 мая"
da-dk,be-by,"11. marts","11 сакавіка"
da-dk,be-by,"11. november","11 лістапада"
da-dk,be-by,"11. oktober","11 кастрычніка"
da-dk,be-by,"11. september","11 верасня"
da-dk,be-by,"11. århundrede","11 стагоддзе"
da-dk,be-by,"12. april","12 красавіка"
