da-dk,nl-nl,"""Weird Al"" Yankovic","Weird Al Yankovic"
da-dk,nl-nl,"'Allo 'Allo!","'Allo 'Allo"
da-dk,nl-nl,"...And Justice For All","...And Justice for All"
da-dk,nl-nl,"...And Justice for All","...And Justice for All"
da-dk,nl-nl,"...Baby One More Time","...Baby One More Time"
da-dk,nl-nl,".45 ACP",".45 ACP"
da-dk,nl-nl,".NET Framework 3.0",".NET Framework 3.0"
da-dk,nl-nl,"0'erne f.Kr.","9-1 v.Chr."
da-dk,nl-nl,"1 f.Kr.","1 v.Chr."
da-dk,nl-nl,"1 mod 100","Eén tegen 100"
da-dk,nl-nl,"1. Balkankrig",Balkanoorlogen
da-dk,nl-nl,"1. FC Kaiserslautern","1. FC Kaiserslautern"
da-dk,nl-nl,"1. FC Köln","1. FC Köln"
da-dk,nl-nl,"1. FC Nürnberg","1. FC Nürnberg"
da-dk,nl-nl,"1. Januar","1 januari"
da-dk,nl-nl,"1. april","1 april"
da-dk,nl-nl,"1. august","1 augustus"
da-dk,nl-nl,"1. december","1 december"
da-dk,nl-nl,"1. etape af Tour de France 2007","Ronde van Frankrijk 2007/Eerste etappe"
da-dk,nl-nl,"1. februar","1 februari"
da-dk,nl-nl,"1. januar","1 januari"
da-dk,nl-nl,"1. juli","1 juli"
da-dk,nl-nl,"1. juni","1 juni"
da-dk,nl-nl,"1. maj","1 mei"
da-dk,nl-nl,"1. marts","1 maart"
da-dk,nl-nl,"1. november","1 november"
da-dk,nl-nl,"1. oktober","1 oktober"
da-dk,nl-nl,"1. september","1 september"
da-dk,nl-nl,"1. symfoni","Symfonie nr. 1"
da-dk,nl-nl,"1. verdenskrig","Eerste Wereldoorlog"
da-dk,nl-nl,"1. århundrede f.Kr.","1e eeuw v.Chr."
da-dk,nl-nl,"1. århundrede","1e eeuw"
da-dk,nl-nl,"1. årtusinde f.Kr.","1e millennium v.Chr."
da-dk,nl-nl,"1. årtusinde","1e millennium"
da-dk,nl-nl,"10 f.Kr.","10 v.Chr."
da-dk,nl-nl,"10'erne f.Kr.","19-10 v.Chr."
da-dk,nl-nl,"10. april","10 april"
da-dk,nl-nl,"10. august","10 augustus"
da-dk,nl-nl,"10. december","10 december"
da-dk,nl-nl,"10. etape af Tour de France 2007","Ronde van Frankrijk 2007/Tiende etappe"
