en-us,lv-lv,"1 E-15 s",Femtosekunde
en-us,lv-lv,"1,2-Dichloroethane","Dihloretāns"
en-us,lv-lv,"1,3-Butadiene","Butadiēns"
en-us,lv-lv,"1,4-Dioxane","Dioksāns"
en-us,lv-lv,"1. FC Brno",Brno
en-us,lv-lv,"1. FC Nuremberg",Nirnberga
en-us,lv-lv,"1. FC Nürnberg",Nirnberga
en-us,lv-lv,"1. FSV Mainz 05","1. FSV Mainz 05"
en-us,lv-lv,"103 Hera","Hēra"
en-us,lv-lv,"1036 Ganymed","Ganimēds"
en-us,lv-lv,"1047 Geisha",Geiša
en-us,lv-lv,"105 Artemis",Artemīda
en-us,lv-lv,"10th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"1108 Demeter","Dēmetra"
en-us,lv-lv,"1112 Polonia",Polija
en-us,lv-lv,"1154 Astronomia",Astronomija
en-us,lv-lv,"1159 Granada","Grenāda"
en-us,lv-lv,"1162 Larissa","Lārisa"
en-us,lv-lv,"11th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"12 Victoria","Viktorijas ezers"
en-us,lv-lv,"1203 Nanna",Nanna
en-us,lv-lv,"1223 Neckar","Nekāra"
en-us,lv-lv,"1279 Uganda",Uganda
en-us,lv-lv,"12th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"12th century","12. gadsimts"
en-us,lv-lv,"136 Austria",Austrija
en-us,lv-lv,"1388 Aphrodite",Afrodīte
en-us,lv-lv,"13th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"13th century","13. gadsimts"
en-us,lv-lv,"148 Gallia",Gallija
en-us,lv-lv,"14th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"14th century","14. gadsimts"
en-us,lv-lv,"1500 Jyväskylä",Jiveskile
en-us,lv-lv,"1516 Henry",Henrijs
en-us,lv-lv,"15th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"15th Waffen Grenadier Division of the SS","15. ieroču SS grenadieru divīzija"
en-us,lv-lv,"15th century","15. gadsimts"
en-us,lv-lv,"16th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"16th century BC","16. gadsimts"
en-us,lv-lv,"16th century","16. gadsimts"
en-us,lv-lv,"170 Maria","Jaunava Marija"
en-us,lv-lv,"17th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"17th century","17. gadsimts"
en-us,lv-lv,"1862 Apollo",Apollons
en-us,lv-lv,"18th Academy Awards","Amerikas Kinoakadēmijas balva"
en-us,lv-lv,"18th century","18. gadsimts"
en-us,lv-lv,"1903 Tour de France","Tour de France 1903"
en-us,lv-lv,"1924 Winter Olympics","Ziemas Olimpiskās spēles"
en-us,lv-lv,"1930 FIFA World Cup squads","FIFA Pasaules kauss 1930"
en-us,lv-lv,"1930 FIFA World Cup","FIFA Pasaules kauss 1930"
en-us,lv-lv,"1934 FIFA World Cup squads","FIFA Pasaules kauss 1934"
en-us,lv-lv,"1934 FIFA World Cup","FIFA Pasaules kauss 1934"
en-us,lv-lv,"19367 Pink Floyd","Pink Floyd"
en-us,lv-lv,"1938 FIFA World Cup squads","FIFA Pasaules kauss 1938"
en-us,lv-lv,"1938 FIFA World Cup","FIFA Pasaules kauss 1938"
en-us,lv-lv,"1950 FIFA World Cup squads","FIFA Pasaules kauss 1950"
en-us,lv-lv,"1950 FIFA World Cup","FIFA Pasaules kauss 1950"
en-us,lv-lv,"1950 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1950 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1951 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1952 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1953 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1954 FIFA World Cup squads","FIFA Pasaules kauss 1954"
en-us,lv-lv,"1954 FIFA World Cup","FIFA Pasaules kauss 1954"
en-us,lv-lv,"1954 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1954 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2000. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2001. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2002. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2003. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2004. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2005. gada F1 sezona"
en-us,lv-lv,"1955 Formula One season","2007. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","1994. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","1995. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","1996. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","1997. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","1998. gada F1 sezona"
en-us,lv-lv,"1956 Formula One season","2000. gada F1 sezona"
