en-us,sl-si,"""Weird Al"" Yankovic","""Weird Al"" Yankovic"
en-us,sl-si,"'Allo 'Allo!","Alo Alo"
en-us,sl-si,".22 Long Rifle",".22 LR"
en-us,sl-si,".32 ACP","7,65 mm Browning"
en-us,sl-si,".357 Magnum",".357 Magnum"
en-us,sl-si,".40 S&W",".40 Smith & Wesson"
en-us,sl-si,".45 ACP",".45 ACP"
en-us,sl-si,".50 Action Express",".50 Action Express"
en-us,sl-si,".500 S&W Magnum",".500 Smith & Wesson Magnum"
en-us,sl-si,".NET Framework","Microsoft .NET"
en-us,sl-si,".net framework","Microsoft .NET"
en-us,sl-si,"0s BC","0. pr. n. št."
en-us,sl-si,"1 BC","1 pr. n. št."
en-us,sl-si,"1 E+1 m","1 E1 m"
en-us,sl-si,"1 E+1 m²","Red velikosti"
en-us,sl-si,"1 E+10 m²","1 E10 m²"
en-us,sl-si,"1 E+11 m","1 E11 m"
en-us,sl-si,"1 E+11 m²","1 E11 m²"
en-us,sl-si,"1 E+12 m²","1 E12 m²"
en-us,sl-si,"1 E+13 m²","1 E13 m²"
en-us,sl-si,"1 E+14 m²","1 E14 m²"
en-us,sl-si,"1 E+2 m","1 E2 m"
en-us,sl-si,"1 E+3 m","1 E3 m"
en-us,sl-si,"1 E+3 m²","1 E3 m²"
en-us,sl-si,"1 E+4 m","1 E4 m"
en-us,sl-si,"1 E+4 m²","1 E4 m²"
en-us,sl-si,"1 E+5 m","1 E5 m"
en-us,sl-si,"1 E+5 m²","1 E5 m²"
en-us,sl-si,"1 E+6 m","1 E6 m"
en-us,sl-si,"1 E+6 m²","1 E6 m²"
en-us,sl-si,"1 E+7 m","1 E7 m"
en-us,sl-si,"1 E+7 m²","1 E7 m²"
en-us,sl-si,"1 E+8 m","1 E8 m"
en-us,sl-si,"1 E+8 m²","1 E8 m²"
en-us,sl-si,"1 E+9 m","1 E9 m"
en-us,sl-si,"1 E-6 m",Mikrometer
en-us,sl-si,"1 E-6 s",Mikrosekunda
en-us,sl-si,"1 E-9 m",Nanometer
en-us,sl-si,"1 E11 m","1 E11 m"
en-us,sl-si,"1 E4 m","1 E3 m"
en-us,sl-si,"1 E4 m","1 E4 m"
en-us,sl-si,"1 E4 m","1 E5 m"
en-us,sl-si,"1 E4 m³","1 E4 m³"
en-us,sl-si,"1 E4 m³","1 E8 m³"
en-us,sl-si,"1 E4 m³","Red velikosti"
en-us,sl-si,"1. FC Brno",Brno
en-us,sl-si,"1. FC Kaiserslautern","1. FC Kaiserslautern"
