en-us,sr-rs,"""Weird Al"" Yankovic","""Откачени Ал"" Јанковић"
en-us,sr-rs,"'Allo 'Allo!","Ало, ало!"
en-us,sr-rs,"1 BC","1. п. н. е."
en-us,sr-rs,"1 E+1 m²","Ред величине"
en-us,sr-rs,"1 E4 m³","Ред величине"
en-us,sr-rs,"1 Night in Paris","Једна ноћ у Паризу"
en-us,sr-rs,"1. FC Brno","Брно"
en-us,sr-rs,"1. FC Nuremberg","Нирнберг"
en-us,sr-rs,"1. FC Nürnberg","Нирнберг"
en-us,sr-rs,"1. FSV Mainz 05","Мајнц 05"
en-us,sr-rs,"10 Agorot controversy","Агора"
en-us,sr-rs,"10 BC","10. п. н. е."
en-us,sr-rs,"10.5 cm FlaK 38","Противавионски топ 105 mm Флак 38"
en-us,sr-rs,"100 BC","100. п. н. е."
en-us,sr-rs,"100 metres","Трка на 100 метара"
en-us,sr-rs,"1000 BC","1000. пне."
en-us,sr-rs,"1000s BC","1000. пне."
en-us,sr-rs,"1008 La Paz","Ла Паз"
en-us,sr-rs,"100s BC","2. век п. н. е."
en-us,sr-rs,"101 BC","101. п. н. е."
en-us,sr-rs,"101 Helena","Лепа Јелена"
en-us,sr-rs,"101st SS Heavy Panzer Detachment","101. СС тешки тенковски батаљон"
en-us,sr-rs,"102 BC","102. п. н. е."
en-us,sr-rs,"102 Miriam","Мирјам"
en-us,sr-rs,"1026 Ingrid","Ингрид"
en-us,sr-rs,"103 BC","103. п. н. е."
en-us,sr-rs,"103 Hera","Хера"
en-us,sr-rs,"1036 Ganymed","Ганимед"
en-us,sr-rs,"104 BC","104. п. н. е."
en-us,sr-rs,"105 Artemis","Артемида"
en-us,sr-rs,"105 BC","105. п. н. е."
en-us,sr-rs,"1057 Wanda","Ванда"
en-us,sr-rs,"106 BC","106. п. н. е."
en-us,sr-rs,"1060 Magnolia","Магнолија"
en-us,sr-rs,"1068 Nofretete","Нефертити"
en-us,sr-rs,"107 BC","107. п. н. е."
en-us,sr-rs,"107 Camilla","Камила"
en-us,sr-rs,"108 BC","108. п. н. е."
en-us,sr-rs,"109 BC","109. п. н. е."
en-us,sr-rs,"10th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"10th Panzer Division","Немачка 10. оклопна дивизија"
en-us,sr-rs,"10th SS Panzer Division Frundsberg","10. СС оклопна дивизија Фрундсберг"
en-us,sr-rs,"10th century BC","10. век п. н. е."
en-us,sr-rs,"10th century","10. век"
en-us,sr-rs,"10th millennium BC","10. миленијум п. н. е."
en-us,sr-rs,"11 BC","11. п. н. е."
en-us,sr-rs,"11'9""01 September 11","11. септембар"
en-us,sr-rs,"110 BC","110. п. н. е."
en-us,sr-rs,"110 Lydia","Лидија"
en-us,sr-rs,"110393 Rammstein","Рамштајн"
en-us,sr-rs,"1108 Demeter","Деметра"
en-us,sr-rs,"111 BC","111. п. н. е."
en-us,sr-rs,"1112 Polonia","Пољска"
en-us,sr-rs,"112 BC","112. п. н. е."
en-us,sr-rs,"1120s BC","1120. п. н. е."
en-us,sr-rs,"1125 China","Кина"
en-us,sr-rs,"1125 China","Народна република Кина"
en-us,sr-rs,"113 Amalthea","Амалтеја"
en-us,sr-rs,"113 BC","113. п. н. е."
en-us,sr-rs,"114 BC","114. п. н. е."
en-us,sr-rs,"114 Kassandra","Касандра"
en-us,sr-rs,"1143 Odysseus","Одисеј"
en-us,sr-rs,"115 BC","115. п. н. е."
en-us,sr-rs,"1154 Astronomia","Астрономија"
en-us,sr-rs,"1157 Arabia","Арабијско полуострво"
en-us,sr-rs,"1159 Granada","Гранада"
en-us,sr-rs,"116 BC","116. п. н. е."
en-us,sr-rs,"117 BC","117. п. н. е."
en-us,sr-rs,"118 BC","118. п. н. е."
en-us,sr-rs,"1181 Lilith","Лилит"
en-us,sr-rs,"119 BC","119. п. н. е."
en-us,sr-rs,"11th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"11th SS Volunteer Panzergrenadier Division Nordland","11. СС добровољачка панцергренадирска дивизија Северна земља"
en-us,sr-rs,"11th century BC","11. век п. н. е."
en-us,sr-rs,"11th century","11. век"
en-us,sr-rs,"12 BC","12. п. н. е."
en-us,sr-rs,"12 Victoria","Викторија"
en-us,sr-rs,"120 BC","120. п. н. е."
en-us,sr-rs,"1200 BC","1200. пне."
en-us,sr-rs,"121 BC","121. п. н. е."
en-us,sr-rs,"122 BC","122. п. н. е."
en-us,sr-rs,"122 Gerda","Герда"
en-us,sr-rs,"1221 Amor","Купидон"
en-us,sr-rs,"123 BC","123. п. н. е."
en-us,sr-rs,"1230s BC","1230. п. н. е."
en-us,sr-rs,"124 BC","124. п. н. е."
en-us,sr-rs,"1240s BC","1240. п. н. е."
en-us,sr-rs,"125 BC","125. п. н. е."
en-us,sr-rs,"1250s BC","1250. п. н. е."
en-us,sr-rs,"126 BC","126. п. н. е."
en-us,sr-rs,"127 BC","127. п. н. е."
en-us,sr-rs,"1270s BC","1270. п. н. е."
en-us,sr-rs,"1279 Uganda",Уганда
en-us,sr-rs,"128 BC","128. п. н. е."
en-us,sr-rs,"128 Nemesis","Немесис"
en-us,sr-rs,"1280s BC","1287. п. н. е."
en-us,sr-rs,"129 Antigone","Антигона"
en-us,sr-rs,"129 BC","129. п. н. е."
en-us,sr-rs,"1290s BC","1291. п. н. е."
en-us,sr-rs,"12th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"12th SS Panzer Division Hitlerjugend","12. СС оклопна дивизија ""Хитлерјугенд"""
en-us,sr-rs,"12th century","12. век"
en-us,sr-rs,"13 BC","13. п. н. е."
en-us,sr-rs,"130 BC","130. п. н. е."
en-us,sr-rs,"131 BC","131. п. н. е."
en-us,sr-rs,"132 BC","132. п. н. е."
en-us,sr-rs,"133 BC","133. п. н. е."
en-us,sr-rs,"134 BC","134. п. н. е."
en-us,sr-rs,"135 BC","135. п. н. е."
en-us,sr-rs,"136 Austria","Аустрија"
en-us,sr-rs,"136 BC","136. п. н. е."
en-us,sr-rs,"137 BC","137. п. н. е."
en-us,sr-rs,"1370s BC","1370. п. н. е."
en-us,sr-rs,"1373 Cincinnati","Синсинати"
en-us,sr-rs,"138 BC","138. п. н. е."
en-us,sr-rs,"1380s BC","1380. п. н. е."
en-us,sr-rs,"1388 Aphrodite","Афродита"
en-us,sr-rs,"139 BC","139. п. н. е."
en-us,sr-rs,"1390s BC","1390. п. н. е."
en-us,sr-rs,"13th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"13th Waffen Mountain Division of the SS Handschar","13. оружана брдска СС дивизија „Ханџар“"
en-us,sr-rs,"13th century","13. век"
en-us,sr-rs,"14 BC","14. п. н. е."
en-us,sr-rs,"140 BC","140. п. н. е."
en-us,sr-rs,"141 BC","141. п. н. е."
en-us,sr-rs,"141 Lumen","Лумен"
en-us,sr-rs,"142 BC","142. п. н. е."
en-us,sr-rs,"1420s BC","1420. п. н. е."
en-us,sr-rs,"143 BC","143. п. н. е."
en-us,sr-rs,"1430s BC","1430. п. н. е."
en-us,sr-rs,"144 BC","144. п. н. е."
en-us,sr-rs,"145 BC","145. п. н. е."
en-us,sr-rs,"146 BC","146. п. н. е."
en-us,sr-rs,"1460s BC","1460. п. н. е."
en-us,sr-rs,"147 BC","147. п. н. е."
en-us,sr-rs,"1470s BC","1476. пне."
en-us,sr-rs,"148 BC","148. п. н. е."
en-us,sr-rs,"149 BC","149. п. н. е."
en-us,sr-rs,"149 Medusa","Медуза"
en-us,sr-rs,"1490s BC","1497. п. н. е."
en-us,sr-rs,"14th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"14th century BC","14. век п. н. е."
en-us,sr-rs,"14th century","14. век"
en-us,sr-rs,"15 BC","15. п. н. е."
en-us,sr-rs,"15 cm sIG 33","Тешки пешадијски топ 150 mm сИГ 33"
en-us,sr-rs,"150 BC","150. п. н. е."
en-us,sr-rs,"1500 BC","1500. пне."
en-us,sr-rs,"1500s BC","1500. п. н. е."
en-us,sr-rs,"151 BC","151. п. н. е."
en-us,sr-rs,"1516 Henry","Хенри"
en-us,sr-rs,"1517 Beograd","1517 Београд"
en-us,sr-rs,"152 BC","152. п. н. е."
en-us,sr-rs,"153 BC","153. п. н. е."
en-us,sr-rs,"154 BC","154. п. н. е."
en-us,sr-rs,"155 BC","155. п. н. е."
en-us,sr-rs,"155 Scylla",Scila
en-us,sr-rs,"1550 Tito","1550 Тито"
en-us,sr-rs,"1554 Yugoslavia","1554 Југославија"
en-us,sr-rs,"156 BC","156. п. н. е."
en-us,sr-rs,"1564 Srbija","1564 Србија"
en-us,sr-rs,"157 BC","157. п. н. е."
en-us,sr-rs,"158 BC","158. п. н. е."
en-us,sr-rs,"159 BC","159. п. н. е."
en-us,sr-rs,"15th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"15th Waffen Grenadier Division of the SS","15. СС гренадирска дивизија"
en-us,sr-rs,"15th century BC","15. век п. н. е."
en-us,sr-rs,"15th century","15. век"
en-us,sr-rs,"16 BC","16. п. н. е."
en-us,sr-rs,"16 Psyche","Ерос и Психа"
en-us,sr-rs,"160 BC","160. п. н. е."
en-us,sr-rs,"160 Una",Уна
en-us,sr-rs,"161 BC","161. п. н. е."
en-us,sr-rs,"162 BC","162. п. н. е."
en-us,sr-rs,"163 BC","163. п. н. е."
en-us,sr-rs,"164 BC","164. п. н. е."
en-us,sr-rs,"165 BC","165. п. н. е."
en-us,sr-rs,"165 Loreley","Лорелај"
en-us,sr-rs,"166 BC","166. п. н. е."
en-us,sr-rs,"167 BC","167. п. н. е."
en-us,sr-rs,"168 BC","168. п. н. е."
en-us,sr-rs,"1685 Toro","Торус"
en-us,sr-rs,"169 BC","169. п. н. е."
en-us,sr-rs,"16th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"16th century BC","16. век п. н. е."
en-us,sr-rs,"16th century","16. век"
en-us,sr-rs,"17 BC","17. п. н. е."
en-us,sr-rs,"17 Thetis","Тетида"
en-us,sr-rs,"170 BC","170. п. н. е."
en-us,sr-rs,"170 Maria","Богородица"
en-us,sr-rs,"171 BC","171. п. н. е."
en-us,sr-rs,"172 BC","172. п. н. е."
en-us,sr-rs,"173 BC","173. п. н. е."
en-us,sr-rs,"174 BC","174. п. н. е."
en-us,sr-rs,"175 BC","175. п. н. е."
en-us,sr-rs,"176 BC","176. п. н. е."
en-us,sr-rs,"177 BC","177. п. н. е."
en-us,sr-rs,"178 BC","178. п. н. е."
en-us,sr-rs,"179 BC","179. п. н. е."
en-us,sr-rs,"179 Klytaemnestra","Клитемнестра"
en-us,sr-rs,"17th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"17th century BC","17. век п. н. е."
en-us,sr-rs,"17th century","17. век"
en-us,sr-rs,"18 BC","18. п. н. е."
en-us,sr-rs,"18 Melpomene","Мелпомена"
en-us,sr-rs,"180 BC","180. п. н. е."
en-us,sr-rs,"1809 Prometheus","Прометеј"
en-us,sr-rs,"180th meridian","180. меридијан"
en-us,sr-rs,"181 BC","181. п. н. е."
en-us,sr-rs,"182 BC","182. п. н. е."
en-us,sr-rs,"183 BC","183. п. н. е."
en-us,sr-rs,"183 Istria","Истра"
en-us,sr-rs,"184 BC","184. п. н. е."
en-us,sr-rs,"185 BC","185. п. н. е."
en-us,sr-rs,"186 BC","186. п. н. е."
en-us,sr-rs,"1862 Apollo","Аполон"
en-us,sr-rs,"1866 Sisyphus","Сизиф"
en-us,sr-rs,"187 BC","187. п. н. е."
en-us,sr-rs,"188 BC","188. п. н. е."
en-us,sr-rs,"189 BC","189. п. н. е."
en-us,sr-rs,"1896 Summer Olympics","Летње олимпијске игре 1896."
en-us,sr-rs,"18th Academy Awards","Награда Америчке филмске академије"
en-us,sr-rs,"18th century BC","18. век п. н. е."
en-us,sr-rs,"18th century","18. век"
en-us,sr-rs,"19 BC","19. п. н. е."
en-us,sr-rs,"19 Fortuna",Bogaststvo
en-us,sr-rs,"190 BC","190. п. н. е."
en-us,sr-rs,"1900 Summer Olympics","Летње олимпијске игре 1900."
en-us,sr-rs,"1904 Summer Olympics","Летње олимпијске игре 1904."
en-us,sr-rs,"1906 Summer Olympics","Олимпијске међуигре Атина 1906."
en-us,sr-rs,"1908 Summer Olympics","Летње олимпијске игре 1908."
en-us,sr-rs,"191 BC","191. п. н. е."
en-us,sr-rs,"1912 Summer Olympics","Летње олимпијске игре 1912."
en-us,sr-rs,"192 BC","192. п. н. е."
