eo-xx,ru-ru,"""la Patroj de la Eklezio""","Отцы Церкви"
eo-xx,ru-ru,"$100 Laptop","Ноутбук XO-1"
eo-xx,ru-ru,"1 E-6 m","Микрометр"
eo-xx,ru-ru,"1-a Epistolo al Timoteo","1-е послание к Тимофею"
eo-xx,ru-ru,"1-a Epistolo al la Korintanoj","1-е послание к Коринфянам"
eo-xx,ru-ru,"1-a Epistolo al la Tesalonikanoj","1-е послание к Фессалоникийцам"
eo-xx,ru-ru,"1-a Epistolo de Johano","1-е послание Иоанна"
eo-xx,ru-ru,"1-a Epistolo de Petro","1-е послание Петра"
eo-xx,ru-ru,"1-a Internacio","Первый интернационал"
eo-xx,ru-ru,"1-a Krucmilito","Первый крестовый поход"
eo-xx,ru-ru,"1-a arondismento de Parizo","I округ Парижа"
eo-xx,ru-ru,"1-a de aprilo","1 апреля"
eo-xx,ru-ru,"1-a de aŭgusto","1 августа"
eo-xx,ru-ru,"1-a de decembro","1 декабря"
eo-xx,ru-ru,"1-a de februaro","1 февраля"
eo-xx,ru-ru,"1-a de januaro","1 января"
eo-xx,ru-ru,"1-a de julio","1 июля"
eo-xx,ru-ru,"1-a de junio","1 июня"
eo-xx,ru-ru,"1-a de majo","1 мая"
eo-xx,ru-ru,"1-a de marto","1 марта"
eo-xx,ru-ru,"1-a de novembro","1 ноября"
eo-xx,ru-ru,"1-a de oktobro","1 октября"
eo-xx,ru-ru,"1-a de septembro","1 сентября"
eo-xx,ru-ru,"1-a jarcento a.K.","I век до н. э."
eo-xx,ru-ru,"1-a jarcento","I век"
eo-xx,ru-ru,"1-a libro de Samuel","Книга Царств"
eo-xx,ru-ru,"10-a arondismento de Parizo","X округ Парижа"
eo-xx,ru-ru,"10-a de aprilo","10 апреля"
eo-xx,ru-ru,"10-a de aŭgusto","10 августа"
eo-xx,ru-ru,"10-a de decembro","10 декабря"
eo-xx,ru-ru,"10-a de februaro","10 февраля"
eo-xx,ru-ru,"10-a de januaro","10 января"
eo-xx,ru-ru,"10-a de julio","10 июля"
eo-xx,ru-ru,"10-a de junio","10 июня"
eo-xx,ru-ru,"10-a de majo","10 мая"
eo-xx,ru-ru,"10-a de marto","10 марта"
eo-xx,ru-ru,"10-a de novembro","10 ноября"
eo-xx,ru-ru,"10-a de oktobro","10 октября"
eo-xx,ru-ru,"10-a de septembro","10 сентября"
eo-xx,ru-ru,"10-a jarcento a.K.","X век до н. э."
eo-xx,ru-ru,"10-a jarcento","X век"
eo-xx,ru-ru,"101 Dalmatoj","101 далматинец"
eo-xx,ru-ru,"101 Dalmatoj","Сто и один далматинец"
eo-xx,ru-ru,"11-a arondismento de Parizo","XI округ Парижа"
eo-xx,ru-ru,"11-a de aprilo","11 апреля"
eo-xx,ru-ru,"11-a de aŭgusto","11 августа"
eo-xx,ru-ru,"11-a de decembro","11 декабря"
eo-xx,ru-ru,"11-a de februaro","11 февраля"
eo-xx,ru-ru,"11-a de januaro","11 января"
eo-xx,ru-ru,"11-a de julio","11 июля"
eo-xx,ru-ru,"11-a de junio","11 июня"
eo-xx,ru-ru,"11-a de majo","11 мая"
eo-xx,ru-ru,"11-a de marto","11 марта"
eo-xx,ru-ru,"11-a de novembro","11 ноября"
eo-xx,ru-ru,"11-a de oktobro","11 октября"
eo-xx,ru-ru,"11-a de septembro 2001","Террористический акт 11 сентября 2001 года"
eo-xx,ru-ru,"11-a de septembro","11 сентября"
eo-xx,ru-ru,"11-a jarcento a.K.","XI век до н. э."
eo-xx,ru-ru,"11-a jarcento","XI век"
eo-xx,ru-ru,"12 reguloj de Codd","12 правил Кодда"
eo-xx,ru-ru,"12-a de aprilo","12 апреля"
eo-xx,ru-ru,"12-a de aŭgusto","12 августа"
eo-xx,ru-ru,"12-a de decembro","12 декабря"
eo-xx,ru-ru,"12-a de februaro","12 февраля"
eo-xx,ru-ru,"12-a de januaro","12 января"
eo-xx,ru-ru,"12-a de julio","12 июля"
eo-xx,ru-ru,"12-a de junio","12 июня"
eo-xx,ru-ru,"12-a de majo","12 мая"
eo-xx,ru-ru,"12-a de marto","12 марта"
eo-xx,ru-ru,"12-a de novembro","12 ноября"
eo-xx,ru-ru,"12-a de oktobro","12 октября"
eo-xx,ru-ru,"12-a de septembro","12 сентября"
eo-xx,ru-ru,"12-a jarcento a.K.","XII век до н. э."
eo-xx,ru-ru,"12-a jarcento","XII век"
eo-xx,ru-ru,"1200; Albigensismo","Альбигойский крестовый поход"
eo-xx,ru-ru,"13-a de aprilo","13 апреля"
eo-xx,ru-ru,"13-a de aŭgusto","13 августа"
eo-xx,ru-ru,"13-a de decembro","13 декабря"
eo-xx,ru-ru,"13-a de februaro","13 февраля"
eo-xx,ru-ru,"13-a de januaro","13 января"
eo-xx,ru-ru,"13-a de julio","13 июля"
eo-xx,ru-ru,"13-a de junio","13 июня"
eo-xx,ru-ru,"13-a de majo","13 мая"
eo-xx,ru-ru,"13-a de marto","13 марта"
eo-xx,ru-ru,"13-a de novembro","13 ноября"
eo-xx,ru-ru,"13-a de oktobro","13 октября"
eo-xx,ru-ru,"13-a de septembro","13 сентября"
eo-xx,ru-ru,"13-a jarcento a.K.","XIII век до н. э."
eo-xx,ru-ru,"13-a jarcento","XIII век"
eo-xx,ru-ru,"14 helpantoj en mizero","Четырнадцать святых помощников"
eo-xx,ru-ru,"14 punktoj de Wilson","Четырнадцать пунктов Вильсона"
eo-xx,ru-ru,"14-a de aprilo","14 апреля"
eo-xx,ru-ru,"14-a de aŭgusto","14 августа"
eo-xx,ru-ru,"14-a de decembro","14 декабря"
eo-xx,ru-ru,"14-a de februaro","14 февраля"
eo-xx,ru-ru,"14-a de januaro","14 января"
eo-xx,ru-ru,"14-a de julio","14 июля"
eo-xx,ru-ru,"14-a de junio","14 июня"
