eo-xx,sv-se,"""la Patroj de la Eklezio""",Kyrkofader
eo-xx,sv-se,"$100 Laptop","$100 Laptop"
eo-xx,sv-se,"-iĝi",Bliva
eo-xx,sv-se,"...And You Will Know Us by the Trail of Dead","…And You Will Know Us by the Trail of Dead"
eo-xx,sv-se,"1 E-6 m",Mikrometer
eo-xx,sv-se,"1 E-9 m",Nanometer
eo-xx,sv-se,"1-a Epistolo al Timoteo","Första Timotheosbrevet"
eo-xx,sv-se,"1-a Epistolo al la Korintanoj","Första Korinthierbrevet"
eo-xx,sv-se,"1-a Epistolo al la Tesalonikanoj","Första Thessalonikerbrevet"
eo-xx,sv-se,"1-a Epistolo de Johano","Första Johannesbrevet"
eo-xx,sv-se,"1-a Epistolo de Petro","Första Petrusbrevet"
eo-xx,sv-se,"1-a Internacio","Första internationalen"
eo-xx,sv-se,"1-a Krucmilito","Första korståget"
eo-xx,sv-se,"1-a de aprilo","1 april"
eo-xx,sv-se,"1-a de aŭgusto","1 augusti"
eo-xx,sv-se,"1-a de decembro","1 december"
eo-xx,sv-se,"1-a de februaro","1 februari"
eo-xx,sv-se,"1-a de januaro","1 januari"
eo-xx,sv-se,"1-a de julio","1 juli"
eo-xx,sv-se,"1-a de junio","1 juni"
eo-xx,sv-se,"1-a de majo","1 maj"
eo-xx,sv-se,"1-a de marto","1 mars"
eo-xx,sv-se,"1-a de novembro","1 november"
eo-xx,sv-se,"1-a de oktobro","1 oktober"
eo-xx,sv-se,"1-a de septembro","1 september"
eo-xx,sv-se,"1-a jarcento a.K.","000-talet f.Kr."
eo-xx,sv-se,"1-a jarcento",000-talet
eo-xx,sv-se,"1-a libro de Samuel","Första Samuelsboken"
eo-xx,sv-se,"10-a de aprilo","10 april"
eo-xx,sv-se,"10-a de aŭgusto","10 augusti"
eo-xx,sv-se,"10-a de decembro","10 december"
eo-xx,sv-se,"10-a de februaro","10 februari"
eo-xx,sv-se,"10-a de januaro","10 januari"
eo-xx,sv-se,"10-a de julio","10 juli"
eo-xx,sv-se,"10-a de junio","10 juni"
eo-xx,sv-se,"10-a de majo","10 maj"
eo-xx,sv-se,"10-a de marto","10 mars"
eo-xx,sv-se,"10-a de novembro","10 november"
eo-xx,sv-se,"10-a de oktobro","10 oktober"
eo-xx,sv-se,"10-a de septembro","10 september"
eo-xx,sv-se,"10-a jarcento a.K.","900-talet f.Kr."
eo-xx,sv-se,"10-a jarcento",900-talet
eo-xx,sv-se,"101 Dalmatoj","101 dalmatiner"
eo-xx,sv-se,"101 Dalmatoj","Pongo och de 101 dalmatinerna"
eo-xx,sv-se,"11-a de aprilo","11 april"
eo-xx,sv-se,"11-a de aŭgusto","11 augusti"
eo-xx,sv-se,"11-a de decembro","11 december"
eo-xx,sv-se,"11-a de februaro","11 februari"
eo-xx,sv-se,"11-a de januaro","11 januari"
eo-xx,sv-se,"11-a de julio","11 juli"
eo-xx,sv-se,"11-a de junio","11 juni"
eo-xx,sv-se,"11-a de majo","11 maj"
eo-xx,sv-se,"11-a de marto","11 mars"
eo-xx,sv-se,"11-a de novembro","11 november"
eo-xx,sv-se,"11-a de oktobro","11 oktober"
eo-xx,sv-se,"11-a de septembro 2001","11 september-attackerna"
eo-xx,sv-se,"11-a de septembro","11 september"
eo-xx,sv-se,"11-a jarcento a.K.","1000-talet f.Kr."
eo-xx,sv-se,"11-a jarcento",1000-talet
eo-xx,sv-se,"12-a de aprilo","12 april"
eo-xx,sv-se,"12-a de aŭgusto","12 augusti"
eo-xx,sv-se,"12-a de decembro","12 december"
eo-xx,sv-se,"12-a de februaro","12 februari"
eo-xx,sv-se,"12-a de januaro","12 januari"
eo-xx,sv-se,"12-a de julio","12 juli"
eo-xx,sv-se,"12-a de junio","12 juni"
eo-xx,sv-se,"12-a de majo","12 maj"
eo-xx,sv-se,"12-a de marto","12 mars"
eo-xx,sv-se,"12-a de novembro","12 november"
eo-xx,sv-se,"12-a de oktobro","12 oktober"
eo-xx,sv-se,"12-a de septembro","12 september"
eo-xx,sv-se,"12-a jarcento a.K.","1100-talet f.Kr."
eo-xx,sv-se,"12-a jarcento",1100-talet
eo-xx,sv-se,"1200; Albigensismo",Albigenserkriget
eo-xx,sv-se,"13-a de aprilo","13 april"
eo-xx,sv-se,"13-a de aŭgusto","13 augusti"
eo-xx,sv-se,"13-a de decembro","13 december"
eo-xx,sv-se,"13-a de februaro","13 februari"
eo-xx,sv-se,"13-a de januaro","13 januari"
eo-xx,sv-se,"13-a de julio","13 juli"
eo-xx,sv-se,"13-a de junio","13 juni"
eo-xx,sv-se,"13-a de majo","13 maj"
eo-xx,sv-se,"13-a de marto","13 mars"
