et-ee,mk-mk,"1. aprill","1 април"
et-ee,mk-mk,"1. august","1 август"
et-ee,mk-mk,"1. detsember","1 декември"
et-ee,mk-mk,"1. jaanuar","1 јануари"
et-ee,mk-mk,"1. juuli","1 јули"
et-ee,mk-mk,"1. juuni","1 јуни"
et-ee,mk-mk,"1. mai","1 мај"
et-ee,mk-mk,"1. märts","1 март"
et-ee,mk-mk,"1. november","1 ноември"
et-ee,mk-mk,"1. oktoober","1 октомври"
et-ee,mk-mk,"1. sajand","1 век"
et-ee,mk-mk,"1. september","1 септември"
et-ee,mk-mk,"1. veebruar","1 февруари"
et-ee,mk-mk,"10. aprill","10 април"
et-ee,mk-mk,"10. august","10 август"
et-ee,mk-mk,"10. detsember","10 декември"
et-ee,mk-mk,"10. jaanuar","10 јануари"
et-ee,mk-mk,"10. juuli","10 јули"
et-ee,mk-mk,"10. juuni","10 јуни"
et-ee,mk-mk,"10. mai","10 мај"
et-ee,mk-mk,"10. märts","10 март"
et-ee,mk-mk,"10. november","10 ноември"
et-ee,mk-mk,"10. oktoober","10 октомври"
et-ee,mk-mk,"10. sajand","10 век"
et-ee,mk-mk,"10. september","10 септември"
et-ee,mk-mk,"10. veebruar","10 февруари"
et-ee,mk-mk,"100. aastad","2 век"
et-ee,mk-mk,"1000. aastad","11 век"
et-ee,mk-mk,"11. aprill","11 април"
et-ee,mk-mk,"11. august","11 август"
et-ee,mk-mk,"11. detsember","11 декември"
et-ee,mk-mk,"11. jaanuar","11 јануари"
et-ee,mk-mk,"11. juuli","11 јули"
et-ee,mk-mk,"11. juuni","11 јуни"
et-ee,mk-mk,"11. mai","11 мај"
et-ee,mk-mk,"11. märts","11 март"
et-ee,mk-mk,"11. november","11 ноември"
et-ee,mk-mk,"11. oktoober","11 октомври"
et-ee,mk-mk,"11. sajand","11 век"
et-ee,mk-mk,"11. september","11 септември"
et-ee,mk-mk,"11. veebruar","11 февруари"
et-ee,mk-mk,"1100. aastad","12 век"
et-ee,mk-mk,"12. aprill","12 април"
et-ee,mk-mk,"12. august","12 август"
et-ee,mk-mk,"12. detsember","12 декември"
et-ee,mk-mk,"12. jaanuar","12 јануари"
et-ee,mk-mk,"12. juuli","12 јули"
et-ee,mk-mk,"12. juuni","12 јуни"
et-ee,mk-mk,"12. mai","12 мај"
et-ee,mk-mk,"12. märts","12 март"
et-ee,mk-mk,"12. november","12 ноември"
et-ee,mk-mk,"12. oktoober","12 октомври"
et-ee,mk-mk,"12. sajand","12 век"
et-ee,mk-mk,"12. september","12 септември"
et-ee,mk-mk,"12. veebruar","12 февруари"
et-ee,mk-mk,"1200. aastad","13 век"
et-ee,mk-mk,"13. aprill","13 април"
et-ee,mk-mk,"13. august","13 август"
et-ee,mk-mk,"13. detsember","13 декември"
et-ee,mk-mk,"13. jaanuar","13 јануари"
et-ee,mk-mk,"13. juuli","13 јули"
et-ee,mk-mk,"13. juuni","13 јуни"
et-ee,mk-mk,"13. mai","13 мај"
et-ee,mk-mk,"13. märts","13 март"
et-ee,mk-mk,"13. november","13 ноември"
et-ee,mk-mk,"13. oktoober","13 октомври"
et-ee,mk-mk,"13. sajand","13 век"
et-ee,mk-mk,"13. september","13 септември"
et-ee,mk-mk,"13. veebruar","13 февруари"
et-ee,mk-mk,"1300. aastad","14 век"
et-ee,mk-mk,"14. aprill","14 април"
et-ee,mk-mk,"14. august","14 август"
et-ee,mk-mk,"14. detsember","14 декември"
et-ee,mk-mk,"14. jaanuar","14 јануари"
et-ee,mk-mk,"14. juuli","14 јули"
et-ee,mk-mk,"14. juuni","14 јуни"
et-ee,mk-mk,"14. mai","14 мај"
et-ee,mk-mk,"14. märts","14 март"
et-ee,mk-mk,"14. november","14 ноември"
et-ee,mk-mk,"14. oktoober","14 октомври"
et-ee,mk-mk,"14. sajand","14 век"
et-ee,mk-mk,"14. september","14 септември"
et-ee,mk-mk,"14. veebruar","14 февруари"
et-ee,mk-mk,"1400. aastad","15 век"
et-ee,mk-mk,"15. aprill","15 април"
et-ee,mk-mk,"15. august","15 август"
et-ee,mk-mk,"15. detsember","15 декември"
et-ee,mk-mk,"15. jaanuar","15 јануари"
et-ee,mk-mk,"15. juuli","15 јули"
et-ee,mk-mk,"15. juuni","15 јуни"
et-ee,mk-mk,"15. mai","15 мај"
et-ee,mk-mk,"15. märts","15 март"
et-ee,mk-mk,"15. november","15 ноември"
et-ee,mk-mk,"15. oktoober","15 октомври"
et-ee,mk-mk,"15. sajand","15 век"
et-ee,mk-mk,"15. september","15 септември"
et-ee,mk-mk,"15. veebruar","15 февруари"
et-ee,mk-mk,"1500. aastad","16 век"
et-ee,mk-mk,"1566 Icarus","Икар"
et-ee,mk-mk,"16. aprill","16 април"
et-ee,mk-mk,"16. august","16 август"
et-ee,mk-mk,"16. detsember","16 декември"
et-ee,mk-mk,"16. jaanuar","16 јануари"
et-ee,mk-mk,"16. juuli","16 јули"
et-ee,mk-mk,"16. juuni","16 јуни"
et-ee,mk-mk,"16. mai","16 мај"
et-ee,mk-mk,"16. märts","16 март"
et-ee,mk-mk,"16. november","16 ноември"
et-ee,mk-mk,"16. oktoober","16 октомври"
et-ee,mk-mk,"16. sajand","16 век"
et-ee,mk-mk,"16. september","16 септември"
et-ee,mk-mk,"16. veebruar","16 февруари"
et-ee,mk-mk,"1600. aastad","17 век"
et-ee,mk-mk,"17. aprill","17 април"
et-ee,mk-mk,"17. august","17 август"
et-ee,mk-mk,"17. detsember","17 декември"
et-ee,mk-mk,"17. jaanuar","17 јануари"
et-ee,mk-mk,"17. juuli","17 јули"
et-ee,mk-mk,"17. juuni","17 јуни"
et-ee,mk-mk,"17. mai","17 мај"
et-ee,mk-mk,"17. märts","17 март"
et-ee,mk-mk,"17. november","17 ноември"
et-ee,mk-mk,"17. oktoober","17 октомври"
et-ee,mk-mk,"17. sajand","17 век"
et-ee,mk-mk,"17. september","17 септември"
et-ee,mk-mk,"17. veebruar","17 февруари"
et-ee,mk-mk,"18. aprill","18 април"
et-ee,mk-mk,"18. august","18 август"
et-ee,mk-mk,"18. detsember","18 декември"
et-ee,mk-mk,"18. jaanuar","18 јануари"
et-ee,mk-mk,"18. juuli","18 јули"
et-ee,mk-mk,"18. juuni","18 јуни"
et-ee,mk-mk,"18. mai","18 мај"
et-ee,mk-mk,"18. märts","18 март"
et-ee,mk-mk,"18. november","18 ноември"
et-ee,mk-mk,"18. oktoober","18 октомври"
et-ee,mk-mk,"18. sajand","18 век"
et-ee,mk-mk,"18. september","18 септември"
et-ee,mk-mk,"18. veebruar","18 февруари"
et-ee,mk-mk,"1800. aastad","19 век"
et-ee,mk-mk,"19. aprill","19 април"
et-ee,mk-mk,"19. august","19 август"
et-ee,mk-mk,"19. detsember","19 декември"
et-ee,mk-mk,"19. jaanuar","19 јануари"
et-ee,mk-mk,"19. juuli","19 јули"
et-ee,mk-mk,"19. juuni","19 јуни"
et-ee,mk-mk,"19. mai","19 мај"
et-ee,mk-mk,"19. märts","19 март"
et-ee,mk-mk,"19. november","19 ноември"
et-ee,mk-mk,"19. oktoober","19 октомври"
et-ee,mk-mk,"19. sajand","19 век"
et-ee,mk-mk,"19. september","19 септември"
et-ee,mk-mk,"19. veebruar","19 февруари"
et-ee,mk-mk,"1900. aastad","20 век"
et-ee,mk-mk,"1905. aasta revolutsioon","Октомвриска револуција"
et-ee,mk-mk,"1930. aasta jalgpalli maailmameistrivõistlused","1930 ФИФА Светско Првенство"
et-ee,mk-mk,"1934. aasta jalgpalli maailmameistrivõistlused","1934 ФИФА Светско Првенство"
et-ee,mk-mk,"1938. aasta jalgpalli maailmameistrivõistlused","1938 ФИФА Светско Првенство"
et-ee,mk-mk,"1950. aasta jalgpalli maailmameistrivõistlused","1950 ФИФА Светско Првенство"
et-ee,mk-mk,"1954. aasta jalgpalli maailmameistrivõistlused","1954 ФИФА Светско Првенство"
et-ee,mk-mk,"1958. aasta jalgpalli maailmameistrivõistlused","1958 ФИФА Светско Првенство"
et-ee,mk-mk,"1962. aasta jalgpalli maailmameistrivõistlused","1962 ФИФА Светско Првенство"
et-ee,mk-mk,"1966. aasta jalgpalli maailmameistrivõistlused","1966 ФИФА Светско Првенство"
