et-ee,nl-nl,"...And Justice for All","...And Justice for All"
et-ee,nl-nl,"0. aasta",Zero
et-ee,nl-nl,"0. aastad eKr","9-1 v.Chr."
et-ee,nl-nl,"007 ja igavene homne","Tomorrow Never Dies"
et-ee,nl-nl,"1 Canada Square","One Canada Square"
et-ee,nl-nl,"1 Ceres",Ceres
et-ee,nl-nl,"1 eKr","1 v.Chr."
et-ee,nl-nl,"1,2-etaandiool",Etheenglycol
et-ee,nl-nl,"1. aastatuhat eKr","1e millennium v.Chr."
et-ee,nl-nl,"1. aastatuhat","1e millennium"
et-ee,nl-nl,"1. aprill","1 april"
et-ee,nl-nl,"1. august","1 augustus"
et-ee,nl-nl,"1. detsember","1 december"
et-ee,nl-nl,"1. jaanuar","1 januari"
et-ee,nl-nl,"1. juuli","1 juli"
et-ee,nl-nl,"1. juuni","1 juni"
et-ee,nl-nl,"1. mai","1 mei"
et-ee,nl-nl,"1. märts","1 maart"
et-ee,nl-nl,"1. november","1 november"
et-ee,nl-nl,"1. oktoober","1 oktober"
et-ee,nl-nl,"1. sajand eKr","1e eeuw v.Chr."
et-ee,nl-nl,"1. sajand","1e eeuw"
et-ee,nl-nl,"1. september","1 september"
et-ee,nl-nl,"1. veebruar","1 februari"
et-ee,nl-nl,"10 000 m jooks","10000 meter"
et-ee,nl-nl,"10 eKr","10 v.Chr."
et-ee,nl-nl,"10. aastad eKr","19-10 v.Chr."
et-ee,nl-nl,"10. aprill","10 april"
et-ee,nl-nl,"10. august","10 augustus"
et-ee,nl-nl,"10. detsember","10 december"
et-ee,nl-nl,"10. jaanuar","10 januari"
et-ee,nl-nl,"10. juuli","10 juli"
et-ee,nl-nl,"10. juuni","10 juni"
et-ee,nl-nl,"10. mai","10 mei"
et-ee,nl-nl,"10. märts","10 maart"
et-ee,nl-nl,"10. november","10 november"
et-ee,nl-nl,"10. oktoober","10 oktober"
et-ee,nl-nl,"10. sajand","10e eeuw"
et-ee,nl-nl,"10. september","10 september"
et-ee,nl-nl,"10. veebruar","10 februari"
et-ee,nl-nl,"100 eKr","100 v.Chr."
et-ee,nl-nl,"100 meetri jooks","100 meter"
et-ee,nl-nl,"100 meetri tõkkejooks","100 meter horden"
et-ee,nl-nl,"100. aastad","2e eeuw"
et-ee,nl-nl,"1000 eKr","1000 v. Chr."
et-ee,nl-nl,"1000. aastad","11e eeuw"
et-ee,nl-nl,"11 eKr","11 v.Chr."
