et-ee,ro-ro,"0. aasta",Zero
et-ee,ro-ro,"0. aastad eKr","Primul deceniu î.Hr."
et-ee,ro-ro,"0. aastad","Primul deceniu d.Hr."
et-ee,ro-ro,"1 Ceres",Ceres
et-ee,ro-ro,"1 eKr","1 î.Hr."
et-ee,ro-ro,"1. aastatuhat eKr","Mileniul I î.Hr."
et-ee,ro-ro,"1. aastatuhat","Mileniul I"
et-ee,ro-ro,"1. aprill","1 aprilie"
et-ee,ro-ro,"1. august","1 august"
et-ee,ro-ro,"1. detsember","1 decembrie"
et-ee,ro-ro,"1. jaanuar","1 ianuarie"
et-ee,ro-ro,"1. juuli","1 iulie"
et-ee,ro-ro,"1. juuni","1 iunie"
et-ee,ro-ro,"1. mai","1 mai"
et-ee,ro-ro,"1. märts","1 martie"
et-ee,ro-ro,"1. november","1 noiembrie"
et-ee,ro-ro,"1. oktoober","1 octombrie"
et-ee,ro-ro,"1. sajand eKr","Secolul I î.Hr."
et-ee,ro-ro,"1. sajand","Secolul I"
et-ee,ro-ro,"1. september","1 septembrie"
et-ee,ro-ro,"1. veebruar","1 februarie"
et-ee,ro-ro,"10 eKr","10 î.Hr."
et-ee,ro-ro,"10. aastad eKr","Anii 10 î.Hr."
et-ee,ro-ro,"10. aastad","Anii 10"
et-ee,ro-ro,"10. aprill","10 aprilie"
et-ee,ro-ro,"10. august","10 august"
et-ee,ro-ro,"10. detsember","10 decembrie"
et-ee,ro-ro,"10. jaanuar","10 ianuarie"
et-ee,ro-ro,"10. juuli","10 iulie"
et-ee,ro-ro,"10. juuni","10 iunie"
et-ee,ro-ro,"10. mai","10 mai"
et-ee,ro-ro,"10. märts","10 martie"
et-ee,ro-ro,"10. november","10 noiembrie"
et-ee,ro-ro,"10. oktoober","10 octombrie"
et-ee,ro-ro,"10. sajand","Secolul al X-lea"
et-ee,ro-ro,"10. september","10 septembrie"
et-ee,ro-ro,"10. veebruar","10 februarie"
et-ee,ro-ro,"100 eKr","100 î.Hr."
et-ee,ro-ro,"100 meetri jooks","Progresul recordului mondial la proba de 100 m bărbaţi"
et-ee,ro-ro,"100. aastad","Anii 100"
et-ee,ro-ro,"1000 eKr","1000 î.Hr."
et-ee,ro-ro,"1000. aastad","Anii 1000"
et-ee,ro-ro,"1010. aastad","Anii 1010"
et-ee,ro-ro,"1020. aastad","Anii 1020"
et-ee,ro-ro,"1030. aastad","Anii 1030"
et-ee,ro-ro,"1040. aastad","Anii 1040"
