et-ee,sl-si,"0. aastad eKr","0. pr. n. št."
et-ee,sl-si,"1 Ceres","1 Ceres"
et-ee,sl-si,"1 Ceres",Ceres
et-ee,sl-si,"1 eKr","1 pr. n. št."
et-ee,sl-si,"1. aastatuhat eKr","1. tisočletje pr. n. št."
et-ee,sl-si,"1. aastatuhat","1. tisočletje"
et-ee,sl-si,"1. aprill","1. april"
et-ee,sl-si,"1. august","1. avgust"
et-ee,sl-si,"1. detsember","1. december"
et-ee,sl-si,"1. jaanuar","1. januar"
et-ee,sl-si,"1. juuli","1. julij"
et-ee,sl-si,"1. juuni","1. junij"
et-ee,sl-si,"1. mai","1. maj"
et-ee,sl-si,"1. märts","1. marec"
et-ee,sl-si,"1. november","1. november"
et-ee,sl-si,"1. oktoober","1. oktober"
et-ee,sl-si,"1. sajand eKr","1. stoletje pr. n. št."
et-ee,sl-si,"1. sajand","1. stoletje"
et-ee,sl-si,"1. september","1. september"
et-ee,sl-si,"1. veebruar","1. februar"
et-ee,sl-si,"10 eKr","10 pr. n. št."
et-ee,sl-si,"10. aastad eKr","10. pr. n. št."
et-ee,sl-si,"10. aprill","10. april"
et-ee,sl-si,"10. august","10. avgust"
et-ee,sl-si,"10. detsember","10. december"
et-ee,sl-si,"10. jaanuar","10. januar"
et-ee,sl-si,"10. juuli","10. julij"
et-ee,sl-si,"10. juuni","10. junij"
et-ee,sl-si,"10. mai","10. maj"
et-ee,sl-si,"10. märts","10. marec"
et-ee,sl-si,"10. november","10. november"
et-ee,sl-si,"10. oktoober","10. oktober"
et-ee,sl-si,"10. sajand","10. stoletje"
et-ee,sl-si,"10. september","10. september"
et-ee,sl-si,"10. veebruar","10. februar"
et-ee,sl-si,"100 eKr","100 pr. n. št."
et-ee,sl-si,"100. aastad","2. stoletje"
et-ee,sl-si,"1000 eKr","1000 pr. n. št."
et-ee,sl-si,"1000. aastad","11. stoletje"
et-ee,sl-si,"11 eKr","11 pr. n. št."
et-ee,sl-si,"11. aastad eKr","11. pr. n. št."
et-ee,sl-si,"11. aprill","11. april"
et-ee,sl-si,"11. august","11. avgust"
et-ee,sl-si,"11. detsember","11. december"
et-ee,sl-si,"11. jaanuar","11. januar"
et-ee,sl-si,"11. juuli","11. julij"
et-ee,sl-si,"11. juuni","11. junij"
et-ee,sl-si,"11. mai","11. maj"
et-ee,sl-si,"11. märts","11. marec"
et-ee,sl-si,"11. november","11. november"
et-ee,sl-si,"11. oktoober","11. oktober"
et-ee,sl-si,"11. sajand","11. stoletje"
et-ee,sl-si,"11. september","11. september"
et-ee,sl-si,"11. septembri terrorirünnakud","Teroristični napadi 11. septembra 2001"
et-ee,sl-si,"11. veebruar","11. februar"
et-ee,sl-si,"110. aastad eKr","110. pr. n. št."
et-ee,sl-si,"1100. aastad","12. stoletje"
et-ee,sl-si,"12 eKr","12 pr. n. št."
et-ee,sl-si,"12. aastad eKr","12. pr. n. št."
et-ee,sl-si,"12. aprill","12. april"
