et-ee,sv-se,"...And Justice for All","...And Justice for All"
et-ee,sv-se,"0. aasta",Noll
et-ee,sv-se,"0. aastad eKr","00-talet f.Kr."
et-ee,sv-se,"0. aastad",00-talet
et-ee,sv-se,"007 ja igavene homne","Tomorrow Never Dies"
et-ee,sv-se,"1 Ceres","1 Ceres"
et-ee,sv-se,"1 eKr","1 f.Kr."
et-ee,sv-se,"1,2-etaandiool",Etandiol
et-ee,sv-se,"1. aastatuhat eKr","0000-talet f.Kr."
et-ee,sv-se,"1. aastatuhat",0000-talet
et-ee,sv-se,"1. aprill","1 april"
et-ee,sv-se,"1. august","1 augusti"
et-ee,sv-se,"1. detsember","1 december"
et-ee,sv-se,"1. jaanuar","1 januari"
et-ee,sv-se,"1. juuli","1 juli"
et-ee,sv-se,"1. juuni","1 juni"
et-ee,sv-se,"1. mai","1 maj"
et-ee,sv-se,"1. märts","1 mars"
et-ee,sv-se,"1. november","1 november"
et-ee,sv-se,"1. oktoober","1 oktober"
et-ee,sv-se,"1. sajand eKr","000-talet f.Kr."
et-ee,sv-se,"1. sajand",000-talet
et-ee,sv-se,"1. september","1 september"
et-ee,sv-se,"1. veebruar","1 februari"
et-ee,sv-se,"10 eKr","10 f.Kr."
et-ee,sv-se,"10. aastad eKr","10-talet f.Kr."
et-ee,sv-se,"10. aastad",10-talet
et-ee,sv-se,"10. aprill","10 april"
et-ee,sv-se,"10. august","10 augusti"
et-ee,sv-se,"10. detsember","10 december"
et-ee,sv-se,"10. jaanuar","10 januari"
et-ee,sv-se,"10. juuli","10 juli"
et-ee,sv-se,"10. juuni","10 juni"
et-ee,sv-se,"10. mai","10 maj"
et-ee,sv-se,"10. märts","10 mars"
et-ee,sv-se,"10. november","10 november"
et-ee,sv-se,"10. oktoober","10 oktober"
et-ee,sv-se,"10. sajand",900-talet
et-ee,sv-se,"10. september","10 september"
et-ee,sv-se,"10. veebruar","10 februari"
et-ee,sv-se,"100 eKr","100 f.Kr."
et-ee,sv-se,"100 meetri jooks","100 meter"
et-ee,sv-se,"100 meetri tõkkejooks","100 meter häck"
et-ee,sv-se,"100. aastad",100-talet
et-ee,sv-se,"1000 eKr","1000 f.Kr."
et-ee,sv-se,"1000. aastad",1000-talet
et-ee,sv-se,"1010. aastad",1010-talet
et-ee,sv-se,"1020. aastad",1020-talet
et-ee,sv-se,"1030. aastad",1030-talet
et-ee,sv-se,"1040. aastad",1040-talet
et-ee,sv-se,"1050. aastad",1050-talet
et-ee,sv-se,"1060. aastad",1060-talet
et-ee,sv-se,"1070. aastad",1070-talet
et-ee,sv-se,"1080. aastad",1080-talet
et-ee,sv-se,"1090. aastad",1090-talet
et-ee,sv-se,"11 eKr","11 f.Kr."
