hr-hr,be-by,"1. kolovoza","1 жніўня"
hr-hr,be-by,"1. lipnja","1 чэрвеня"
hr-hr,be-by,"1. listopada","1 кастрычніка"
hr-hr,be-by,"1. ožujka","1 сакавіка"
hr-hr,be-by,"1. prosinca","1 снежня"
hr-hr,be-by,"1. rujna","1 верасня"
hr-hr,be-by,"1. siječnja","1 студзеня"
hr-hr,be-by,"1. srpnja","1 ліпеня"
hr-hr,be-by,"1. stoljeće p. n. e.","1 стагоддзе да н.э."
hr-hr,be-by,"1. stoljeće p.n.e.","1 стагоддзе да н.э."
hr-hr,be-by,"1. stoljeće","1 стагоддзе"
hr-hr,be-by,"1. studenog","1 лістапада"
hr-hr,be-by,"1. svibnja","1 мая"
hr-hr,be-by,"1. travnja","1 красавіка"
hr-hr,be-by,"1. veljače","1 лютага"
hr-hr,be-by,"10. kolovoza","10 жніўня"
hr-hr,be-by,"10. lipnja","10 чэрвеня"
hr-hr,be-by,"10. listopada","10 кастрычніка"
hr-hr,be-by,"10. ožujka","10 сакавіка"
hr-hr,be-by,"10. prosinca","10 снежня"
hr-hr,be-by,"10. rujna","10 верасня"
hr-hr,be-by,"10. siječnja","10 студзеня"
hr-hr,be-by,"10. srpnja","10 ліпеня"
hr-hr,be-by,"10. stoljeće p. n. e.","10 стагоддзе да н.э."
hr-hr,be-by,"10. stoljeće p.n.e.","10 стагоддзе да н.э."
hr-hr,be-by,"10. stoljeće","10 стагоддзе"
hr-hr,be-by,"10. studenog","10 лістапада"
hr-hr,be-by,"10. svibnja","10 мая"
hr-hr,be-by,"10. travnja","10 красавіка"
hr-hr,be-by,"10. veljače","10 лютага"
hr-hr,be-by,"100-ih p. n. e.","2 стагоддзе да н.э."
hr-hr,be-by,"11. kolovoza","11 жніўня"
hr-hr,be-by,"11. lipnja","11 чэрвеня"
hr-hr,be-by,"11. listopada","11 кастрычніка"
hr-hr,be-by,"11. ožujka","11 сакавіка"
hr-hr,be-by,"11. prosinca","11 снежня"
hr-hr,be-by,"11. rujna","11 верасня"
hr-hr,be-by,"11. siječnja","11 студзеня"
hr-hr,be-by,"11. srpnja","11 ліпеня"
hr-hr,be-by,"11. stoljeće p. n. e.","11 стагоддзе да н.э."
hr-hr,be-by,"11. stoljeće","11 стагоддзе"
hr-hr,be-by,"11. studenog","11 лістапада"
hr-hr,be-by,"11. svibnja","11 мая"
hr-hr,be-by,"11. travnja","11 красавіка"
hr-hr,be-by,"11. veljače","11 лютага"
hr-hr,be-by,"12. kolovoza","12 жніўня"
hr-hr,be-by,"12. lipnja","12 чэрвеня"
hr-hr,be-by,"12. listopada","12 кастрычніка"
hr-hr,be-by,"12. ožujka","12 сакавіка"
hr-hr,be-by,"12. prosinca","12 снежня"
hr-hr,be-by,"12. rujna","12 верасня"
hr-hr,be-by,"12. siječnja","12 студзеня"
hr-hr,be-by,"12. srpnja","12 ліпеня"
hr-hr,be-by,"12. stoljeće p. n. e.","12 стагоддзе да н.э."
hr-hr,be-by,"12. stoljeće","12 стагоддзе"
hr-hr,be-by,"12. studenog","12 лістапада"
hr-hr,be-by,"12. svibnja","12 мая"
hr-hr,be-by,"12. travnja","12 красавіка"
hr-hr,be-by,"12. veljače","12 лютага"
hr-hr,be-by,"13. kolovoza","13 жніўня"
hr-hr,be-by,"13. lipnja","13 чэрвеня"
hr-hr,be-by,"13. listopada","13 кастрычніка"
hr-hr,be-by,"13. ožujka","13 сакавіка"
hr-hr,be-by,"13. prosinca","13 снежня"
hr-hr,be-by,"13. rujna","13 верасня"
hr-hr,be-by,"13. siječnja","13 студзеня"
