hr-hr,lt-lt,"...I pravda za sve","...And Justice for All"
hr-hr,lt-lt,"1 Ceres",Cerera
hr-hr,lt-lt,"1. FC Kaiserslautern","FC Kaiserslautern"
hr-hr,lt-lt,"1. FC Köln","FC Köln"
hr-hr,lt-lt,"1. FC Nürnberg","FC Nürnberg"
hr-hr,lt-lt,"1. FSV Mainz 05","FSV Mainz 05"
hr-hr,lt-lt,"1. kolovoza","Rugpjūčio 1"
hr-hr,lt-lt,"1. lipnja","Birželio 1"
hr-hr,lt-lt,"1. listopada","Spalio 1"
hr-hr,lt-lt,"1. ožujka","Kovo 1"
hr-hr,lt-lt,"1. prosinca","Gruodžio 1"
hr-hr,lt-lt,"1. rujna","Rugsėjo 1"
hr-hr,lt-lt,"1. siječnja","Sausio 1"
hr-hr,lt-lt,"1. srpnja","Liepos 1"
hr-hr,lt-lt,"1. stoljeće","I amžius"
hr-hr,lt-lt,"1. studenog","Lapkričio 1"
hr-hr,lt-lt,"1. svibnja","Gegužės 1"
hr-hr,lt-lt,"1. travnja","Balandžio 1"
hr-hr,lt-lt,"1. veljače","Vasario 1"
hr-hr,lt-lt,"10. kolovoza","Rugpjūčio 10"
hr-hr,lt-lt,"10. lipnja","Birželio 10"
hr-hr,lt-lt,"10. listopada","Spalio 10"
hr-hr,lt-lt,"10. ožujka","Kovo 10"
hr-hr,lt-lt,"10. prosinca","Gruodžio 10"
hr-hr,lt-lt,"10. rujna","Rugsėjo 10"
hr-hr,lt-lt,"10. siječnja","Sausio 10"
hr-hr,lt-lt,"10. srpnja","Liepos 10"
hr-hr,lt-lt,"10. stoljeće","X amžius"
hr-hr,lt-lt,"10. studenog","Lapkričio 10"
hr-hr,lt-lt,"10. svibnja","Gegužės 10"
hr-hr,lt-lt,"10. travnja","Balandžio 10"
hr-hr,lt-lt,"10. veljače","Vasario 10"
hr-hr,lt-lt,"100-ih p. n. e.","II amžius pr. m. e."
hr-hr,lt-lt,"11. kolovoza","Rugpjūčio 11"
hr-hr,lt-lt,"11. lipnja","Birželio 11"
hr-hr,lt-lt,"11. listopada","Spalio 11"
hr-hr,lt-lt,"11. ožujka","Kovo 11"
hr-hr,lt-lt,"11. prosinca","Gruodžio 11"
hr-hr,lt-lt,"11. rujna","Rugsėjo 11"
hr-hr,lt-lt,"11. siječnja","Sausio 11"
hr-hr,lt-lt,"11. srpnja","Liepos 11"
hr-hr,lt-lt,"11. stoljeće p. n. e.","2 tūkstantmetis pr. m. e."
hr-hr,lt-lt,"11. stoljeće","XI amžius"
hr-hr,lt-lt,"11. studenog","Lapkričio 11"
hr-hr,lt-lt,"11. svibnja","Gegužės 11"
hr-hr,lt-lt,"11. travnja","Balandžio 11"
hr-hr,lt-lt,"11. veljače","Vasario 11"
hr-hr,lt-lt,"12. kolovoza","Rugpjūčio 12"
hr-hr,lt-lt,"12. lipnja","Birželio 12"
hr-hr,lt-lt,"12. listopada","Spalio 12"
hr-hr,lt-lt,"12. ožujka","Kovo 12"
hr-hr,lt-lt,"12. prosinca","Gruodžio 12"
hr-hr,lt-lt,"12. rujna","Rugsėjo 12"
hr-hr,lt-lt,"12. siječnja","Sausio 12"
hr-hr,lt-lt,"12. srpnja","Liepos 12"
hr-hr,lt-lt,"12. stoljeće","XII amžius"
hr-hr,lt-lt,"12. studenog","Lapkričio 12"
hr-hr,lt-lt,"12. svibnja","Gegužės 12"
hr-hr,lt-lt,"12. travnja","Balandžio 12"
hr-hr,lt-lt,"12. veljače","Vasario 12"
hr-hr,lt-lt,"13. kolovoza","Rugpjūčio 13"
hr-hr,lt-lt,"13. lipnja","Birželio 13"
hr-hr,lt-lt,"13. listopada","Spalio 13"
hr-hr,lt-lt,"13. ožujka","Kovo 13"
hr-hr,lt-lt,"13. prosinca","Gruodžio 13"
hr-hr,lt-lt,"13. rujna","Rugsėjo 13"
hr-hr,lt-lt,"13. siječnja","Sausio 13"
hr-hr,lt-lt,"13. srpnja","Liepos 13"
hr-hr,lt-lt,"13. stoljeće","XIII amžius"
hr-hr,lt-lt,"13. studenog","Lapkričio 13"
hr-hr,lt-lt,"13. svibnja","Gegužės 13"
hr-hr,lt-lt,"13. travnja","Balandžio 13"
hr-hr,lt-lt,"13. veljače","Vasario 13"
hr-hr,lt-lt,"136 Austria",Austrija
hr-hr,lt-lt,"136199 Eris","Eridė"
hr-hr,lt-lt,"137 Meliboea",Meliboja
hr-hr,lt-lt,"14. kolovoza","Rugpjūčio 14"
hr-hr,lt-lt,"14. lipnja","Birželio 14"
hr-hr,lt-lt,"14. listopada","Spalio 14"
hr-hr,lt-lt,"14. ožujka","Kovo 14"
hr-hr,lt-lt,"14. prosinca","Gruodžio 14"
hr-hr,lt-lt,"14. rujna","Rugsėjo 14"
hr-hr,lt-lt,"14. siječnja","Sausio 14"
hr-hr,lt-lt,"14. srpnja","Liepos 14"
hr-hr,lt-lt,"14. stoljeće","XIV amžius"
hr-hr,lt-lt,"14. studenog","Lapkričio 14"
hr-hr,lt-lt,"14. svibnja","Gegužės 14"
hr-hr,lt-lt,"14. travnja","Balandžio 14"
hr-hr,lt-lt,"14. veljače","Vasario 14"
hr-hr,lt-lt,"140 Siwa",Siva
hr-hr,lt-lt,"15. kolovoza","Rugpjūčio 15"
hr-hr,lt-lt,"15. lipnja","Birželio 15"
hr-hr,lt-lt,"15. listopada","Spalio 15"
hr-hr,lt-lt,"15. ožujka","Kovo 15"
hr-hr,lt-lt,"15. prosinca","Gruodžio 15"
hr-hr,lt-lt,"15. rujna","Rugsėjo 15"
hr-hr,lt-lt,"15. siječnja","Sausio 15"
hr-hr,lt-lt,"15. srpnja","Liepos 15"
hr-hr,lt-lt,"15. stoljeće","XV amžius"
hr-hr,lt-lt,"15. studenog","Lapkričio 15"
hr-hr,lt-lt,"15. svibnja","Gegužės 15"
hr-hr,lt-lt,"15. travnja","Balandžio 15"
hr-hr,lt-lt,"15. veljače","Vasario 15"
hr-hr,lt-lt,"151 Abundantia",Abudantija
hr-hr,lt-lt,"155 Scylla","Scilė"
hr-hr,lt-lt,"16. kolovoza","Rugpjūčio 16"
hr-hr,lt-lt,"16. lipnja","Birželio 16"
hr-hr,lt-lt,"16. listopada","Spalio 16"
hr-hr,lt-lt,"16. ožujka","Kovo 16"
hr-hr,lt-lt,"16. prosinca","Gruodžio 16"
