hr-hr,ro-ro,"'pp od write'",Scris
hr-hr,ro-ro,"0-ih p. n. e.","Primul deceniu î.Hr."
hr-hr,ro-ro,"0ih p.n.e.","Anii 0 î.Hr."
hr-hr,ro-ro,"1 Ceres",Ceres
hr-hr,ro-ro,"1 p.n.e.","1 î.Hr."
hr-hr,ro-ro,"1. FC Nürnberg",Nürnberg
hr-hr,ro-ro,"1. kolovoza","1 august"
hr-hr,ro-ro,"1. lipnja","1 iunie"
hr-hr,ro-ro,"1. listopada","1 octombrie"
hr-hr,ro-ro,"1. ožujka","1 martie"
hr-hr,ro-ro,"1. p. n. e.","1 î.Hr."
hr-hr,ro-ro,"1. prosinca","1 decembrie"
hr-hr,ro-ro,"1. rujna","1 septembrie"
hr-hr,ro-ro,"1. siječnja","1 ianuarie"
hr-hr,ro-ro,"1. srpnja","1 iulie"
hr-hr,ro-ro,"1. stoljeće p. n. e.","Secolul I î.Hr."
hr-hr,ro-ro,"1. stoljeće p.n.e.","Secolul I î.Hr."
hr-hr,ro-ro,"1. stoljeće","Secolul I"
hr-hr,ro-ro,"1. studenog","1 noiembrie"
hr-hr,ro-ro,"1. svibnja","1 mai"
hr-hr,ro-ro,"1. travnja","1 aprilie"
hr-hr,ro-ro,"1. veljače","1 februarie"
hr-hr,ro-ro,"10-ih p. n. e.","Anii 10 î.Hr."
hr-hr,ro-ro,"10. kolovoza","10 august"
hr-hr,ro-ro,"10. lipnja","10 iunie"
hr-hr,ro-ro,"10. listopada","10 octombrie"
hr-hr,ro-ro,"10. ožujka","10 martie"
hr-hr,ro-ro,"10. p. n. e.","10 î.Hr."
hr-hr,ro-ro,"10. prosinca","10 decembrie"
hr-hr,ro-ro,"10. rujna","10 septembrie"
hr-hr,ro-ro,"10. siječnja","10 ianuarie"
hr-hr,ro-ro,"10. srpnja","10 iulie"
hr-hr,ro-ro,"10. stoljeće p. n. e.","Anii 900 î.Hr."
hr-hr,ro-ro,"10. stoljeće","Secolul al X-lea"
hr-hr,ro-ro,"10. studenog","10 noiembrie"
hr-hr,ro-ro,"10. svibnja","10 mai"
hr-hr,ro-ro,"10. travnja","10 aprilie"
hr-hr,ro-ro,"10. veljače","10 februarie"
hr-hr,ro-ro,"100-ih p. n. e.","Anii 100 î.Hr."
hr-hr,ro-ro,"100. p. n. e.","100 î.Hr."
hr-hr,ro-ro,"1000 p.n.e.","1000 î.Hr."
hr-hr,ro-ro,"1000. p. n. e.","1000 î.Hr."
hr-hr,ro-ro,"101. p. n. e.","101 î.Hr."
hr-hr,ro-ro,"102. p. n. e.","102 î.Hr."
hr-hr,ro-ro,"103. p. n. e.","103 î.Hr."
hr-hr,ro-ro,"104. p. n. e.","104 î.Hr."
hr-hr,ro-ro,"105. p. n. e.","105 î.Hr."
hr-hr,ro-ro,"106. p. n. e.","106 î.Hr."
hr-hr,ro-ro,"107. p. n. e.","107 î.Hr."
hr-hr,ro-ro,"108. p. n. e.","108 î.Hr."
hr-hr,ro-ro,"109. p. n. e.","109 î.Hr."
hr-hr,ro-ro,"10ih p.n.e.","Anii 10 î.Hr."
hr-hr,ro-ro,"11-ih p. n. e.","Primul deceniu î.Hr."
hr-hr,ro-ro,"11. kolovoza","11 august"
hr-hr,ro-ro,"11. lipnja","11 iunie"
hr-hr,ro-ro,"11. listopada","11 octombrie"
hr-hr,ro-ro,"11. ožujka","11 martie"
hr-hr,ro-ro,"11. p. n. e.","11 î.Hr."
hr-hr,ro-ro,"11. prosinca","11 decembrie"
hr-hr,ro-ro,"11. rujna","11 septembrie"
hr-hr,ro-ro,"11. siječnja","11 ianuarie"
hr-hr,ro-ro,"11. srpnja","11 iulie"
hr-hr,ro-ro,"11. stoljeće p. n. e.","Mileniul al II-lea î.Hr."
hr-hr,ro-ro,"11. stoljeće","Secolul al XI-lea"
hr-hr,ro-ro,"11. studenog","11 noiembrie"
hr-hr,ro-ro,"11. svibnja","11 mai"
hr-hr,ro-ro,"11. travnja","11 aprilie"
hr-hr,ro-ro,"11. veljače","11 februarie"
hr-hr,ro-ro,"110-ih p. n. e.","Anii 110 î.Hr."
hr-hr,ro-ro,"110. p. n. e.","110 î.Hr."
hr-hr,ro-ro,"111. p. n. e.","111 î.Hr."
hr-hr,ro-ro,"112. p. n. e.","112 î.Hr."
hr-hr,ro-ro,"113. p. n. e.","113 î.Hr."
hr-hr,ro-ro,"114. p. n. e.","114 î.Hr."
