is-is,et-ee,"1. apríl","1. aprill"
is-is,et-ee,"1. desember","1. detsember"
is-is,et-ee,"1. febrúar","1. veebruar"
is-is,et-ee,"1. janúar","1. jaanuar"
is-is,et-ee,"1. júlí","1. juuli"
is-is,et-ee,"1. júní","1. juuni"
is-is,et-ee,"1. mars","1. märts"
is-is,et-ee,"1. maí","1. mai"
is-is,et-ee,"1. nóvember","1. november"
is-is,et-ee,"1. október","1. oktoober"
is-is,et-ee,"1. september","1. september"
is-is,et-ee,"1. ágúst","1. august"
is-is,et-ee,"1. öldin f.Kr.","1. sajand eKr"
is-is,et-ee,"1. öldin","1. sajand"
is-is,et-ee,"10. apríl","10. aprill"
is-is,et-ee,"10. desember","10. detsember"
is-is,et-ee,"10. febrúar","10. veebruar"
is-is,et-ee,"10. janúar","10. jaanuar"
is-is,et-ee,"10. júlí","10. juuli"
is-is,et-ee,"10. júní","10. juuni"
is-is,et-ee,"10. mars","10. märts"
is-is,et-ee,"10. maí","10. mai"
is-is,et-ee,"10. nóvember","10. november"
is-is,et-ee,"10. október","10. oktoober"
is-is,et-ee,"10. september","10. september"
is-is,et-ee,"10. ágúst","10. august"
is-is,et-ee,"10. öldin","10. sajand"
is-is,et-ee,"11. apríl","11. aprill"
is-is,et-ee,"11. desember","11. detsember"
is-is,et-ee,"11. febrúar","11. veebruar"
is-is,et-ee,"11. janúar","11. jaanuar"
is-is,et-ee,"11. júlí","11. juuli"
is-is,et-ee,"11. júní","11. juuni"
is-is,et-ee,"11. mars","11. märts"
is-is,et-ee,"11. maí","11. mai"
is-is,et-ee,"11. nóvember","11. november"
is-is,et-ee,"11. október","11. oktoober"
is-is,et-ee,"11. september","11. september"
is-is,et-ee,"11. ágúst","11. august"
is-is,et-ee,"11. öldin","11. sajand"
is-is,et-ee,"12. apríl","12. aprill"
is-is,et-ee,"12. desember","12. detsember"
is-is,et-ee,"12. febrúar","12. veebruar"
is-is,et-ee,"12. janúar","12. jaanuar"
is-is,et-ee,"12. júlí","12. juuli"
is-is,et-ee,"12. júní","12. juuni"
is-is,et-ee,"12. mars","12. märts"
is-is,et-ee,"12. maí","12. mai"
is-is,et-ee,"12. nóvember","12. november"
is-is,et-ee,"12. október","12. oktoober"
is-is,et-ee,"12. september","12. september"
is-is,et-ee,"12. ágúst","12. august"
is-is,et-ee,"12. öldin","12. sajand"
is-is,et-ee,"13. apríl","13. aprill"
is-is,et-ee,"13. desember","13. detsember"
is-is,et-ee,"13. febrúar","13. veebruar"
is-is,et-ee,"13. janúar","13. jaanuar"
is-is,et-ee,"13. júlí","13. juuli"
is-is,et-ee,"13. júní","13. juuni"
is-is,et-ee,"13. mars","13. märts"
is-is,et-ee,"13. maí","13. mai"
is-is,et-ee,"13. nóvember","13. november"
is-is,et-ee,"13. október","13. oktoober"
is-is,et-ee,"13. september","13. september"
is-is,et-ee,"13. ágúst","13. august"
is-is,et-ee,"13. öldin","13. sajand"
is-is,et-ee,"14. apríl","14. aprill"
is-is,et-ee,"14. desember","14. detsember"
is-is,et-ee,"14. febrúar","14. veebruar"
is-is,et-ee,"14. janúar","14. jaanuar"
is-is,et-ee,"14. júlí","14. juuli"
is-is,et-ee,"14. júní","14. juuni"
is-is,et-ee,"14. mars","14. märts"
is-is,et-ee,"14. maí","14. mai"
is-is,et-ee,"14. nóvember","14. november"
is-is,et-ee,"14. október","14. oktoober"
is-is,et-ee,"14. september","14. september"
is-is,et-ee,"14. ágúst","14. august"
is-is,et-ee,"14. öldin","14. sajand"
is-is,et-ee,"15. apríl","15. aprill"
is-is,et-ee,"15. desember","15. detsember"
is-is,et-ee,"15. febrúar","15. veebruar"
is-is,et-ee,"15. janúar","15. jaanuar"
is-is,et-ee,"15. júlí","15. juuli"
is-is,et-ee,"15. júní","15. juuni"
is-is,et-ee,"15. mars","15. märts"
is-is,et-ee,"15. maí","15. mai"
is-is,et-ee,"15. nóvember","15. november"
is-is,et-ee,"15. október","15. oktoober"
is-is,et-ee,"15. september","15. september"
is-is,et-ee,"15. ágúst","15. august"
is-is,et-ee,"15. öldin","15. sajand"
is-is,et-ee,"16. apríl","16. aprill"
is-is,et-ee,"16. desember","16. detsember"
is-is,et-ee,"16. febrúar","16. veebruar"
is-is,et-ee,"16. janúar","16. jaanuar"
is-is,et-ee,"16. júlí","16. juuli"
is-is,et-ee,"16. júní","16. juuni"
is-is,et-ee,"16. mars","16. märts"
is-is,et-ee,"16. maí","16. mai"
is-is,et-ee,"16. nóvember","16. november"
is-is,et-ee,"16. október","16. oktoober"
is-is,et-ee,"16. september","16. september"
is-is,et-ee,"16. ágúst","16. august"
is-is,et-ee,"16. öldin","16. sajand"
is-is,et-ee,"17. apríl","17. aprill"
is-is,et-ee,"17. desember","17. detsember"
is-is,et-ee,"17. febrúar","17. veebruar"
is-is,et-ee,"17. janúar","17. jaanuar"
is-is,et-ee,"17. júlí","17. juuli"
is-is,et-ee,"17. júní","17. juuni"
is-is,et-ee,"17. mars","17. märts"
is-is,et-ee,"17. maí","17. mai"
is-is,et-ee,"17. nóvember","17. november"
is-is,et-ee,"17. október","17. oktoober"
is-is,et-ee,"17. september","17. september"
is-is,et-ee,"17. ágúst","17. august"
is-is,et-ee,"17. öldin","17. sajand"
is-is,et-ee,"18. apríl","18. aprill"
is-is,et-ee,"18. desember","18. detsember"
is-is,et-ee,"18. febrúar","18. veebruar"
is-is,et-ee,"18. janúar","18. jaanuar"
is-is,et-ee,"18. júlí","18. juuli"
is-is,et-ee,"18. júní","18. juuni"
is-is,et-ee,"18. mars","18. märts"
is-is,et-ee,"18. maí","18. mai"
is-is,et-ee,"18. nóvember","18. november"
is-is,et-ee,"18. október","18. oktoober"
is-is,et-ee,"18. september","18. september"
is-is,et-ee,"18. ágúst","18. august"
is-is,et-ee,"18. öldin","18. sajand"
is-is,et-ee,"19. apríl","19. aprill"
is-is,et-ee,"19. desember","19. detsember"
is-is,et-ee,"19. febrúar","19. veebruar"
is-is,et-ee,"19. janúar","19. jaanuar"
is-is,et-ee,"19. júlí","19. juuli"
is-is,et-ee,"19. júní","19. juuni"
is-is,et-ee,"19. mars","19. märts"
is-is,et-ee,"19. maí","19. mai"
is-is,et-ee,"19. nóvember","19. november"
is-is,et-ee,"19. október","19. oktoober"
is-is,et-ee,"19. september","19. september"
is-is,et-ee,"19. ágúst","19. august"
is-is,et-ee,"19. öldin","19. sajand"
is-is,et-ee,"2. apríl","2. aprill"
is-is,et-ee,"2. desember","2. detsember"
is-is,et-ee,"2. febrúar","2. veebruar"
is-is,et-ee,"2. janúar","2. jaanuar"
is-is,et-ee,"2. júlí","2. juuli"
is-is,et-ee,"2. júní","2. juuni"
is-is,et-ee,"2. mars","2. märts"
is-is,et-ee,"2. maí","2. mai"
is-is,et-ee,"2. nóvember","2. november"
is-is,et-ee,"2. október","2. oktoober"
is-is,et-ee,"2. september","2. september"
