nl-nl,sv-se,!Xóõ,!Xóõ
nl-nl,sv-se,"""O""",O
nl-nl,sv-se,"""O""","О"
nl-nl,sv-se,"'Allo 'Allo","'Allå, 'allå, 'emliga armén"
nl-nl,sv-se,"'m smeren",Försvinna
nl-nl,sv-se,"'nieuwe' Tweezaadlobbigen",Trikolpater
nl-nl,sv-se,"'s nachts",Mardrömmar
nl-nl,sv-se,"... And Oceans","…and Oceans"
nl-nl,sv-se,"...And Justice for All","...And Justice for All"
nl-nl,sv-se,"...And You Will Know Us By The Trail Of Dead","…And You Will Know Us by the Trail of Dead"
nl-nl,sv-se,"...And then there were three","...And Then There Were Three..."
nl-nl,sv-se,"...Baby One More Time","...Baby One More Time"
nl-nl,sv-se,".NET Framework 3.0",".NET Framework 3.0"
nl-nl,sv-se,"1 april","1 april"
nl-nl,sv-se,"1 aprilgrap",Aprilskämt
nl-nl,sv-se,"1 augustus","1 augusti"
nl-nl,sv-se,"1 december","1 december"
nl-nl,sv-se,"1 februari","1 februari"
nl-nl,sv-se,"1 januari","1 januari"
nl-nl,sv-se,"1 juli","1 juli"
nl-nl,sv-se,"1 juni","1 juni"
nl-nl,sv-se,"1 maart","1 mars"
nl-nl,sv-se,"1 mei","1 maj"
nl-nl,sv-se,"1 november","1 november"
nl-nl,sv-se,"1 oktober","1 oktober"
nl-nl,sv-se,"1 september","1 september"
nl-nl,sv-se,"1 v. Chr.","1 f.Kr."
nl-nl,sv-se,"1 v.Chr.","1 f.Kr."
nl-nl,sv-se,"1,039/Smoothed out slappy hours","1,039/Smoothed Out Slappy Hours"
nl-nl,sv-se,"1,4-Dioxaan","1,4-Dioxan"
nl-nl,sv-se,"1. FC Brno",Brno
nl-nl,sv-se,"1. FC Kaiserslautern","1. FC Kaiserslautern"
nl-nl,sv-se,"1. FC Köln","1. FC Köln"
nl-nl,sv-se,"1. FC Magdeburg","1. FC Magdeburg"
nl-nl,sv-se,"1. FC Nürnberg","1. FC Nürnberg"
nl-nl,sv-se,"1. FC Union Berlin","1. FC Union Berlin"
nl-nl,sv-se,"1. FSV Mainz 05","1. FSV Mainz 05"
nl-nl,sv-se,"1.FC Saarbrücken","1. FC Saarbrücken"
nl-nl,sv-se,"10 Things I Hate About You","10 orsaker att hata dig"
nl-nl,sv-se,"10 april","10 april"
nl-nl,sv-se,"10 augustus","10 augusti"
nl-nl,sv-se,"10 december","10 december"
nl-nl,sv-se,"10 februari","10 februari"
nl-nl,sv-se,"10 januari","10 januari"
nl-nl,sv-se,"10 juli","10 juli"
nl-nl,sv-se,"10 juni","10 juni"
nl-nl,sv-se,"10 maart","10 mars"
nl-nl,sv-se,"10 mei","10 maj"
nl-nl,sv-se,"10 november","10 november"
nl-nl,sv-se,"10 oktober","10 oktober"
nl-nl,sv-se,"10 september","10 september"
nl-nl,sv-se,"10 v.Chr.","10 f.Kr."
nl-nl,sv-se,"100 Bullets","100 Bullets"
nl-nl,sv-se,"100 Greatest Britons","100 Greatest Britons"
nl-nl,sv-se,"100 meter horden","100 meter häck"
nl-nl,sv-se,"100 meter","100 meter"
nl-nl,sv-se,"100 v.Chr.","100 f.Kr."
nl-nl,sv-se,"1000 v. Chr.","1000 f.Kr."
nl-nl,sv-se,"1000 v.Chr.","1000 f.Kr."
nl-nl,sv-se,"1009-1000 v.Chr.","1000 f.Kr."
nl-nl,sv-se,"101 Dalmatiërs","Pongo och de 101 dalmatinerna"
nl-nl,sv-se,"101 v.Chr.","101 f.Kr."
nl-nl,sv-se,"101st Airborne Division","101. Luftburna Divisionen"
nl-nl,sv-se,"102 v.Chr.","102 f.Kr."
nl-nl,sv-se,"103 v.Chr.","103 f.Kr."
nl-nl,sv-se,"104 v.Chr.","104 f.Kr."
nl-nl,sv-se,"105 v.Chr.","105 f.Kr."
nl-nl,sv-se,"106 v.Chr.","106 f.Kr."
nl-nl,sv-se,"107 v.Chr.","107 f.Kr."
nl-nl,sv-se,"108 v.Chr.","108 f.Kr."
nl-nl,sv-se,"109 v.Chr.","109 f.Kr."
nl-nl,sv-se,"10e eeuw v. Chr.","900-talet f.Kr."
nl-nl,sv-se,"10e eeuw v.Chr.","900-talet f.Kr."
nl-nl,sv-se,"10e eeuw",900-talet
