no-no,et-ee,"...And Justice for All","...And Justice for All"
no-no,et-ee,"1 f.Kr.","1 eKr"
no-no,et-ee,"1. FC Nürnberg",Nürnberg
no-no,et-ee,"1. Januar","1. jaanuar"
no-no,et-ee,"1. april","1. aprill"
no-no,et-ee,"1. august","1. august"
no-no,et-ee,"1. desember","1. detsember"
no-no,et-ee,"1. februar","1. veebruar"
no-no,et-ee,"1. januar","1. jaanuar"
no-no,et-ee,"1. juli","1. juuli"
no-no,et-ee,"1. juni","1. juuni"
no-no,et-ee,"1. mai","1. mai"
no-no,et-ee,"1. mars","1. märts"
no-no,et-ee,"1. november","1. november"
no-no,et-ee,"1. oktober","1. oktoober"
no-no,et-ee,"1. september","1. september"
no-no,et-ee,"1. århundre f.Kr.","1. sajand eKr"
no-no,et-ee,"1. århundre","1. sajand"
no-no,et-ee,"1. årtusen f.Kr.","1. aastatuhat eKr"
no-no,et-ee,"10 f.Kr.","10 eKr"
no-no,et-ee,"10. april","10. aprill"
no-no,et-ee,"10. august","10. august"
no-no,et-ee,"10. desember","10. detsember"
no-no,et-ee,"10. februar","10. veebruar"
no-no,et-ee,"10. januar","10. jaanuar"
no-no,et-ee,"10. juli","10. juuli"
no-no,et-ee,"10. juni","10. juuni"
no-no,et-ee,"10. mai","10. mai"
no-no,et-ee,"10. mars","10. märts"
no-no,et-ee,"10. november","10. november"
no-no,et-ee,"10. oktober","10. oktoober"
no-no,et-ee,"10. september","10. september"
no-no,et-ee,"10. århundre f.Kr.","900. aastad eKr"
no-no,et-ee,"10. århundre","10. sajand"
no-no,et-ee,"100 f.Kr.","100 eKr"
no-no,et-ee,"100 meter hekk","100 meetri tõkkejooks"
no-no,et-ee,"100 meter","100 meetri jooks"
no-no,et-ee,"100 proof",Tõestus
no-no,et-ee,"1000 f.Kr.","1000 eKr"
no-no,et-ee,"11 f.Kr.","11 eKr"
no-no,et-ee,"11. april","11. aprill"
no-no,et-ee,"11. august","11. august"
no-no,et-ee,"11. desember","11. detsember"
no-no,et-ee,"11. februar","11. veebruar"
no-no,et-ee,"11. januar","11. jaanuar"
no-no,et-ee,"11. juli","11. juuli"
no-no,et-ee,"11. juni","11. juuni"
no-no,et-ee,"11. mai","11. mai"
