pl-pl,sl-si,"'Allo 'Allo!","Alo Alo"
pl-pl,sl-si,".NET Framework","Microsoft .NET"
pl-pl,sl-si,"1 Armia WP","1. poljska armada"
pl-pl,sl-si,"1 Ceres",Ceres
pl-pl,sl-si,"1 Dywizja Kawalerii","1. konjeniška divizija"
pl-pl,sl-si,"1 Dywizja Pancerna","1. oklepna divizija"
pl-pl,sl-si,"1 Dywizja Piechoty","1. pehotna divizija"
pl-pl,sl-si,"1 Dywizja Strzelców Górskich","1. gorska divizija"
pl-pl,sl-si,"1 Samodzielna Brygada Spadochronowa","1. samostojna padalska brigada"
pl-pl,sl-si,"1 czerwca","1. junij"
pl-pl,sl-si,"1 grudnia","1. december"
pl-pl,sl-si,"1 kwietnia","1. april"
pl-pl,sl-si,"1 lipca","1. julij"
pl-pl,sl-si,"1 listopada","1. november"
pl-pl,sl-si,"1 lutego","1. februar"
pl-pl,sl-si,"1 maja","1. maj"
pl-pl,sl-si,"1 marca","1. marec"
pl-pl,sl-si,"1 p.n.e.","1 pr. n. št."
pl-pl,sl-si,"1 października","1. oktober"
pl-pl,sl-si,"1 sierpnia","1. avgust"
pl-pl,sl-si,"1 stycznia","1. januar"
pl-pl,sl-si,"1 września","1. september"
pl-pl,sl-si,"1. FC Brno",Brno
pl-pl,sl-si,"1. FC Kaiserslautern","1. FC Kaiserslautern"
pl-pl,sl-si,"1. FC Nürnberg",Nürnberg
pl-pl,sl-si,"10 Dywizja Cesarstwa Niemieckiego","10. divizija"
pl-pl,sl-si,"10 Dywizja Górska","10. gorska divizija"
pl-pl,sl-si,"10 czerwca","10. junij"
pl-pl,sl-si,"10 grudnia","10. december"
pl-pl,sl-si,"10 kwietnia","10. april"
pl-pl,sl-si,"10 lipca","10. julij"
pl-pl,sl-si,"10 listopada","10. november"
pl-pl,sl-si,"10 lutego","10. februar"
pl-pl,sl-si,"10 maja","10. maj"
pl-pl,sl-si,"10 marca","10. marec"
pl-pl,sl-si,"10 p.n.e.","10 pr. n. št."
pl-pl,sl-si,"10 października","10. oktober"
pl-pl,sl-si,"10 sierpnia","10. avgust"
pl-pl,sl-si,"10 stycznia","10. januar"
pl-pl,sl-si,"10 września","10. september"
pl-pl,sl-si,"100 p.n.e.","100 pr. n. št."
