pl-pl,sr-rs,"'Allo 'Allo!","Ало, ало!"
pl-pl,sr-rs,"1 Armia Pancerna","Немачка Прва панцер армија"
pl-pl,sr-rs,"1 Ceres","Церера"
pl-pl,sr-rs,"1 Dywizja Pancerna SS Leibstandarte SS Adolf Hitler","1. СС оклопна дивизија Лична гарда Адолфа Хитлера"
pl-pl,sr-rs,"1 czerwca","1. јун"
pl-pl,sr-rs,"1 grudnia","1. децембар"
pl-pl,sr-rs,"1 kwietnia","1. април"
pl-pl,sr-rs,"1 lipca","1. јул"
pl-pl,sr-rs,"1 listopada","1. новембар"
pl-pl,sr-rs,"1 lutego","1. фебруар"
pl-pl,sr-rs,"1 maja","1. мај"
pl-pl,sr-rs,"1 marca","1. март"
pl-pl,sr-rs,"1 p.n.e.","1. п. н. е."
pl-pl,sr-rs,"1 października","1. октобар"
pl-pl,sr-rs,"1 sierpnia","1. август"
pl-pl,sr-rs,"1 stycznia","1. јануар"
pl-pl,sr-rs,"1 września","1. септембар"
pl-pl,sr-rs,"1. FC Brno","Брно"
pl-pl,sr-rs,"1. FC Nürnberg","Нирнберг"
pl-pl,sr-rs,"1. List do Koryntian","Прва посланица Коринћанима"
pl-pl,sr-rs,"10 Dywizja Pancerna SS Frundsberg","10. СС оклопна дивизија Фрундсберг"
pl-pl,sr-rs,"10 czerwca","10. јун"
pl-pl,sr-rs,"10 grudnia","10. децембар"
pl-pl,sr-rs,"10 kwietnia","10. април"
pl-pl,sr-rs,"10 lipca","10. јул"
pl-pl,sr-rs,"10 listopada","10. новембар"
pl-pl,sr-rs,"10 lutego","10. фебруар"
pl-pl,sr-rs,"10 maja","10. мај"
pl-pl,sr-rs,"10 marca","10. март"
pl-pl,sr-rs,"10 p.n.e.","10. п. н. е."
pl-pl,sr-rs,"10 października","10. октобар"
pl-pl,sr-rs,"10 sierpnia","10. август"
pl-pl,sr-rs,"10 stycznia","10. јануар"
pl-pl,sr-rs,"10 września","10. септембар"
pl-pl,sr-rs,"10.5 cm FlaK 39","Противавионски топ 105 mm Флак 38"
