sk-sk,lt-lt,"...And Justice for All","...And Justice for All"
sk-sk,lt-lt,"0. roky 11. storočia","XI amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 12. storočia","XII amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 13. storočia","XIII amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 14. storočia","XIV amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 15. storočia","XV amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 16. storočia","XVI amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 17. storočia","XVII amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 18. storočia","XVIII amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 19. storočia","XIX amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 2. storočia pred Kr.","II amžius pr. m. e."
sk-sk,lt-lt,"0. roky 2. storočia","II amžius"
sk-sk,lt-lt,"0. roky 20. storočia","XX amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 21. storočia","XXI amžiaus 1-as dešimtmetis"
sk-sk,lt-lt,"0. roky 3. storočia pred Kr.","III amžius pr. m. e."
sk-sk,lt-lt,"0. roky 3. storočia","III amžius"
sk-sk,lt-lt,"0. roky 4. storočia","IV amžius"
sk-sk,lt-lt,"0. roky 5. storočia","V amžius"
sk-sk,lt-lt,"0. roky 6. storočia pred Kr.","VI amžius pr. m. e."
sk-sk,lt-lt,"0. roky 6. storočia","VI amžius"
sk-sk,lt-lt,"0. roky 7. storočia pred Kr.","VII amžius pr. m. e."
sk-sk,lt-lt,"0. roky 9. storočia pred Kr.","IX amžius pr. m. e."
sk-sk,lt-lt,"0. roky 9. storočia","IX amžius"
sk-sk,lt-lt,"00. roky 00. storočia","XX amžiaus 3-as dešimtmetis"
sk-sk,lt-lt,"1 Ceres",Cerera
