sk-sk,ru-ru,"""Heroes""","Герои"
sk-sk,ru-ru,"...And Justice for All","…And Justice for All"
sk-sk,ru-ru,"0. roky 1. storočia pred Kr.","0-е до н. э."
sk-sk,ru-ru,"0. roky 1. storočia",0-е
sk-sk,ru-ru,"0. roky 10. storočia pred Kr.","X век до н. э."
sk-sk,ru-ru,"0. roky 10. storočia",900-е
sk-sk,ru-ru,"0. roky 11. storočia pred Kr.","1000-е до н. э."
sk-sk,ru-ru,"0. roky 11. storočia",1000-е
sk-sk,ru-ru,"0. roky 12. storočia",1100-е
sk-sk,ru-ru,"0. roky 13. storočia",1200-е
sk-sk,ru-ru,"0. roky 14. storočia",1300-е
sk-sk,ru-ru,"0. roky 15. storočia",1400-е
sk-sk,ru-ru,"0. roky 16. storočia",1500-е
sk-sk,ru-ru,"0. roky 17. storočia",1600-е
sk-sk,ru-ru,"0. roky 18. storočia pred Kr.","XVIII век до н. э."
sk-sk,ru-ru,"0. roky 18. storočia",1700-е
sk-sk,ru-ru,"0. roky 19. storočia pred Kr.","XIX век до н. э."
sk-sk,ru-ru,"0. roky 19. storočia",1800-е
sk-sk,ru-ru,"0. roky 2. storočia pred Kr.","100-е до н. э."
sk-sk,ru-ru,"0. roky 2. storočia",100-е
sk-sk,ru-ru,"0. roky 20. storočia pred Kr.","XX век до н. э."
sk-sk,ru-ru,"0. roky 20. storočia",1900-е
sk-sk,ru-ru,"0. roky 21. storočia pred Kr.","XXI век до н. э."
sk-sk,ru-ru,"0. roky 21. storočia",2000-е
sk-sk,ru-ru,"0. roky 3. storočia pred Kr.","200-е до н. э."
sk-sk,ru-ru,"0. roky 3. storočia",200-е
sk-sk,ru-ru,"0. roky 4. storočia pred Kr.","300-е до н. э."
sk-sk,ru-ru,"0. roky 4. storočia",300-е
sk-sk,ru-ru,"0. roky 5. storočia pred Kr.","400-е до н. э."
sk-sk,ru-ru,"0. roky 5. storočia",400-е
sk-sk,ru-ru,"0. roky 6. storočia pred Kr.","VI век до н. э."
sk-sk,ru-ru,"0. roky 6. storočia",500-е
sk-sk,ru-ru,"0. roky 7. storočia pred Kr.","VII век до н. э."
sk-sk,ru-ru,"0. roky 7. storočia",600-е
