sl-si,en-us,"""Weird Al"" Yankovic","""Weird Al"" Yankovic"
sl-si,en-us,".22 LR",".22 Long Rifle"
sl-si,en-us,".357 Magnum",".357 Magnum"
sl-si,en-us,".40 Smith & Wesson",".40 S&W"
sl-si,en-us,".45 ACP",".45 ACP"
sl-si,en-us,".50 Action Express",".50 Action Express"
sl-si,en-us,".500 Smith & Wesson Magnum",".500 S&W Magnum"
sl-si,en-us,"0. pr. n. št.","0s BC"
sl-si,en-us,"1 Ceres",Ceres
sl-si,en-us,"1 E-9 m","1 E-9 m"
sl-si,en-us,"1 E1 m","1 E+1 m"
sl-si,en-us,"1 E10 m²","1 E+10 m²"
sl-si,en-us,"1 E11 m","1 E+11 m"
sl-si,en-us,"1 E11 m²","1 E+11 m²"
sl-si,en-us,"1 E12 m²","1 E+12 m²"
sl-si,en-us,"1 E13 m²","1 E+13 m²"
sl-si,en-us,"1 E14 m²","1 E+14 m²"
sl-si,en-us,"1 E2 m","1 E+2 m"
sl-si,en-us,"1 E3 m","1 E+3 m"
sl-si,en-us,"1 E3 m²","1 E+3 m²"
sl-si,en-us,"1 E4 m","1 E+4 m"
sl-si,en-us,"1 E4 m²","1 E+4 m²"
sl-si,en-us,"1 E4 m³","1 E+1 m²"
sl-si,en-us,"1 E4 m³","1 E4 m³"
sl-si,en-us,"1 E4 m³","Order of magnitude"
sl-si,en-us,"1 E4 m³","Orders of magnitude"
sl-si,en-us,"1 E5 m","1 E+5 m"
sl-si,en-us,"1 E5 m²","1 E+5 m²"
sl-si,en-us,"1 E6 m","1 E+6 m"
sl-si,en-us,"1 E6 m²","1 E+6 m²"
sl-si,en-us,"1 E7 m","1 E+7 m"
sl-si,en-us,"1 E7 m²","1 E+7 m²"
sl-si,en-us,"1 E8 m","1 E+8 m"
sl-si,en-us,"1 E8 m²","1 E+8 m²"
sl-si,en-us,"1 E8 m³","1 E+1 m²"
sl-si,en-us,"1 E8 m³","1 E4 m³"
sl-si,en-us,"1 E8 m³","Order of magnitude"
sl-si,en-us,"1 E8 m³","Orders of magnitude"
sl-si,en-us,"1 E9 m","1 E+9 m"
sl-si,en-us,"1 pr. n. št.","1 BC"
sl-si,en-us,"1. A moška slovenska košarkarska liga","UPC Telemach League"
sl-si,en-us,"1. FC Kaiserslautern","1. FC Kaiserslautern"
sl-si,en-us,"1. Mojzesova knjiga",Genesis
sl-si,en-us,"1. april","April 1"
sl-si,en-us,"1. avgust","August 1"
sl-si,en-us,"1. december","December 1"
sl-si,en-us,"1. divizija","1st Division"
sl-si,en-us,"1. februar","February 1"
sl-si,en-us,"1. gorska divizija","1st Mountain Division"
sl-si,en-us,"1. hrvaška nogometna liga","Prva HNL"
sl-si,en-us,"1. januar","January 1"
sl-si,en-us,"1. julij","July 1"
sl-si,en-us,"1. junij","June 1"
sl-si,en-us,"1. konjeniška divizija","1st Cavalry Division"
sl-si,en-us,"1. maj","May 1"
sl-si,en-us,"1. marec","March 1"
sl-si,en-us,"1. marinska divizija","1st Marine Division"
sl-si,en-us,"1. november","November 1"
sl-si,en-us,"1. oklepna divizija","1st Armored Division"
sl-si,en-us,"1. oktober","October 1"
sl-si,en-us,"1. pehotna divizija","1st Infantry Division"
sl-si,en-us,"1. poljska armada","Polish First Army"
sl-si,en-us,"1. samostojna padalska brigada","Polish 1st Independent Parachute Brigade"
sl-si,en-us,"1. september","September 1"
sl-si,en-us,"1. slovenska nogometna liga","PrvaLiga Telekom Slovenije"
sl-si,en-us,"1. stoletje pr. n. št.","1st century BC"
sl-si,en-us,"1. stoletje","1st century"
sl-si,en-us,"1. tankovska divizija","1st Panzer Division"
sl-si,en-us,"1. tisočletje pr. n. št.","1st millennium BC"
sl-si,en-us,"1. tisočletje","1st millennium"
sl-si,en-us,"1. zavezniška zračnoprevozna armada","First Allied Airborne Army"
sl-si,en-us,"10 mm Auto","10 mm Auto"
sl-si,en-us,"10 pr. n. št.","10 BC"
sl-si,en-us,"10. april","April 10"
sl-si,en-us,"10. avgust","August 10"
sl-si,en-us,"10. december","December 10"
sl-si,en-us,"10. divizija","10th Division"
sl-si,en-us,"10. februar","February 10"
sl-si,en-us,"10. gorska divizija","10th Mountain Division"
sl-si,en-us,"10. januar","January 10"
sl-si,en-us,"10. julij","July 10"
sl-si,en-us,"10. junij","June 10"
sl-si,en-us,"10. maj","May 10"
sl-si,en-us,"10. marec","March 10"
sl-si,en-us,"10. november","November 10"
sl-si,en-us,"10. oktober","October 10"
sl-si,en-us,"10. pr. n. št.","10s BC"
sl-si,en-us,"10. september","September 10"
sl-si,en-us,"10. stoletje pr. n. št.","10th century BC"
sl-si,en-us,"10. stoletje","10th century"
sl-si,en-us,"10. tisočletje pr. n. št.","10th millennium BC"
sl-si,en-us,"100 pr. n. št.","100 BC"
sl-si,en-us,"100. pr. n. št.","100s BC"
sl-si,en-us,"1000 km Nürburgringa","1000 km Nürburgring"
sl-si,en-us,"1000 km Spaja","1000km Spa"
sl-si,en-us,"1000 pr. n. št.","1000 BC"
sl-si,en-us,"101 pr. n. št.","101 BC"
sl-si,en-us,"101. zračnoprevozna divizija","101st Airborne Division"
sl-si,en-us,"102 pr. n. št.","102 BC"
sl-si,en-us,"103 pr. n. št.","103 BC"
sl-si,en-us,"104 pr. n. št.","104 BC"
sl-si,en-us,"105 pr. n. št.","105 BC"
sl-si,en-us,"106 pr. n. št.","106 BC"
sl-si,en-us,"107 pr. n. št.","107 BC"
sl-si,en-us,"108 pr. n. št.","108 BC"
sl-si,en-us,"109 pr. n. št.","109 BC"
sl-si,en-us,"11 pr. n. št.","11 BC"
