sl-si,et-ee,"0. pr. n. št.","0. aastad eKr"
sl-si,et-ee,"1 Ceres",Ceres
sl-si,et-ee,"1 E-9 m",Nanomeeter
sl-si,et-ee,"1 pr. n. št.","1 eKr"
sl-si,et-ee,"1. Mojzesova knjiga","Esimene Moosese raamat"
sl-si,et-ee,"1. april","1. aprill"
sl-si,et-ee,"1. avgust","1. august"
sl-si,et-ee,"1. december","1. detsember"
sl-si,et-ee,"1. februar","1. veebruar"
sl-si,et-ee,"1. januar","1. jaanuar"
sl-si,et-ee,"1. julij","1. juuli"
sl-si,et-ee,"1. junij","1. juuni"
sl-si,et-ee,"1. maj","1. mai"
sl-si,et-ee,"1. marec","1. märts"
sl-si,et-ee,"1. november","1. november"
sl-si,et-ee,"1. oktober","1. oktoober"
sl-si,et-ee,"1. september","1. september"
sl-si,et-ee,"1. stoletje pr. n. št.","1. sajand eKr"
sl-si,et-ee,"1. stoletje","1. sajand"
sl-si,et-ee,"1. tisočletje pr. n. št.","1. aastatuhat eKr"
sl-si,et-ee,"1. tisočletje","1. aastatuhat"
sl-si,et-ee,"10 pr. n. št.","10 eKr"
sl-si,et-ee,"10. april","10. aprill"
sl-si,et-ee,"10. avgust","10. august"
sl-si,et-ee,"10. december","10. detsember"
sl-si,et-ee,"10. februar","10. veebruar"
sl-si,et-ee,"10. januar","10. jaanuar"
sl-si,et-ee,"10. julij","10. juuli"
sl-si,et-ee,"10. junij","10. juuni"
sl-si,et-ee,"10. maj","10. mai"
sl-si,et-ee,"10. marec","10. märts"
sl-si,et-ee,"10. november","10. november"
sl-si,et-ee,"10. oktober","10. oktoober"
sl-si,et-ee,"10. pr. n. št.","10. aastad eKr"
sl-si,et-ee,"10. september","10. september"
sl-si,et-ee,"10. stoletje pr. n. št.","900. aastad eKr"
sl-si,et-ee,"10. stoletje","10. sajand"
sl-si,et-ee,"100 pr. n. št.","100 eKr"
sl-si,et-ee,"100. pr. n. št.","2. sajand eKr"
sl-si,et-ee,"1000 pr. n. št.","1000 eKr"
sl-si,et-ee,"11 pr. n. št.","11 eKr"
sl-si,et-ee,"11. april","11. aprill"
sl-si,et-ee,"11. avgust","11. august"
sl-si,et-ee,"11. december","11. detsember"
sl-si,et-ee,"11. februar","11. veebruar"
sl-si,et-ee,"11. januar","11. jaanuar"
sl-si,et-ee,"11. julij","11. juuli"
sl-si,et-ee,"11. junij","11. juuni"
sl-si,et-ee,"11. maj","11. mai"
sl-si,et-ee,"11. marec","11. märts"
sl-si,et-ee,"11. november","11. november"
sl-si,et-ee,"11. oktober","11. oktoober"
sl-si,et-ee,"11. pr. n. št.","11. aastad eKr"
sl-si,et-ee,"11. september","11. september"
sl-si,et-ee,"11. stoletje","11. sajand"
sl-si,et-ee,"110. pr. n. št.","110. aastad eKr"
sl-si,et-ee,"12 pr. n. št.","12 eKr"
sl-si,et-ee,"12. april","12. aprill"
sl-si,et-ee,"12. avgust","12. august"
sl-si,et-ee,"12. december","12. detsember"
sl-si,et-ee,"12. februar","12. veebruar"
sl-si,et-ee,"12. januar","12. jaanuar"
sl-si,et-ee,"12. julij","12. juuli"
sl-si,et-ee,"12. junij","12. juuni"
sl-si,et-ee,"12. maj","12. mai"
