sr-rs,en-us,"""Откачени Ал"" Јанковић","""Weird Al"" Yankovic"
sr-rs,en-us,"""Фатална несрећа"" добио Оскара за најбољи филм","2006 Oscars handed out at Kodak Theatre"
sr-rs,en-us,"-архија",-archy
sr-rs,en-us,"-графија",-graphy
sr-rs,en-us,"1, 2, ципела се распала","One, Two, Buckle My Shoe"
sr-rs,en-us,"1. СС оклопна дивизија Лична гарда Адолфа Хитлера","1st SS Division Leibstandarte SS Adolf Hitler"
sr-rs,en-us,"1. Симфонија","Symphony No. 1"
sr-rs,en-us,"1. август","August 1"
sr-rs,en-us,"1. април","April 1"
sr-rs,en-us,"1. век","1st century"
sr-rs,en-us,"1. децембар","December 1"
sr-rs,en-us,"1. март","March 1"
sr-rs,en-us,"1. мај","May 1"
sr-rs,en-us,"1. новембар","November 1"
sr-rs,en-us,"1. октобар","October 1"
sr-rs,en-us,"1. п. н. е.","1 BC"
sr-rs,en-us,"1. периода хемијских елемената","Period 1 element"
sr-rs,en-us,"1. пне.","1 BC"
sr-rs,en-us,"1. септембар","September 1"
sr-rs,en-us,"1. фебруар","February 1"
sr-rs,en-us,"1. јануар","January 1"
sr-rs,en-us,"1. јул","July 1"
sr-rs,en-us,"1. јун","June 1"
sr-rs,en-us,"10. СС оклопна дивизија Фрундсберг","10th SS Panzer Division Frundsberg"
sr-rs,en-us,"10. август","August 10"
sr-rs,en-us,"10. април","April 10"
sr-rs,en-us,"10. век п. н. е.","10th century BC"
sr-rs,en-us,"10. век пне.","10th century BC"
sr-rs,en-us,"10. век","10th century"
sr-rs,en-us,"10. група хемијских елемената","Group 10 element"
sr-rs,en-us,"10. децембар","December 10"
sr-rs,en-us,"10. март","March 10"
sr-rs,en-us,"10. мај","May 10"
sr-rs,en-us,"10. миленијум п. н. е.","10th millennium BC"
sr-rs,en-us,"10. новембар","November 10"
sr-rs,en-us,"10. октобар","October 10"
sr-rs,en-us,"10. п. н. е.","10 BC"
sr-rs,en-us,"10. септембар","September 10"
sr-rs,en-us,"10. фебруар","February 10"
sr-rs,en-us,"10. јануар","January 10"
sr-rs,en-us,"10. јул","July 10"
sr-rs,en-us,"10. јун","June 10"
sr-rs,en-us,"100 година АФИ-ја... 100 звезда","AFI's 100 Years... 100 Stars"
sr-rs,en-us,"100 година АФИ-ја... 100 хероја и негативаца","AFI's 100 Years... 100 Heroes and Villains"
sr-rs,en-us,"100 година АФИ-ја... 100 љубавних прича","AFI's 100 Years... 100 Passions"
sr-rs,en-us,"100. век пне.","10th millennium BC"
sr-rs,en-us,"100. п. н. е.","100 BC"
sr-rs,en-us,"1000. п. н. е.","1000 BC"
sr-rs,en-us,"1000. пне.","1000 BC"
sr-rs,en-us,"101. СС тешки тенковски батаљон","101st SS Heavy Panzer Detachment"
sr-rs,en-us,"101. п. н. е.","101 BC"
sr-rs,en-us,"102. п. н. е.","102 BC"
sr-rs,en-us,"103. п. н. е.","103 BC"
sr-rs,en-us,"104. п. н. е.","104 BC"
sr-rs,en-us,"105. п. н. е.","105 BC"
sr-rs,en-us,"106. п. н. е.","106 BC"
sr-rs,en-us,"107. п. н. е.","107 BC"
sr-rs,en-us,"108. п. н. е.","108 BC"
sr-rs,en-us,"109. п. н. е.","109 BC"
sr-rs,en-us,"11. СС добровољачка панцергренадирска дивизија Северна земља","11th SS Volunteer Panzergrenadier Division Nordland"
sr-rs,en-us,"11. август","August 11"
sr-rs,en-us,"11. април","April 11"
sr-rs,en-us,"11. век п. н. е.","11th century BC"
sr-rs,en-us,"11. век","11th century"
sr-rs,en-us,"11. децембар","December 11"
sr-rs,en-us,"11. март","March 11"
sr-rs,en-us,"11. мај","May 11"
sr-rs,en-us,"11. новембар","November 11"
sr-rs,en-us,"11. октобар","October 11"
sr-rs,en-us,"11. п. н. е.","11 BC"
sr-rs,en-us,"11. септембар","September 11"
sr-rs,en-us,"11. фебруар","February 11"
sr-rs,en-us,"11. јануар","January 11"
sr-rs,en-us,"11. јул","July 11"
sr-rs,en-us,"11. јун","June 11"
sr-rs,en-us,"110. п. н. е.","110 BC"
sr-rs,en-us,"111. п. н. е.","111 BC"
sr-rs,en-us,"112. п. н. е.","112 BC"
sr-rs,en-us,"1120. п. н. е.","1120s BC"
sr-rs,en-us,"113. п. н. е.","113 BC"
sr-rs,en-us,"114. п. н. е.","114 BC"
sr-rs,en-us,"115. п. н. е.","115 BC"
sr-rs,en-us,"116. п. н. е.","116 BC"
sr-rs,en-us,"117. п. н. е.","117 BC"
sr-rs,en-us,"118. п. н. е.","118 BC"
