sr-rs,lt-lt,"1. август","Rugpjūčio 1"
sr-rs,lt-lt,"1. април","Balandžio 1"
sr-rs,lt-lt,"1. век","I amžius"
sr-rs,lt-lt,"1. децембар","Gruodžio 1"
sr-rs,lt-lt,"1. март","Kovo 1"
sr-rs,lt-lt,"1. мај","Gegužės 1"
sr-rs,lt-lt,"1. новембар","Lapkričio 1"
sr-rs,lt-lt,"1. октобар","Spalio 1"
sr-rs,lt-lt,"1. септембар","Rugsėjo 1"
sr-rs,lt-lt,"1. фебруар","Vasario 1"
sr-rs,lt-lt,"1. јануар","Sausio 1"
sr-rs,lt-lt,"1. јул","Liepos 1"
sr-rs,lt-lt,"1. јун","Birželio 1"
sr-rs,lt-lt,"10. август","Rugpjūčio 10"
sr-rs,lt-lt,"10. април","Balandžio 10"
sr-rs,lt-lt,"10. век","X amžius"
sr-rs,lt-lt,"10. децембар","Gruodžio 10"
sr-rs,lt-lt,"10. март","Kovo 10"
sr-rs,lt-lt,"10. мај","Gegužės 10"
sr-rs,lt-lt,"10. новембар","Lapkričio 10"
sr-rs,lt-lt,"10. октобар","Spalio 10"
sr-rs,lt-lt,"10. септембар","Rugsėjo 10"
sr-rs,lt-lt,"10. фебруар","Vasario 10"
sr-rs,lt-lt,"10. јануар","Sausio 10"
sr-rs,lt-lt,"10. јул","Liepos 10"
sr-rs,lt-lt,"10. јун","Birželio 10"
sr-rs,lt-lt,"11. август","Rugpjūčio 11"
sr-rs,lt-lt,"11. април","Balandžio 11"
sr-rs,lt-lt,"11. век п. н. е.","2 tūkstantmetis pr. m. e."
sr-rs,lt-lt,"11. век","XI amžius"
sr-rs,lt-lt,"11. децембар","Gruodžio 11"
sr-rs,lt-lt,"11. март","Kovo 11"
sr-rs,lt-lt,"11. мај","Gegužės 11"
sr-rs,lt-lt,"11. новембар","Lapkričio 11"
sr-rs,lt-lt,"11. октобар","Spalio 11"
sr-rs,lt-lt,"11. септембар","Rugsėjo 11"
sr-rs,lt-lt,"11. фебруар","Vasario 11"
sr-rs,lt-lt,"11. јануар","Sausio 11"
sr-rs,lt-lt,"11. јул","Liepos 11"
sr-rs,lt-lt,"11. јун","Birželio 11"
sr-rs,lt-lt,"12. август","Rugpjūčio 12"
sr-rs,lt-lt,"12. април","Balandžio 12"
sr-rs,lt-lt,"12. век","XII amžius"
sr-rs,lt-lt,"12. децембар","Gruodžio 12"
sr-rs,lt-lt,"12. март","Kovo 12"
sr-rs,lt-lt,"12. мај","Gegužės 12"
sr-rs,lt-lt,"12. новембар","Lapkričio 12"
sr-rs,lt-lt,"12. октобар","Spalio 12"
sr-rs,lt-lt,"12. септембар","Rugsėjo 12"
sr-rs,lt-lt,"12. фебруар","Vasario 12"
sr-rs,lt-lt,"12. јануар","Sausio 12"
sr-rs,lt-lt,"12. јул","Liepos 12"
sr-rs,lt-lt,"12. јун","Birželio 12"
sr-rs,lt-lt,"13. август","Rugpjūčio 13"
sr-rs,lt-lt,"13. април","Balandžio 13"
sr-rs,lt-lt,"13. век","XIII amžius"
sr-rs,lt-lt,"13. децембар","Gruodžio 13"
sr-rs,lt-lt,"13. март","Kovo 13"
sr-rs,lt-lt,"13. мај","Gegužės 13"
sr-rs,lt-lt,"13. новембар","Lapkričio 13"
sr-rs,lt-lt,"13. октобар","Spalio 13"
sr-rs,lt-lt,"13. септембар","Rugsėjo 13"
sr-rs,lt-lt,"13. фебруар","Vasario 13"
sr-rs,lt-lt,"13. јануар","Sausio 13"
sr-rs,lt-lt,"13. јул","Liepos 13"
sr-rs,lt-lt,"13. јун","Birželio 13"
sr-rs,lt-lt,"14. август","Rugpjūčio 14"
sr-rs,lt-lt,"14. април","Balandžio 14"
sr-rs,lt-lt,"14. век","XIV amžius"
sr-rs,lt-lt,"14. децембар","Gruodžio 14"
sr-rs,lt-lt,"14. март","Kovo 14"
sr-rs,lt-lt,"14. мај","Gegužės 14"
sr-rs,lt-lt,"14. новембар","Lapkričio 14"
sr-rs,lt-lt,"14. октобар","Spalio 14"
sr-rs,lt-lt,"14. септембар","Rugsėjo 14"
sr-rs,lt-lt,"14. фебруар","Vasario 14"
sr-rs,lt-lt,"14. јануар","Sausio 14"
sr-rs,lt-lt,"14. јул","Liepos 14"
sr-rs,lt-lt,"14. јун","Birželio 14"
sr-rs,lt-lt,"15. СС гренадирска дивизија","15-oji SS karo grenadierių divizija"
sr-rs,lt-lt,"15. август","Rugpjūčio 15"
sr-rs,lt-lt,"15. април","Balandžio 15"
sr-rs,lt-lt,"15. век","XV amžius"
sr-rs,lt-lt,"15. децембар","Gruodžio 15"
sr-rs,lt-lt,"15. март","Kovo 15"
sr-rs,lt-lt,"15. мај","Gegužės 15"
sr-rs,lt-lt,"15. новембар","Lapkričio 15"
sr-rs,lt-lt,"15. октобар","Spalio 15"
sr-rs,lt-lt,"15. септембар","Rugsėjo 15"
sr-rs,lt-lt,"15. фебруар","Vasario 15"
sr-rs,lt-lt,"15. јануар","Sausio 15"
sr-rs,lt-lt,"15. јул","Liepos 15"
sr-rs,lt-lt,"15. јун","Birželio 15"
sr-rs,lt-lt,"16. август","Rugpjūčio 16"
