sr-rs,pt-pt,"""Откачени Ал"" Јанковић","""Weird Al"" Yankovic"
sr-rs,pt-pt,"1, 2, ципела се распала","One, Two, Buckle My Shoe"
sr-rs,pt-pt,"1. СС оклопна дивизија Лична гарда Адолфа Хитлера","Leibstandarte SS Adolf Hitler"
sr-rs,pt-pt,"1. Симфонија","Sinfonia No. 1"
sr-rs,pt-pt,"1. август","1 de Agosto"
sr-rs,pt-pt,"1. април","1 de Abril"
sr-rs,pt-pt,"1. век","Século I"
sr-rs,pt-pt,"1. децембар","1 de Dezembro"
sr-rs,pt-pt,"1. март","1 de Março"
sr-rs,pt-pt,"1. мај","1 de Maio"
sr-rs,pt-pt,"1. новембар","1 de Novembro"
sr-rs,pt-pt,"1. октобар","1 de Outubro"
sr-rs,pt-pt,"1. п. н. е.","1 a.C."
sr-rs,pt-pt,"1. пне.","1 a.C."
sr-rs,pt-pt,"1. септембар","1 de Setembro"
sr-rs,pt-pt,"1. фебруар","1 de Fevereiro"
sr-rs,pt-pt,"1. јануар","1 de Janeiro"
sr-rs,pt-pt,"1. јул","1 de Julho"
sr-rs,pt-pt,"1. јун","1 de Junho"
sr-rs,pt-pt,"10. август","10 de Agosto"
sr-rs,pt-pt,"10. април","10 de Abril"
sr-rs,pt-pt,"10. век п. н. е.","Século X a.C."
sr-rs,pt-pt,"10. век пне.","Século X a.C."
sr-rs,pt-pt,"10. век","Século X"
sr-rs,pt-pt,"10. децембар","10 de Dezembro"
sr-rs,pt-pt,"10. март","10 de Março"
sr-rs,pt-pt,"10. мај","10 de Maio"
sr-rs,pt-pt,"10. миленијум п. н. е.","Décimo milénio a.C."
sr-rs,pt-pt,"10. новембар","10 de Novembro"
sr-rs,pt-pt,"10. октобар","10 de Outubro"
sr-rs,pt-pt,"10. п. н. е.","10 a.C."
sr-rs,pt-pt,"10. септембар","10 de Setembro"
sr-rs,pt-pt,"10. фебруар","10 de Fevereiro"
sr-rs,pt-pt,"10. јануар","10 de Janeiro"
sr-rs,pt-pt,"10. јул","10 de Julho"
sr-rs,pt-pt,"10. јун","10 de Junho"
sr-rs,pt-pt,"100 година АФИ-ја... 100 звезда","Lista do AFI das 50 maiores lendas do cinema"
sr-rs,pt-pt,"100. век пне.","Décimo milénio a.C."
sr-rs,pt-pt,"100. п. н. е.","100 a.C."
sr-rs,pt-pt,"1000. п. н. е.","1000 a.C."
sr-rs,pt-pt,"1000. пне.","1000 a.C."
sr-rs,pt-pt,"101. п. н. е.","101 a.C."
sr-rs,pt-pt,"102. п. н. е.","102 a.C."
sr-rs,pt-pt,"103. п. н. е.","103 a.C."
sr-rs,pt-pt,"104. п. н. е.","104 a.C."
sr-rs,pt-pt,"105. п. н. е.","105 a.C."
sr-rs,pt-pt,"106. п. н. е.","106 a.C."
sr-rs,pt-pt,"107. п. н. е.","107 a.C."
sr-rs,pt-pt,"108. п. н. е.","108 a.C."
sr-rs,pt-pt,"109. п. н. е.","109 a.C."
sr-rs,pt-pt,"11. август","11 de Agosto"
sr-rs,pt-pt,"11. април","11 de Abril"
sr-rs,pt-pt,"11. век п. н. е.","Século XI a.C."
sr-rs,pt-pt,"11. век","Século XI"
sr-rs,pt-pt,"11. децембар","11 de Dezembro"
sr-rs,pt-pt,"11. март","11 de Março"
sr-rs,pt-pt,"11. мај","11 de Maio"
sr-rs,pt-pt,"11. новембар","11 de Novembro"
sr-rs,pt-pt,"11. октобар","11 de Outubro"
sr-rs,pt-pt,"11. п. н. е.","11 a.C."
sr-rs,pt-pt,"11. септембар","11 de Setembro"
sr-rs,pt-pt,"11. фебруар","11 de Fevereiro"
sr-rs,pt-pt,"11. јануар","11 de Janeiro"
sr-rs,pt-pt,"11. јул","11 de Julho"
sr-rs,pt-pt,"11. јун","11 de Junho"
sr-rs,pt-pt,"110. п. н. е.","110 a.C."
sr-rs,pt-pt,"111. п. н. е.","111 a.C."
sr-rs,pt-pt,"112. п. н. е.","112 a.C."
sr-rs,pt-pt,"113. п. н. е.","113 a.C."
sr-rs,pt-pt,"114. п. н. е.","114 a.C."
sr-rs,pt-pt,"115. п. н. е.","115 a.C."
sr-rs,pt-pt,"116. п. н. е.","116 a.C."
sr-rs,pt-pt,"117. п. н. е.","117 a.C."
sr-rs,pt-pt,"118. п. н. е.","118 a.C."
sr-rs,pt-pt,"119. п. н. е.","119 a.C."
sr-rs,pt-pt,"12. август","12 de Agosto"
sr-rs,pt-pt,"12. април","12 de Abril"
sr-rs,pt-pt,"12. век","Século XII"
sr-rs,pt-pt,"12. група хемијских елемената","Grupo 12"
sr-rs,pt-pt,"12. децембар","12 de Dezembro"
sr-rs,pt-pt,"12. март","12 de Março"
sr-rs,pt-pt,"12. мај","12 de Maio"
sr-rs,pt-pt,"12. новембар","12 de Novembro"
sr-rs,pt-pt,"12. октобар","12 de Outubro"
sr-rs,pt-pt,"12. п. н. е.","12 a.C."
sr-rs,pt-pt,"12. септембар","12 de Setembro"
sr-rs,pt-pt,"12. фебруар","12 de Fevereiro"
sr-rs,pt-pt,"12. јануар","12 de Janeiro"
sr-rs,pt-pt,"12. јул","12 de Julho"
sr-rs,pt-pt,"12. јун","12 de Junho"
sr-rs,pt-pt,"120. п. н. е.","120 a.C."
sr-rs,pt-pt,"1200. пне.","1200 a.C."
sr-rs,pt-pt,"121. п. н. е.","121 a.C."
sr-rs,pt-pt,"122. п. н. е.","122 a.C."
sr-rs,pt-pt,"123. п. н. е.","123 a.C."
sr-rs,pt-pt,"124. п. н. е.","124 a.C."
sr-rs,pt-pt,"125. п. н. е.","125 a.C."
sr-rs,pt-pt,"126. п. н. е.","126 a.C."
sr-rs,pt-pt,"127. п. н. е.","127 a.C."
sr-rs,pt-pt,"128. п. н. е.","128 a.C."
sr-rs,pt-pt,"129. п. н. е.","129 a.C."
sr-rs,pt-pt,"13. август","13 de Agosto"
sr-rs,pt-pt,"13. април","13 de Abril"
sr-rs,pt-pt,"13. век","Século XIII"
sr-rs,pt-pt,"13. група хемијских елемената","Grupo do boro"
sr-rs,pt-pt,"13. децембар","13 de Dezembro"
sr-rs,pt-pt,"13. март","13 de Março"
sr-rs,pt-pt,"13. мај","13 de Maio"
sr-rs,pt-pt,"13. новембар","13 de Novembro"
sr-rs,pt-pt,"13. октобар","13 de Outubro"
sr-rs,pt-pt,"13. п. н. е.","13 a.C."
sr-rs,pt-pt,"13. септембар","13 de Setembro"
sr-rs,pt-pt,"13. фебруар","13 de Fevereiro"
sr-rs,pt-pt,"13. јануар","13 de Janeiro"
sr-rs,pt-pt,"13. јул","13 de Julho"
sr-rs,pt-pt,"13. јун","13 de Junho"
sr-rs,pt-pt,"130. п. н. е.","130 a.C."
sr-rs,pt-pt,"131. п. н. е.","131 a.C."
sr-rs,pt-pt,"132. п. н. е.","132 a.C."
sr-rs,pt-pt,"133. п. н. е.","133 a.C."
sr-rs,pt-pt,"134. п. н. е.","134 a.C."
sr-rs,pt-pt,"135. п. н. е.","135 a.C."
sr-rs,pt-pt,"136. п. н. е.","136 a.C."
sr-rs,pt-pt,"137. п. н. е.","137 a.C."
sr-rs,pt-pt,"138. п. н. е.","138 a.C."
sr-rs,pt-pt,"139. п. н. е.","139 a.C."
sr-rs,pt-pt,"14. август","14 de Agosto"
sr-rs,pt-pt,"14. април","14 de Abril"
sr-rs,pt-pt,"14. век п. н. е.","Século XIV a.C."
sr-rs,pt-pt,"14. век","Século XIV"
sr-rs,pt-pt,"14. група хемијских елемената","Grupo do carbono"
sr-rs,pt-pt,"14. децембар","14 de Dezembro"
sr-rs,pt-pt,"14. март","14 de Março"
sr-rs,pt-pt,"14. мај","14 de Maio"
sr-rs,pt-pt,"14. новембар","14 de Novembro"
sr-rs,pt-pt,"14. октобар","14 de Outubro"
sr-rs,pt-pt,"14. п. н. е.","14 a.C."
sr-rs,pt-pt,"14. септембар","14 de Setembro"
sr-rs,pt-pt,"14. фебруар","14 de Fevereiro"
sr-rs,pt-pt,"14. јануар","14 de Janeiro"
sr-rs,pt-pt,"14. јул","14 de Julho"
sr-rs,pt-pt,"14. јун","14 de Junho"
sr-rs,pt-pt,"140. п. н. е.","140 a.C."
sr-rs,pt-pt,"141. п. н. е.","141 a.C."
sr-rs,pt-pt,"142. п. н. е.","142 a.C."
sr-rs,pt-pt,"143. п. н. е.","143 a.C."
sr-rs,pt-pt,"144. п. н. е.","144 a.C."
sr-rs,pt-pt,"145. п. н. е.","145 a.C."
sr-rs,pt-pt,"146. п. н. е.","146 a.C."
sr-rs,pt-pt,"147. п. н. е.","147 a.C."
sr-rs,pt-pt,"1476. пне.","1479 a.C."
sr-rs,pt-pt,"148. п. н. е.","148 a.C."
sr-rs,pt-pt,"149. п. н. е.","149 a.C."
sr-rs,pt-pt,"15. август","15 de Agosto"
sr-rs,pt-pt,"15. април","15 de Abril"
sr-rs,pt-pt,"15. век п. н. е.","Século XV a.C."
sr-rs,pt-pt,"15. век","Século XV"
sr-rs,pt-pt,"15. група хемијских елемената","Grupo do nitrogênio"
sr-rs,pt-pt,"15. децембар","15 de Dezembro"
sr-rs,pt-pt,"15. март","15 de Março"
sr-rs,pt-pt,"15. мај","15 de Maio"
sr-rs,pt-pt,"15. новембар","15 de Novembro"
sr-rs,pt-pt,"15. октобар","15 de Outubro"
sr-rs,pt-pt,"15. п. н. е.","15 a.C."
sr-rs,pt-pt,"15. септембар","15 de Setembro"
sr-rs,pt-pt,"15. фебруар","15 de Fevereiro"
sr-rs,pt-pt,"15. јануар","15 de Janeiro"
sr-rs,pt-pt,"15. јул","15 de Julho"
sr-rs,pt-pt,"15. јун","15 de Junho"
sr-rs,pt-pt,"150. п. н. е.","150 a.C."
sr-rs,pt-pt,"1500. пне.","1500 a.C."
sr-rs,pt-pt,"151. п. н. е.","151 a.C."
sr-rs,pt-pt,"1517 Београд","1517 Beograd"
sr-rs,pt-pt,"152. п. н. е.","152 a.C."
sr-rs,pt-pt,"153. п. н. е.","153 a.C."
sr-rs,pt-pt,"154. п. н. е.","154 a.C."
sr-rs,pt-pt,"155. п. н. е.","155 a.C."
sr-rs,pt-pt,"1550 Тито","1550 Tito"
sr-rs,pt-pt,"1554 Југославија","1554 Yugoslavia"
sr-rs,pt-pt,"156. п. н. е.","156 a.C."
sr-rs,pt-pt,"1564 Србија","1564 Srbija"
sr-rs,pt-pt,"157. п. н. е.","157 a.C."
sr-rs,pt-pt,"158. п. н. е.","158 a.C."
sr-rs,pt-pt,"159. п. н. е.","159 a.C."
sr-rs,pt-pt,"16. август","16 de Agosto"
sr-rs,pt-pt,"16. април","16 de Abril"
sr-rs,pt-pt,"16. век п. н. е.","Século XVI a.C."
sr-rs,pt-pt,"16. век пне.","Século XVI a.C."
sr-rs,pt-pt,"16. век","Século XVI"
sr-rs,pt-pt,"16. група хемијских елемената",Calcogênio
sr-rs,pt-pt,"16. децембар","16 de Dezembro"
sr-rs,pt-pt,"16. март","16 de Março"
sr-rs,pt-pt,"16. мај","16 de Maio"
sr-rs,pt-pt,"16. новембар","16 de Novembro"
sr-rs,pt-pt,"16. октобар","16 de Outubro"
sr-rs,pt-pt,"16. п. н. е.","16 a.C."
sr-rs,pt-pt,"16. септембар","16 de Setembro"
sr-rs,pt-pt,"16. фебруар","16 de Fevereiro"
sr-rs,pt-pt,"16. јануар","16 de Janeiro"
sr-rs,pt-pt,"16. јул","16 de Julho"
sr-rs,pt-pt,"16. јун","16 de Junho"
sr-rs,pt-pt,"160. п. н. е.","160 a.C."
sr-rs,pt-pt,"161. п. н. е.","161 a.C."
sr-rs,pt-pt,"162. п. н. е.","162 a.C."
sr-rs,pt-pt,"163. п. н. е.","163 a.C."
sr-rs,pt-pt,"164. п. н. е.","164 a.C."
sr-rs,pt-pt,"165. п. н. е.","165 a.C."
sr-rs,pt-pt,"166. п. н. е.","166 a.C."
sr-rs,pt-pt,"167. п. н. е.","167 a.C."
sr-rs,pt-pt,"168. п. н. е.","168 a.C."
sr-rs,pt-pt,"169. п. н. е.","169 a.C."
sr-rs,pt-pt,"17. август","17 de Agosto"
sr-rs,pt-pt,"17. април","17 de Abril"
sr-rs,pt-pt,"17. век п. н. е.","Século XVII a.C."
sr-rs,pt-pt,"17. век","Século XVII"
sr-rs,pt-pt,"17. децембар","17 de Dezembro"
sr-rs,pt-pt,"17. март","17 de Março"
sr-rs,pt-pt,"17. мај","17 de Maio"
sr-rs,pt-pt,"17. новембар","17 de Novembro"
sr-rs,pt-pt,"17. октобар","17 de Outubro"
sr-rs,pt-pt,"17. п. н. е.","17 a.C."
sr-rs,pt-pt,"17. септембар","17 de Setembro"
sr-rs,pt-pt,"17. фебруар","17 de Fevereiro"
sr-rs,pt-pt,"17. јануар","17 de Janeiro"
sr-rs,pt-pt,"17. јул","17 de Julho"
sr-rs,pt-pt,"17. јун","17 de Junho"
sr-rs,pt-pt,"170. п. н. е.","170 a.C."
sr-rs,pt-pt,"171. п. н. е.","171 a.C."
sr-rs,pt-pt,"1713. пне.","Década de 1780 a.C."
sr-rs,pt-pt,"172. п. н. е.","172 a.C."
sr-rs,pt-pt,"173. п. н. е.","173 a.C."
sr-rs,pt-pt,"174. п. н. е.","174 a.C."
sr-rs,pt-pt,"175. п. н. е.","175 a.C."
sr-rs,pt-pt,"176. п. н. е.","176 a.C."
sr-rs,pt-pt,"177. п. н. е.","177 a.C."
sr-rs,pt-pt,"178. п. н. е.","178 a.C."
sr-rs,pt-pt,"179. п. н. е.","179 a.C."
sr-rs,pt-pt,"18. август","18 de Agosto"
sr-rs,pt-pt,"18. април","18 de Abril"
sr-rs,pt-pt,"18. век п. н. е.","Século XVIII a.C."
sr-rs,pt-pt,"18. век пне.","Século XVIII a.C."
sr-rs,pt-pt,"18. век","Século XVIII"
sr-rs,pt-pt,"18. децембар","18 de Dezembro"
sr-rs,pt-pt,"18. март","18 de Março"
sr-rs,pt-pt,"18. мај","18 de Maio"
sr-rs,pt-pt,"18. новембар","18 de Novembro"
sr-rs,pt-pt,"18. октобар","18 de Outubro"
sr-rs,pt-pt,"18. п. н. е.","18 a.C."
sr-rs,pt-pt,"18. септембар","18 de Setembro"
sr-rs,pt-pt,"18. фебруар","18 de Fevereiro"
sr-rs,pt-pt,"18. јануар","18 de Janeiro"
sr-rs,pt-pt,"18. јул","18 de Julho"
sr-rs,pt-pt,"18. јун","18 de Junho"
sr-rs,pt-pt,"180. меридијан",Antimeridiano
sr-rs,pt-pt,"180. п. н. е.","180 a.C."
sr-rs,pt-pt,"1801. пне.","Década de 1840 a.C."
sr-rs,pt-pt,"181. п. н. е.","181 a.C."
sr-rs,pt-pt,"182. п. н. е.","182 a.C."
sr-rs,pt-pt,"183. п. н. е.","183 a.C."
sr-rs,pt-pt,"184. п. н. е.","184 a.C."
sr-rs,pt-pt,"185. п. н. е.","185 a.C."
