sv-se,sk-sk,"...And Justice for All","...And Justice for All"
sv-se,sk-sk,"0-talet f.Kr.","0. roky 1. storočia pred Kr."
sv-se,sk-sk,"00-talet f.Kr.","0. roky 1. storočia pred Kr."
sv-se,sk-sk,"000-talet f.Kr.","1. storočie pred Kr."
sv-se,sk-sk,"1 Ceres","1 Ceres"
sv-se,sk-sk,"1 april","1. apríl"
sv-se,sk-sk,"1 augusti","1. august"
sv-se,sk-sk,"1 december","1. december"
sv-se,sk-sk,"1 f.Kr.","1 pred Kr."
sv-se,sk-sk,"1 februari","1. február"
sv-se,sk-sk,"1 januari","1. január"
sv-se,sk-sk,"1 juli","1. júl"
sv-se,sk-sk,"1 juni","1. jún"
sv-se,sk-sk,"1 maj","1. máj"
sv-se,sk-sk,"1 mars","1. marec"
sv-se,sk-sk,"1 november","1. november"
sv-se,sk-sk,"1 oktober","1. október"
sv-se,sk-sk,"1 september","1. september"
sv-se,sk-sk,"1. FC Nürnberg","1. FC Norimberg"
sv-se,sk-sk,"10 Hygiea","10 Hygiea"
sv-se,sk-sk,"10 april","10. apríl"
sv-se,sk-sk,"10 augusti","10. august"
sv-se,sk-sk,"10 december","10. december"
sv-se,sk-sk,"10 f.Kr.","10 pred Kr."
sv-se,sk-sk,"10 februari","10. február"
sv-se,sk-sk,"10 januari","10. január"
sv-se,sk-sk,"10 juli","10. júl"
sv-se,sk-sk,"10 juni","10. jún"
sv-se,sk-sk,"10 maj","10. máj"
sv-se,sk-sk,"10 mars","10. marec"
sv-se,sk-sk,"10 november","10. november"
sv-se,sk-sk,"10 oktober","10. október"
sv-se,sk-sk,"10 september","10. september"
sv-se,sk-sk,"10-talet f.Kr.","10. roky 1. storočia pred Kr."
sv-se,sk-sk,"100 Hekate","100 Hekate"
sv-se,sk-sk,"100 f.Kr.","100 pred Kr."
sv-se,sk-sk,"100-talet f.Kr.","2. storočie pred Kr."
sv-se,sk-sk,"1000 f.Kr.","1000 pred Kr."
sv-se,sk-sk,"1000-talet f.Kr.","11. storočie pred Kr."
sv-se,sk-sk,"101 Helena","101 Helena"
sv-se,sk-sk,"101 f.Kr.","101 pred Kr."
sv-se,sk-sk,"102 Miriam","102 Miriam"
sv-se,sk-sk,"102 f.Kr.","102 pred Kr."
sv-se,sk-sk,"103 Hera","103 Hera"
sv-se,sk-sk,"103 f.Kr.","103 pred Kr."
sv-se,sk-sk,"104 Klymene","104 Klymene"
sv-se,sk-sk,"104 f.Kr.","104 pred Kr."
sv-se,sk-sk,"105 Artemis","105 Artemis"
sv-se,sk-sk,"105 f.Kr.","105 pred Kr."
sv-se,sk-sk,"106 Dione","106 Dione"
sv-se,sk-sk,"106 f.Kr.","106 pred Kr."
sv-se,sk-sk,"107 Camilla","107 Camilla"
sv-se,sk-sk,"107 f.Kr.","107 pred Kr."
sv-se,sk-sk,"108 Hecuba","108 Hecuba"
sv-se,sk-sk,"108 f.Kr.","108 pred Kr."
sv-se,sk-sk,"109 Felicitas","109 Felicitas"
sv-se,sk-sk,"109 f.Kr.","109 pred Kr."
sv-se,sk-sk,"11 Parthenope","11 Parthenope"
sv-se,sk-sk,"11 april","11. apríl"
sv-se,sk-sk,"11 augusti","11. august"
sv-se,sk-sk,"11 december","11. december"
sv-se,sk-sk,"11 f.Kr.","11 pred Kr."
sv-se,sk-sk,"11 februari","11. február"
sv-se,sk-sk,"11 januari","11. január"
sv-se,sk-sk,"11 juli","11. júl"
sv-se,sk-sk,"11 juni","11. jún"
sv-se,sk-sk,"11 maj","11. máj"
sv-se,sk-sk,"11 mars","11. marec"
sv-se,sk-sk,"11 november","11. november"
sv-se,sk-sk,"11 oktober","11. október"
sv-se,sk-sk,"11 september","11. september"
sv-se,sk-sk,"11 september-attackerna","Útoky z 11. septembra 2001"
sv-se,sk-sk,"11-talet f.Kr.","11. roky 1. storočia pred Kr."
sv-se,sk-sk,"110 Lydia","110 Lydia"
sv-se,sk-sk,"110 f.Kr.","110 pred Kr."
sv-se,sk-sk,"110-talet f.Kr.","10. roky 2. storočia pred Kr."
sv-se,sk-sk,"1100-talet f.Kr.","12. storočie pred Kr."
sv-se,sk-sk,"110393 Rammstein",Rammstein
sv-se,sk-sk,"111 Ate","111 Ate"
sv-se,sk-sk,"111 f.Kr.","111 pred Kr."
sv-se,sk-sk,"112 Iphigenia","112 Iphigenia"
sv-se,sk-sk,"112 f.Kr.","112 pred Kr."
sv-se,sk-sk,"113 Amalthea","113 Amalthea"
sv-se,sk-sk,"113 f.Kr.","113 pred Kr."
sv-se,sk-sk,"114 Kassandra","114 Kassandra"
sv-se,sk-sk,"114 f.Kr.","114 pred Kr."
sv-se,sk-sk,"115 Thyra","115 Thyra"
sv-se,sk-sk,"115 f.Kr.","115 pred Kr."
sv-se,sk-sk,"116 f.Kr.","116 pred Kr."
sv-se,sk-sk,"117 f.Kr.","117 pred Kr."
sv-se,sk-sk,"118 f.Kr.","118 pred Kr."
sv-se,sk-sk,"119 f.Kr.","119 pred Kr."
sv-se,sk-sk,"12 Victoria","12 Victoria"
sv-se,sk-sk,"12 april","12. apríl"
sv-se,sk-sk,"12 augusti","12. august"
sv-se,sk-sk,"12 december","12. december"
sv-se,sk-sk,"12 f.Kr.","12 pred Kr."
sv-se,sk-sk,"12 februari","12. február"
sv-se,sk-sk,"12 januari","12. január"
sv-se,sk-sk,"12 juli","12. júl"
sv-se,sk-sk,"12 juni","12. jún"
sv-se,sk-sk,"12 maj","12. máj"
sv-se,sk-sk,"12 mars","12. marec"
sv-se,sk-sk,"12 november","12. november"
sv-se,sk-sk,"12 oktober","12. október"
sv-se,sk-sk,"12 september","12. september"
sv-se,sk-sk,"12-talet f.Kr.","12. roky 1. storočia pred Kr."
sv-se,sk-sk,"120 f.Kr.","120 pred Kr."
sv-se,sk-sk,"120-talet f.Kr.","20. roky 2. storočia pred Kr."
sv-se,sk-sk,"1200 f.Kr.","1200 pred Kr."
sv-se,sk-sk,"1200-talet f.Kr.","13. storočie pred Kr."
sv-se,sk-sk,"121 f.Kr.","121 pred Kr."
sv-se,sk-sk,"122 f.Kr.","122 pred Kr."
sv-se,sk-sk,"123 f.Kr.","123 pred Kr."
sv-se,sk-sk,"124 f.Kr.","124 pred Kr."
sv-se,sk-sk,"125 f.Kr.","125 pred Kr."
sv-se,sk-sk,"126 f.Kr.","126 pred Kr."
sv-se,sk-sk,"127 f.Kr.","127 pred Kr."
sv-se,sk-sk,"128 f.Kr.","128 pred Kr."
sv-se,sk-sk,"129 f.Kr.","129 pred Kr."
sv-se,sk-sk,"13 Egeria","13 Egeria"
sv-se,sk-sk,"13 april","13. apríl"
sv-se,sk-sk,"13 augusti","13. august"
sv-se,sk-sk,"13 december","13. december"
sv-se,sk-sk,"13 f.Kr.","13 pred Kr."
sv-se,sk-sk,"13 februari","13. február"
sv-se,sk-sk,"13 januari","13. január"
sv-se,sk-sk,"13 juli","13. júl"
sv-se,sk-sk,"13 juni","13. jún"
sv-se,sk-sk,"13 maj","13. máj"
sv-se,sk-sk,"13 mars","13. marec"
sv-se,sk-sk,"13 november","13. november"
sv-se,sk-sk,"13 oktober","13. október"
sv-se,sk-sk,"13 september","13. september"
sv-se,sk-sk,"13-talet f.Kr.","13. roky 1. storočia pred Kr."
sv-se,sk-sk,"130 f.Kr.","130 pred Kr."
sv-se,sk-sk,"130-talet f.Kr.","30. roky 2. storočia pred Kr."
sv-se,sk-sk,"1300-talet f.Kr.","14. storočie pred Kr."
sv-se,sk-sk,"131 f.Kr.","131 pred Kr."
sv-se,sk-sk,"132 f.Kr.","132 pred Kr."
sv-se,sk-sk,"133 f.Kr.","133 pred Kr."
sv-se,sk-sk,"134 f.Kr.","134 pred Kr."
sv-se,sk-sk,"135 f.Kr.","135 pred Kr."
sv-se,sk-sk,"136 f.Kr.","136 pred Kr."
sv-se,sk-sk,"136199 Eris","136199 Eris"
sv-se,sk-sk,"137 f.Kr.","137 pred Kr."
sv-se,sk-sk,"138 f.Kr.","138 pred Kr."
sv-se,sk-sk,"139 f.Kr.","139 pred Kr."
sv-se,sk-sk,"14 Herculis","14 Herculis"
sv-se,sk-sk,"14 Irene","14 Irene"
sv-se,sk-sk,"14 april","14. apríl"
sv-se,sk-sk,"14 augusti","14. august"
sv-se,sk-sk,"14 december","14. december"
sv-se,sk-sk,"14 f.Kr.","14 pred Kr."
sv-se,sk-sk,"14 februari","14. február"
sv-se,sk-sk,"14 januari","14. január"
sv-se,sk-sk,"14 juli","14. júl"
sv-se,sk-sk,"14 juni","14. jún"
sv-se,sk-sk,"14 maj","14. máj"
sv-se,sk-sk,"14 mars","14. marec"
sv-se,sk-sk,"14 november","14. november"
sv-se,sk-sk,"14 oktober","14. október"
sv-se,sk-sk,"14 september","14. september"
sv-se,sk-sk,"14-talet f.Kr.","14. roky 1. storočia pred Kr."
sv-se,sk-sk,"140 f.Kr.","140 pred Kr."
sv-se,sk-sk,"140-talet f.Kr.","40. roky 2. storočia pred Kr."
sv-se,sk-sk,"1400-talet f.Kr.","15. storočie pred Kr."
sv-se,sk-sk,"141 f.Kr.","141 pred Kr."
sv-se,sk-sk,"142 f.Kr.","142 pred Kr."
sv-se,sk-sk,"143 f.Kr.","143 pred Kr."
sv-se,sk-sk,"144 f.Kr.","144 pred Kr."
sv-se,sk-sk,"145 f.Kr.","145 pred Kr."
sv-se,sk-sk,"146 f.Kr.","146 pred Kr."
sv-se,sk-sk,"147 f.Kr.","147 pred Kr."
sv-se,sk-sk,"148 f.Kr.","148 pred Kr."
sv-se,sk-sk,"149 f.Kr.","149 pred Kr."
sv-se,sk-sk,"15 Eunomia","15 Eunomia"
sv-se,sk-sk,"15 april","15. apríl"
sv-se,sk-sk,"15 augusti","15. august"
sv-se,sk-sk,"15 december","15. december"
sv-se,sk-sk,"15 f.Kr.","15 pred Kr."
sv-se,sk-sk,"15 februari","15. február"
sv-se,sk-sk,"15 januari","15. január"
sv-se,sk-sk,"15 juli","15. júl"
sv-se,sk-sk,"15 juni","15. jún"
sv-se,sk-sk,"15 maj","15. máj"
sv-se,sk-sk,"15 mars","15. marec"
sv-se,sk-sk,"15 november","15. november"
sv-se,sk-sk,"15 oktober","15. október"
sv-se,sk-sk,"15 september","15. september"
sv-se,sk-sk,"15-talet f.Kr.","15. roky 1. storočia pred Kr."
sv-se,sk-sk,"150 f.Kr.","150 pred Kr."
sv-se,sk-sk,"150-talet f.Kr.","50. roky 2. storočia pred Kr."
sv-se,sk-sk,"1500-talet f.Kr.","16. storočie pred Kr."
sv-se,sk-sk,"151 f.Kr.","151 pred Kr."
sv-se,sk-sk,"152 f.Kr.","152 pred Kr."
sv-se,sk-sk,"153 f.Kr.","153 pred Kr."
sv-se,sk-sk,"154 f.Kr.","154 pred Kr."
sv-se,sk-sk,"155 f.Kr.","155 pred Kr."
sv-se,sk-sk,"156 f.Kr.","156 pred Kr."
sv-se,sk-sk,"157 f.Kr.","157 pred Kr."
sv-se,sk-sk,"158 f.Kr.","158 pred Kr."
sv-se,sk-sk,"159 f.Kr.","159 pred Kr."
sv-se,sk-sk,"16 Psyche","16 Psyche"
sv-se,sk-sk,"16 april","16. apríl"
sv-se,sk-sk,"16 augusti","16. august"
sv-se,sk-sk,"16 december","16. december"
sv-se,sk-sk,"16 f.Kr.","16 pred Kr."
sv-se,sk-sk,"16 februari","16. február"
sv-se,sk-sk,"16 januari","16. január"
sv-se,sk-sk,"16 juli","16. júl"
sv-se,sk-sk,"16 juni","16. jún"
sv-se,sk-sk,"16 maj","16. máj"
sv-se,sk-sk,"16 mars","16. marec"
sv-se,sk-sk,"16 november","16. november"
sv-se,sk-sk,"16 oktober","16. október"
sv-se,sk-sk,"16 september","16. september"
sv-se,sk-sk,"16-talet f.Kr.","16. roky 1. storočia pred Kr."
sv-se,sk-sk,"160 f.Kr.","160 pred Kr."
sv-se,sk-sk,"160-talet f.Kr.","60. roky 2. storočia pred Kr."
sv-se,sk-sk,"1600-talet f.Kr.","17. storočie pred Kr."
sv-se,sk-sk,"161 f.Kr.","161 pred Kr."
sv-se,sk-sk,"162 f.Kr.","162 pred Kr."
sv-se,sk-sk,"163 f.Kr.","163 pred Kr."
sv-se,sk-sk,"164 f.Kr.","164 pred Kr."
sv-se,sk-sk,"165 f.Kr.","165 pred Kr."
sv-se,sk-sk,"166 f.Kr.","166 pred Kr."
sv-se,sk-sk,"167 f.Kr.","167 pred Kr."
sv-se,sk-sk,"168 f.Kr.","168 pred Kr."
sv-se,sk-sk,"169 f.Kr.","169 pred Kr."
sv-se,sk-sk,"17 Thetis","17 Thetis"
sv-se,sk-sk,"17 april","17. apríl"
sv-se,sk-sk,"17 augusti","17. august"
sv-se,sk-sk,"17 december","17. december"
sv-se,sk-sk,"17 f.Kr.","17 pred Kr."
sv-se,sk-sk,"17 februari","17. február"
sv-se,sk-sk,"17 januari","17. január"
sv-se,sk-sk,"17 juli","17. júl"
sv-se,sk-sk,"17 juni","17. jún"
sv-se,sk-sk,"17 maj","17. máj"
