uk-ua,el-gr,"1 березня","1 Μαρτίου"
uk-ua,el-gr,"1 вересня","1 Σεπτεμβρίου"
uk-ua,el-gr,"1 грудня","1 Δεκεμβρίου"
uk-ua,el-gr,"1 до Р.Х.","1 π.Χ."
uk-ua,el-gr,"1 жовтня","1 Οκτωβρίου"
uk-ua,el-gr,"1 квітня","1 Απριλίου"
uk-ua,el-gr,"1 липня","1 Ιουλίου"
uk-ua,el-gr,"1 листопада","1 Νοεμβρίου"
uk-ua,el-gr,"1 лютого","1 Φεβρουαρίου"
uk-ua,el-gr,"1 серпня","1 Αυγούστου"
uk-ua,el-gr,"1 століття до Р.Х.","1ος αιώνας π.Χ."
uk-ua,el-gr,"1 століття","1ος αιώνας"
uk-ua,el-gr,"1 січня","1 Ιανουαρίου"
uk-ua,el-gr,"1 травня","1 Μαΐου"
uk-ua,el-gr,"1 червня","1 Ιουνίου"
uk-ua,el-gr,"10 березня","10 Μαρτίου"
uk-ua,el-gr,"10 вересня","10 Σεπτεμβρίου"
uk-ua,el-gr,"10 грудня","10 Δεκεμβρίου"
uk-ua,el-gr,"10 до Р.Х.","10 π.Χ."
uk-ua,el-gr,"10 жовтня","10 Οκτωβρίου"
uk-ua,el-gr,"10 квітня","10 Απριλίου"
uk-ua,el-gr,"10 липня","10 Ιουλίου"
uk-ua,el-gr,"10 листопада","10 Νοεμβρίου"
uk-ua,el-gr,"10 лютого","10 Φεβρουαρίου"
uk-ua,el-gr,"10 серпня","10 Αυγούστου"
uk-ua,el-gr,"10 століття","10ος αιώνας"
uk-ua,el-gr,"10 січня","10 Ιανουαρίου"
uk-ua,el-gr,"10 травня","10 Μαΐου"
uk-ua,el-gr,"10 червня","10 Ιουνίου"
uk-ua,el-gr,"10-ті","Δεκαετία 10"
uk-ua,el-gr,"100 до Р.Х.","100 π.Χ."
uk-ua,el-gr,"100-ті до Р.Х.","2ος αιώνας π.Χ."
uk-ua,el-gr,"100-ті","2ος αιώνας"
uk-ua,el-gr,"1000 до Р.Х.","1000 π.Χ."
uk-ua,el-gr,"1000-ті","Δεκαετία 1000"
uk-ua,el-gr,"101 до Р.Х.","101 π.Χ."
uk-ua,el-gr,"102 до Р.Х.","102 π.Χ."
uk-ua,el-gr,"103 до Р.Х.","103 π.Χ."
uk-ua,el-gr,"104 до Р.Х.","104 π.Χ."
uk-ua,el-gr,"105 до Р.Х.","105 π.Χ."
uk-ua,el-gr,"106 до Р.Х.","106 π.Χ."
uk-ua,el-gr,"107 до Р.Х.","107 π.Χ."
uk-ua,el-gr,"108 до Р.Х.","108 π.Χ."
uk-ua,el-gr,"109 до Р.Х.","109 π.Χ."
uk-ua,el-gr,"11 березня","11 Μαρτίου"
uk-ua,el-gr,"11 вересня","11 Σεπτεμβρίου"
uk-ua,el-gr,"11 грудня","11 Δεκεμβρίου"
uk-ua,el-gr,"11 до Р.Х.","11 π.Χ."
uk-ua,el-gr,"11 жовтня","11 Οκτωβρίου"
uk-ua,el-gr,"11 квітня","11 Απριλίου"
uk-ua,el-gr,"11 липня","11 Ιουλίου"
uk-ua,el-gr,"11 листопада","11 Νοεμβρίου"
uk-ua,el-gr,"11 лютого","11 Φεβρουαρίου"
uk-ua,el-gr,"11 серпня","11 Αυγούστου"
uk-ua,el-gr,"11 століття","11ος αιώνας"
uk-ua,el-gr,"11 січня","11 Ιανουαρίου"
uk-ua,el-gr,"11 травня","11 Μαΐου"
uk-ua,el-gr,"11 червня","11 Ιουνίου"
uk-ua,el-gr,"110 до Р.Х.","110 π.Χ."
uk-ua,el-gr,"110-ті","Δεκαετία 110"
uk-ua,el-gr,"1100-ті","Δεκαετία 1100"
uk-ua,el-gr,"111 до Р.Х.","111 π.Χ."
uk-ua,el-gr,"1110-ті","Δεκαετία 1110"
uk-ua,el-gr,"112 до Р.Х.","112 π.Χ."
uk-ua,el-gr,"1120-ті","Δεκαετία 1120"
uk-ua,el-gr,"113 до Р.Х.","113 π.Χ."
uk-ua,el-gr,"114 до Р.Х.","114 π.Χ."
uk-ua,el-gr,"1140-ві","Δεκαετία 1140"
uk-ua,el-gr,"115 до Р.Х.","115 π.Χ."
uk-ua,el-gr,"1150-ті","Δεκαετία 1150"
uk-ua,el-gr,"116 до Р.Х.","116 π.Χ."
uk-ua,el-gr,"1160-ті","Δεκαετία 1160"
uk-ua,el-gr,"117 до Р.Х.","117 π.Χ."
uk-ua,el-gr,"1170-ті","Δεκαετία 1170"
uk-ua,el-gr,"118 до Р.Х.","118 π.Χ."
uk-ua,el-gr,"1180-ті","Δεκαετία 1180"
uk-ua,el-gr,"119 до Р.Х.","119 π.Χ."
uk-ua,el-gr,"12 березня","12 Μαρτίου"
uk-ua,el-gr,"12 вересня","12 Σεπτεμβρίου"
uk-ua,el-gr,"12 грудня","12 Δεκεμβρίου"
uk-ua,el-gr,"12 до Р.Х.","12 π.Χ."
uk-ua,el-gr,"12 жовтня","12 Οκτωβρίου"
uk-ua,el-gr,"12 квітня","12 Απριλίου"
uk-ua,el-gr,"12 липня","12 Ιουλίου"
uk-ua,el-gr,"12 листопада","12 Νοεμβρίου"
uk-ua,el-gr,"12 лютого","12 Φεβρουαρίου"
uk-ua,el-gr,"12 серпня","12 Αυγούστου"
uk-ua,el-gr,"12 століття","12ος αιώνας"
uk-ua,el-gr,"12 січня","12 Ιανουαρίου"
uk-ua,el-gr,"12 травня","12 Μαΐου"
uk-ua,el-gr,"12 червня","12 Ιουνίου"
uk-ua,el-gr,"120 до Р.Х.","120 π.Χ."
uk-ua,el-gr,"120-ті","Δεκαετία 120"
uk-ua,el-gr,"1200-ті","Δεκαετία 1200"
uk-ua,el-gr,"121 до Р.Х.","121 π.Χ."
uk-ua,el-gr,"1210-ті","Δεκαετία 1210"
uk-ua,el-gr,"122 до Р.Х.","122 π.Χ."
uk-ua,el-gr,"1220-ті","Δεκαετία 1220"
uk-ua,el-gr,"123 до Р.Х.","123 π.Χ."
uk-ua,el-gr,"1230-ті","Δεκαετία 1230"
uk-ua,el-gr,"124 до Р.Х.","124 π.Χ."
uk-ua,el-gr,"1240-ві","Δεκαετία 1240"
uk-ua,el-gr,"125 до Р.Х.","125 π.Χ."
uk-ua,el-gr,"126 до Р.Х.","126 π.Χ."
uk-ua,el-gr,"1260-ті","Δεκαετία 1260"
uk-ua,el-gr,"127 до Р.Х.","127 π.Χ."
uk-ua,el-gr,"128 до Р.Х.","128 π.Χ."
uk-ua,el-gr,"1280-ті","Δεκαετία 1280"
uk-ua,el-gr,"129 до Р.Х.","129 π.Χ."
uk-ua,el-gr,"1290-ті","Δεκαετία 1290"
uk-ua,el-gr,"13 березня","13 Μαρτίου"
uk-ua,el-gr,"13 вересня","13 Σεπτεμβρίου"
uk-ua,el-gr,"13 грудня","13 Δεκεμβρίου"
uk-ua,el-gr,"13 до Р.Х.","13 π.Χ."
uk-ua,el-gr,"13 жовтня","13 Οκτωβρίου"
uk-ua,el-gr,"13 квітня","13 Απριλίου"
uk-ua,el-gr,"13 липня","13 Ιουλίου"
uk-ua,el-gr,"13 листопада","13 Νοεμβρίου"
uk-ua,el-gr,"13 лютого","13 Φεβρουαρίου"
uk-ua,el-gr,"13 серпня","13 Αυγούστου"
uk-ua,el-gr,"13 століття","13ος αιώνας"
uk-ua,el-gr,"13 січня","13 Ιανουαρίου"
uk-ua,el-gr,"13 травня","13 Μαΐου"
uk-ua,el-gr,"13 червня","13 Ιουνίου"
uk-ua,el-gr,"130 до Р.Х.","130 π.Χ."
uk-ua,el-gr,"1300-ті","Δεκαετία 1300"
uk-ua,el-gr,"131 до Р.Х.","131 π.Χ."
uk-ua,el-gr,"1310-ті","Δεκαετία 1310"
uk-ua,el-gr,"132 до Р.Х.","132 π.Χ."
uk-ua,el-gr,"1320-ті","Δεκαετία 1320"
uk-ua,el-gr,"133 до Р.Х.","133 π.Χ."
uk-ua,el-gr,"1330-ті","Δεκαετία 1330"
uk-ua,el-gr,"134 до Р.Х.","134 π.Χ."
uk-ua,el-gr,"1340-ві","Δεκαετία 1340"
uk-ua,el-gr,"135 до Р.Х.","135 π.Χ."
uk-ua,el-gr,"1350-ті","Δεκαετία 1350"
uk-ua,el-gr,"136 до Р.Х.","136 π.Χ."
uk-ua,el-gr,"1360-ті","Δεκαετία 1360"
uk-ua,el-gr,"137 до Р.Х.","137 π.Χ."
uk-ua,el-gr,"1370-ті","Δεκαετία 1370"
uk-ua,el-gr,"138 до Р.Х.","138 π.Χ."
uk-ua,el-gr,"1380-ті","Δεκαετία 1380"
uk-ua,el-gr,"139 до Р.Х.","139 π.Χ."
uk-ua,el-gr,"1390-ті","Δεκαετία 1390"
uk-ua,el-gr,"14 березня","14 Μαρτίου"
uk-ua,el-gr,"14 вересня","14 Σεπτεμβρίου"
uk-ua,el-gr,"14 грудня","14 Δεκεμβρίου"
uk-ua,el-gr,"14 до Р.Х.","14 π.Χ."
uk-ua,el-gr,"14 жовтня","14 Οκτωβρίου"
uk-ua,el-gr,"14 квітня","14 Απριλίου"
uk-ua,el-gr,"14 липня","14 Ιουλίου"
uk-ua,el-gr,"14 листопада","14 Νοεμβρίου"
uk-ua,el-gr,"14 лютого","14 Φεβρουαρίου"
uk-ua,el-gr,"14 серпня","14 Αυγούστου"
uk-ua,el-gr,"14 століття","14ος αιώνας"
uk-ua,el-gr,"14 січня","14 Ιανουαρίου"
uk-ua,el-gr,"14 травня","14 Μαΐου"
uk-ua,el-gr,"14 червня","14 Ιουνίου"
uk-ua,el-gr,"140 до Р.Х.","140 π.Χ."
uk-ua,el-gr,"1400-ті","Δεκαετία 1400"
uk-ua,el-gr,"141 до Р.Х.","141 π.Χ."
uk-ua,el-gr,"142 до Р.Х.","142 π.Χ."
uk-ua,el-gr,"1420-ті","Δεκαετία 1400"
uk-ua,el-gr,"143 до Р.Х.","143 π.Χ."
uk-ua,el-gr,"1430-ті","Δεκαετία 1430"
uk-ua,el-gr,"144 до Р.Х.","144 π.Χ."
uk-ua,el-gr,"1440-ві","Δεκαετία 1440"
uk-ua,el-gr,"145 до Р.Х.","145 π.Χ."
uk-ua,el-gr,"1450-ті","Δεκαετία 1450"
uk-ua,el-gr,"146 до Р.Х.","146 π.Χ."
uk-ua,el-gr,"1460-ті","Δεκαετία 1460"
uk-ua,el-gr,"147 до Р.Х.","147 π.Χ."
uk-ua,el-gr,"1470-ті","Δεκαετία 1470"
uk-ua,el-gr,"148 до Р.Х.","148 π.Χ."
uk-ua,el-gr,"1480-ті","Δεκαετία 1480"
uk-ua,el-gr,"149 до Р.Х.","149 π.Χ."
uk-ua,el-gr,"1490-ті","Δεκαετία 1490"
uk-ua,el-gr,"15 березня","15 Μαρτίου"
uk-ua,el-gr,"15 вересня","15 Σεπτεμβρίου"
uk-ua,el-gr,"15 грудня","15 Δεκεμβρίου"
uk-ua,el-gr,"15 до Р.Х.","15 π.Χ."
uk-ua,el-gr,"15 жовтня","15 Οκτωβρίου"
uk-ua,el-gr,"15 квітня","15 Απριλίου"
uk-ua,el-gr,"15 липня","15 Ιουλίου"
uk-ua,el-gr,"15 листопада","15 Νοεμβρίου"
uk-ua,el-gr,"15 лютого","15 Φεβρουαρίου"
uk-ua,el-gr,"15 серпня","15 Αυγούστου"
uk-ua,el-gr,"15 століття","15ος αιώνας"
uk-ua,el-gr,"15 січня","15 Ιανουαρίου"
uk-ua,el-gr,"15 травня","15 Μαΐου"
uk-ua,el-gr,"15 червня","15 Ιουνίου"
uk-ua,el-gr,"150 до Р.Х.","150 π.Χ."
uk-ua,el-gr,"150-ті","Δεκαετία 1500"
uk-ua,el-gr,"1500-ті","Δεκαετία 1500"
uk-ua,el-gr,"151 до Р.Х.","151 π.Χ."
uk-ua,el-gr,"1510-ті","Δεκαετία 1510"
uk-ua,el-gr,"152 до Р.Х.","152 π.Χ."
uk-ua,el-gr,"1520-ті","Δεκαετία 1520"
uk-ua,el-gr,"153 до Р.Х.","153 π.Χ."
uk-ua,el-gr,"1530-ті","Δεκαετία 1530"
uk-ua,el-gr,"154 до Р.Х.","154 π.Χ."
uk-ua,el-gr,"1540-ві","Δεκαετία 1540"
uk-ua,el-gr,"155 до Р.Х.","155 π.Χ."
uk-ua,el-gr,"1550-ті","Δεκαετία 1550"
uk-ua,el-gr,"156 до Р.Х.","156 π.Χ."
uk-ua,el-gr,"1560-ті","Δεκαετία 1560"
uk-ua,el-gr,"157 до Р.Х.","157 π.Χ."
uk-ua,el-gr,"1570-ті","Δεκαετία 1570"
uk-ua,el-gr,"158 до Р.Х.","158 π.Χ."
uk-ua,el-gr,"1580-ті","Δεκαετία 1580"
uk-ua,el-gr,"159 до Р.Х.","159 π.Χ."
uk-ua,el-gr,"1590-ті","Δεκαετία 1590"
uk-ua,el-gr,"16 березня","16 Μαρτίου"
uk-ua,el-gr,"16 вересня","16 Σεπτεμβρίου"
uk-ua,el-gr,"16 грудня","16 Δεκεμβρίου"
uk-ua,el-gr,"16 до Р.Х.","16 π.Χ."
uk-ua,el-gr,"16 жовтня","16 Οκτωβρίου"
uk-ua,el-gr,"16 квітня","16 Απριλίου"
uk-ua,el-gr,"16 липня","16 Ιουλίου"
uk-ua,el-gr,"16 листопада","16 Νοεμβρίου"
uk-ua,el-gr,"16 лютого","16 Φεβρουαρίου"
uk-ua,el-gr,"16 серпня","16 Αυγούστου"
uk-ua,el-gr,"16 століття","16ος αιώνας"
uk-ua,el-gr,"16 січня","16 Ιανουαρίου"
uk-ua,el-gr,"16 травня","16 Μαΐου"
uk-ua,el-gr,"16 червня","16 Ιουνίου"
uk-ua,el-gr,"160 до Р.Х.","160 π.Χ."
uk-ua,el-gr,"160-ті","Δεκαετία 160"
uk-ua,el-gr,"1600-ті","Δεκαετία 1600"
uk-ua,el-gr,"161 до Р.Х.","161 π.Χ."
uk-ua,el-gr,"1610-ті","Δεκαετία 1610"
uk-ua,el-gr,"162 до Р.Х.","162 π.Χ."
uk-ua,el-gr,"1620-ті","Δεκαετία 1620"
uk-ua,el-gr,"163 до Р.Х.","163 π.Χ."
uk-ua,el-gr,"1630-ті","Δεκαετία 1630"
uk-ua,el-gr,"164 до Р.Х.","164 π.Χ."
uk-ua,el-gr,"1640-ві","Δεκαετία 1640"
uk-ua,el-gr,"1640-ті","Δεκαετία 1640"
uk-ua,el-gr,"165 до Р.Х.","165 π.Χ."
uk-ua,el-gr,"1650-ті","Δεκαετία 1650"
uk-ua,el-gr,"166 до Р.Х.","166 π.Χ."
uk-ua,el-gr,"1660-ті","Δεκαετία 1660"
uk-ua,el-gr,"167 до Р.Х.","167 π.Χ."
uk-ua,el-gr,"168 до Р.Х.","168 π.Χ."
uk-ua,el-gr,"1680-ті","Δεκαετία 1680"
uk-ua,el-gr,"169 до Р.Х.","169 π.Χ."
uk-ua,el-gr,"1690-ті","Δεκαετία 1690"
uk-ua,el-gr,"17 березня","17 Μαρτίου"
uk-ua,el-gr,"17 вересня","17 Σεπτεμβρίου"
uk-ua,el-gr,"17 грудня","17 Δεκεμβρίου"
