uk-ua,es-es,"0-ві до Р.Х.","Años 0 adC"
uk-ua,es-es,"0-ті до Р.Х.","Años 0 adC"
uk-ua,es-es,"0-ті","Años 0"
uk-ua,es-es,"1 березня","1 de marzo"
uk-ua,es-es,"1 вересня","1 de septiembre"
uk-ua,es-es,"1 грудня","1 de diciembre"
uk-ua,es-es,"1 до Р.Х.","1 adC"
uk-ua,es-es,"1 жовтня","1 de octubre"
uk-ua,es-es,"1 квітня","1 de abril"
uk-ua,es-es,"1 липня","1 de julio"
uk-ua,es-es,"1 листопада","1 de noviembre"
uk-ua,es-es,"1 лютого","1 de febrero"
uk-ua,es-es,"1 серпня","1 de agosto"
uk-ua,es-es,"1 століття до Р.Х.","Siglo I adC"
uk-ua,es-es,"1 століття","Siglo I"
uk-ua,es-es,"1 січня","1 de enero"
uk-ua,es-es,"1 травня","1 de mayo"
uk-ua,es-es,"1 червня","1 de junio"
uk-ua,es-es,"10 Gigabit Ethernet","10 Gigabit Ethernet"
uk-ua,es-es,"10 березня","10 de marzo"
uk-ua,es-es,"10 вересня","10 de septiembre"
uk-ua,es-es,"10 грудня","10 de diciembre"
uk-ua,es-es,"10 до Р.Х.","10 adC"
uk-ua,es-es,"10 жовтня","10 de octubre"
uk-ua,es-es,"10 квітня","10 de abril"
uk-ua,es-es,"10 липня","10 de julio"
uk-ua,es-es,"10 листопада","10 de noviembre"
uk-ua,es-es,"10 лютого","10 de febrero"
uk-ua,es-es,"10 серпня","10 de agosto"
uk-ua,es-es,"10 століття","Siglo X"
uk-ua,es-es,"10 січня","10 de enero"
uk-ua,es-es,"10 травня","10 de mayo"
uk-ua,es-es,"10 червня","10 de junio"
uk-ua,es-es,"10-ті до Р.Х.","Años 10 adC"
uk-ua,es-es,"10-ті","Años 10"
uk-ua,es-es,"100 до Р.Х.","100 adC"
uk-ua,es-es,"100-ті до Р.Х.","Años 100 adC"
uk-ua,es-es,"100-ті","Años 100"
uk-ua,es-es,"1000 до Р.Х.","1000 adC"
uk-ua,es-es,"1000-ті","Años 1000"
uk-ua,es-es,"101 до Р.Х.","101 adC"
uk-ua,es-es,"1010-ті","Años 1010"
uk-ua,es-es,"102 до Р.Х.","102 adC"
uk-ua,es-es,"1020-ті","Años 1020"
uk-ua,es-es,"103 до Р.Х.","103 adC"
uk-ua,es-es,"1030-ті","Años 1030"
uk-ua,es-es,"104 до Р.Х.","104 adC"
uk-ua,es-es,"1040-ві","Años 1040"
uk-ua,es-es,"105 до Р.Х.","105 adC"
uk-ua,es-es,"1050-ті","Años 1050"
uk-ua,es-es,"106 до Р.Х.","106 adC"
uk-ua,es-es,"1060-ті","Años 1060"
uk-ua,es-es,"107 до Р.Х.","107 adC"
uk-ua,es-es,"1070-ті","Años 1070"
uk-ua,es-es,"108 до Р.Х.","108 adC"
uk-ua,es-es,"1080-ті","Años 1080"
uk-ua,es-es,"109 до Р.Х.","109 adC"
uk-ua,es-es,"1090-ті","Años 1090"
uk-ua,es-es,"11 березня","11 de marzo"
uk-ua,es-es,"11 вересня","11 de septiembre"
uk-ua,es-es,"11 грудня","11 de diciembre"
uk-ua,es-es,"11 до Р.Х.","11 adC"
uk-ua,es-es,"11 жовтня","11 de octubre"
uk-ua,es-es,"11 квітня","11 de abril"
uk-ua,es-es,"11 липня","11 de julio"
uk-ua,es-es,"11 листопада","11 de noviembre"
uk-ua,es-es,"11 лютого","11 de febrero"
