uk-ua,et-ee,"0-ві до Р.Х.","0. aastad eKr"
uk-ua,et-ee,"0-ті до Р.Х.","0. aastad eKr"
uk-ua,et-ee,"0-ті","0. aastad"
uk-ua,et-ee,"1 березня","1. märts"
uk-ua,et-ee,"1 вересня","1. september"
uk-ua,et-ee,"1 грудня","1. detsember"
uk-ua,et-ee,"1 до Р.Х.","1 eKr"
uk-ua,et-ee,"1 жовтня","1. oktoober"
uk-ua,et-ee,"1 квітня","1. aprill"
uk-ua,et-ee,"1 липня","1. juuli"
uk-ua,et-ee,"1 листопада","1. november"
uk-ua,et-ee,"1 лютого","1. veebruar"
uk-ua,et-ee,"1 серпня","1. august"
uk-ua,et-ee,"1 століття до Р.Х.","1. sajand eKr"
uk-ua,et-ee,"1 століття","1. sajand"
uk-ua,et-ee,"1 січня","1. jaanuar"
uk-ua,et-ee,"1 травня","1. mai"
uk-ua,et-ee,"1 червня","1. juuni"
uk-ua,et-ee,"10 березня","10. märts"
uk-ua,et-ee,"10 вересня","10. september"
uk-ua,et-ee,"10 грудня","10. detsember"
uk-ua,et-ee,"10 до Р.Х.","10 eKr"
uk-ua,et-ee,"10 жовтня","10. oktoober"
uk-ua,et-ee,"10 квітня","10. aprill"
uk-ua,et-ee,"10 липня","10. juuli"
uk-ua,et-ee,"10 листопада","10. november"
uk-ua,et-ee,"10 лютого","10. veebruar"
uk-ua,et-ee,"10 серпня","10. august"
uk-ua,et-ee,"10 століття","10. sajand"
uk-ua,et-ee,"10 січня","10. jaanuar"
uk-ua,et-ee,"10 травня","10. mai"
uk-ua,et-ee,"10 червня","10. juuni"
uk-ua,et-ee,"10-ті до Р.Х.","10. aastad eKr"
uk-ua,et-ee,"10-ті","10. aastad"
uk-ua,et-ee,"100 до Р.Х.","100 eKr"
uk-ua,et-ee,"100-ті до Р.Х.","2. sajand eKr"
uk-ua,et-ee,"100-ті","100. aastad"
uk-ua,et-ee,"1000 до Р.Х.","1000 eKr"
uk-ua,et-ee,"1000-ті","1000. aastad"
uk-ua,et-ee,"1010-ті","1010. aastad"
uk-ua,et-ee,"1020-ті","1020. aastad"
uk-ua,et-ee,"1030-ті","1030. aastad"
uk-ua,et-ee,"1040-ві","1040. aastad"
uk-ua,et-ee,"1050-ті","1050. aastad"
uk-ua,et-ee,"1060-ті","1060. aastad"
uk-ua,et-ee,"1070-ті","1070. aastad"
uk-ua,et-ee,"1080-ті","1080. aastad"
uk-ua,et-ee,"1090-ті","1090. aastad"
uk-ua,et-ee,"11 березня","11. märts"
uk-ua,et-ee,"11 вересня","11. september"
uk-ua,et-ee,"11 грудня","11. detsember"
uk-ua,et-ee,"11 до Р.Х.","11 eKr"
uk-ua,et-ee,"11 жовтня","11. oktoober"
uk-ua,et-ee,"11 квітня","11. aprill"
uk-ua,et-ee,"11 липня","11. juuli"
uk-ua,et-ee,"11 листопада","11. november"
uk-ua,et-ee,"11 лютого","11. veebruar"
uk-ua,et-ee,"11 серпня","11. august"
uk-ua,et-ee,"11 століття","11. sajand"
uk-ua,et-ee,"11 січня","11. jaanuar"
uk-ua,et-ee,"11 травня","11. mai"
uk-ua,et-ee,"11 червня","11. juuni"
uk-ua,et-ee,"11-ві до Р.Х.","11. aastad eKr"
uk-ua,et-ee,"110-ті до Р.Х.","110. aastad eKr"
uk-ua,et-ee,"110-ті","110. aastad"
uk-ua,et-ee,"1100-ті","1100. aastad"
uk-ua,et-ee,"1110-ті","1110. aastad"
uk-ua,et-ee,"1120-ті","1120. aastad"
uk-ua,et-ee,"1130-ті","1130. aastad"
uk-ua,et-ee,"1140-ві","1140. aastad"
uk-ua,et-ee,"1150-ті","1150. aastad"
uk-ua,et-ee,"1160-ті","1160. aastad"
uk-ua,et-ee,"1170-ті","1170. aastad"
uk-ua,et-ee,"1180-ті","1180. aastad"
uk-ua,et-ee,"1190-ті","1190. aastad"
uk-ua,et-ee,"12 березня","12. märts"
uk-ua,et-ee,"12 вересня","12. september"
uk-ua,et-ee,"12 грудня","12. detsember"
uk-ua,et-ee,"12 до Р.Х.","12 eKr"
uk-ua,et-ee,"12 жовтня","12. oktoober"
uk-ua,et-ee,"12 квітня","12. aprill"
uk-ua,et-ee,"12 липня","12. juuli"
